loggingTime;test;captureTime;switchNo;OFCType
2018-09-16 23:29:24,533;TSHARKCSV;13:28:59.487426375;1;OFPT_FEATURES_REPLY
2018-09-16 23:29:24,545;TSHARKCSV;13:28:59.488460367;2;OFPT_FEATURES_REPLY
2018-09-16 23:29:24,547;TSHARKCSV;13:28:59.489537737;3;OFPT_FEATURES_REPLY
2018-09-16 23:29:24,549;TSHARKCSV;13:28:59.543493959;4;OFPT_FEATURES_REPLY
2018-09-16 23:29:24,550;TSHARKCSV;13:28:59.544605794;5;OFPT_FEATURES_REPLY
2018-09-16 23:29:24,552;TSHARKCSV;13:28:59.545791767;6;OFPT_FEATURES_REPLY
2018-09-16 23:29:24,554;TSHARKCSV;13:28:59.546699122;7;OFPT_FEATURES_REPLY
2018-09-16 23:29:24,554;TSHARKCSV;13:28:59.547895051;8;OFPT_FEATURES_REPLY
2018-09-16 23:29:24,556;TSHARKCSV;13:28:59.548103538;9;OFPT_FEATURES_REPLY
2018-09-16 23:29:24,556;TSHARKCSV;13:28:59.548305007;10;OFPT_FEATURES_REPLY
2018-09-16 23:29:24,557;TSHARKCSV;13:28:59.548510028;11;OFPT_FEATURES_REPLY
2018-09-16 23:29:24,558;TSHARKCSV;13:28:59.548711796;12;OFPT_FEATURES_REPLY
2018-09-16 23:29:24,559;TSHARKCSV;13:28:59.548922461;13;OFPT_FEATURES_REPLY
2018-09-16 23:29:24,559;TSHARKCSV;13:28:59.549129965;14;OFPT_FEATURES_REPLY
2018-09-16 23:29:24,560;TSHARKCSV;13:28:59.549325524;15;OFPT_FEATURES_REPLY
2018-09-16 23:29:24,561;TSHARKCSV;13:28:59.549519818;16;OFPT_FEATURES_REPLY
2018-09-16 23:29:24,562;TSHARKCSV;13:28:59.549714747;17;OFPT_FEATURES_REPLY
2018-09-16 23:29:24,564;TSHARKCSV;13:28:59.549909389;18;OFPT_FEATURES_REPLY
2018-09-16 23:29:24,566;TSHARKCSV;13:28:59.550099000;19;OFPT_FEATURES_REPLY
2018-09-16 23:29:24,568;TSHARKCSV;13:28:59.558211613;20;OFPT_FEATURES_REPLY
2018-09-16 23:29:24,568;TSHARKCSV;13:28:59.559525595;21;OFPT_FEATURES_REPLY
2018-09-16 23:29:24,570;TSHARKCSV;13:28:59.560496783;22;OFPT_FEATURES_REPLY
2018-09-16 23:29:24,572;TSHARKCSV;13:28:59.561330385;23;OFPT_FEATURES_REPLY
2018-09-16 23:29:24,572;TSHARKCSV;13:28:59.562174019;24;OFPT_FEATURES_REPLY
2018-09-16 23:29:24,573;TSHARKCSV;13:28:59.563172288;25;OFPT_FEATURES_REPLY
2018-09-16 23:29:24,574;TSHARKCSV;13:28:59.563436629;26;OFPT_FEATURES_REPLY
2018-09-16 23:29:24,575;TSHARKCSV;13:28:59.563678735;27;OFPT_FEATURES_REPLY
2018-09-16 23:29:24,576;TSHARKCSV;13:28:59.563908006;28;OFPT_FEATURES_REPLY
2018-09-16 23:29:24,579;TSHARKCSV;13:28:59.564136514;29;OFPT_FEATURES_REPLY
2018-09-16 23:29:24,582;TSHARKCSV;13:28:59.564362636;30;OFPT_FEATURES_REPLY
2018-09-16 23:29:24,584;TSHARKCSV;13:28:59.564584226;31;OFPT_FEATURES_REPLY
