stamptime;link_number;link
18:33:51.306746000;20;0000000000000045-3<-->00:00:00:00:00:46-0002
18:33:52.287663000;158;0000000000000022-2<-->00:00:00:00:00:21-0003
18:33:52.291153000;180;000000000000000f-2<-->00:00:00:00:00:0e-0003
18:34:01.533755000;194;0000000000000004-2<-->00:00:00:00:00:03-0003
18:33:51.040244000;6;0000000000000003-3<-->00:00:00:00:00:04-0002
18:33:52.166089000;86;0000000000000037-2<-->00:00:00:00:00:36-0003
18:33:52.286244000;146;0000000000000019-2<-->00:00:00:00:00:18-0003
18:33:52.231702000;132;000000000000001d-2<-->00:00:00:00:00:1c-0003
18:33:51.463035000;38;0000000000000005-3<-->00:00:00:00:00:06-0002
18:33:52.169305000;92;000000000000002f-3<-->00:00:00:00:00:30-0002
18:33:51.343221000;29;0000000000000046-2<-->00:00:00:00:00:45-0003
18:33:52.228266000;115;0000000000000048-3<-->00:00:00:00:00:49-0002
18:33:52.286808000;149;0000000000000053-2<-->00:00:00:00:00:52-0003
18:33:52.164155000;84;0000000000000046-3<-->00:00:00:00:00:47-0002
18:33:52.170418000;96;0000000000000052-3<-->00:00:00:00:00:53-0002
18:33:50.986597000;3;0000000000000057-3<-->00:00:00:00:00:58-0002
18:33:52.172771000;105;000000000000003d-2<-->00:00:00:00:00:3c-0003
18:33:51.093781000;14;0000000000000025-3<-->00:00:00:00:00:26-0002
18:33:51.565820000;60;000000000000002c-3<-->00:00:00:00:00:2d-0002
18:33:52.286971000;152;0000000000000061-3<-->00:00:00:00:00:62-0002
18:33:52.228605000;118;0000000000000017-2<-->00:00:00:00:00:16-0003
18:33:51.512969000;42;0000000000000057-2<-->00:00:00:00:00:56-0003
18:33:51.601174000;64;000000000000003a-3<-->00:00:00:00:00:3b-0002
18:33:52.288814000;168;0000000000000031-3<-->00:00:00:00:00:32-0002
18:33:52.229816000;121;000000000000000e-3<-->00:00:00:00:00:0f-0002
18:33:52.172327000;104;0000000000000027-3<-->00:00:00:00:00:28-0002
18:33:52.229650000;120;0000000000000015-2<-->00:00:00:00:00:14-0003
18:33:51.094621000;17;0000000000000044-3<-->00:00:00:00:00:45-0002
18:33:52.287499000;156;000000000000001f-2<-->00:00:00:00:00:1e-0003
18:33:52.290566000;177;0000000000000034-3<-->00:00:00:00:00:35-0002
18:33:52.289350000;173;0000000000000049-3<-->00:00:00:00:00:4a-0002
18:33:52.292075000;189;0000000000000062-3<-->00:00:00:00:00:63-0002
18:33:51.304732000;19;0000000000000028-3<-->00:00:00:00:00:29-0002
18:33:52.230975000;129;0000000000000040-3<-->00:00:00:00:00:41-0002
18:33:52.169349000;93;000000000000002f-2<-->00:00:00:00:00:2e-0003
18:33:51.563685000;54;000000000000000c-2<-->00:00:00:00:00:0b-0003
18:33:51.602239000;71;0000000000000063-3<-->00:00:00:00:00:64-0002
18:33:50.984490000;2;0000000000000003-2<-->00:00:00:00:00:02-0003
18:33:51.512855000;40;0000000000000055-2<-->00:00:00:00:00:54-0003
18:33:51.601094000;63;0000000000000028-2<-->00:00:00:00:00:27-0003
18:33:51.340966000;24;0000000000000058-3<-->00:00:00:00:00:59-0002
18:33:51.513047000;43;000000000000000c-3<-->00:00:00:00:00:0d-0002
18:33:51.342031000;26;000000000000005b-3<-->00:00:00:00:00:5c-0002
18:33:52.290687000;178;0000000000000060-2<-->00:00:00:00:00:5f-0003
18:33:52.285804000;142;0000000000000009-3<-->00:00:00:00:00:0a-0002
18:33:52.166929000;89;000000000000004f-2<-->00:00:00:00:00:4e-0003
18:33:52.108780000;79;000000000000003d-3<-->00:00:00:00:00:3e-0002
18:33:52.230732000;126;000000000000004a-3<-->00:00:00:00:00:4b-0002
18:33:52.232452000;134;000000000000002c-2<-->00:00:00:00:00:2b-0003
18:33:51.341380000;25;000000000000005d-2<-->00:00:00:00:00:5c-0003
18:33:52.166820000;87;0000000000000024-2<-->00:00:00:00:00:23-0003
18:33:51.343749000;33;000000000000005c-3<-->00:00:00:00:00:5d-0002
18:33:51.602529000;74;000000000000000d-2<-->00:00:00:00:00:0c-0003
18:33:51.601638000;67;0000000000000036-3<-->00:00:00:00:00:37-0002
18:33:52.229894000;122;000000000000000e-2<-->00:00:00:00:00:0d-0003
18:33:51.602994000;75;000000000000004f-3<-->00:00:00:00:00:50-0002
18:33:52.227559000;112;0000000000000030-3<-->00:00:00:00:00:31-0002
18:33:52.285485000;140;0000000000000035-2<-->00:00:00:00:00:34-0003
18:33:52.285263000;138;0000000000000023-3<-->00:00:00:00:00:24-0002
18:33:52.230783000;127;000000000000004a-2<-->00:00:00:00:00:49-0003
18:33:52.290516000;176;0000000000000034-2<-->00:00:00:00:00:33-0003
18:33:51.378383000;35;0000000000000004-3<-->00:00:00:00:00:05-0002
18:33:51.093646000;13;0000000000000011-3<-->00:00:00:00:00:12-0002
18:34:01.535546000;197;0000000000000008-3<-->00:00:00:00:00:09-0002
18:33:52.164499000;85;000000000000000a-2<-->00:00:00:00:00:09-0003
18:33:51.565782000;59;0000000000000043-2<-->00:00:00:00:00:42-0003
18:33:52.228460000;117;0000000000000007-3<-->00:00:00:00:00:08-0002
18:33:52.288639000;165;0000000000000041-2<-->00:00:00:00:00:40-0003
18:33:52.227068000;110;000000000000003a-2<-->00:00:00:00:00:39-0003
18:34:01.535608000;198;0000000000000008-2<-->00:00:00:00:00:07-0003
18:33:52.289472000;175;0000000000000038-3<-->00:00:00:00:00:39-0002
18:33:52.166863000;88;0000000000000024-3<-->00:00:00:00:00:25-0002
18:33:51.609998000;78;000000000000004e-2<-->00:00:00:00:00:4d-0003
18:33:52.288696000;166;000000000000001d-3<-->00:00:00:00:00:1e-0002
18:33:52.287027000;153;0000000000000011-2<-->00:00:00:00:00:10-0003
18:33:52.172218000;102;000000000000004d-2<-->00:00:00:00:00:4c-0003
18:33:51.601287000;66;000000000000004e-2<-->00:00:00:00:00:4d-0003
18:33:52.172168000;101;000000000000004d-3<-->00:00:00:00:00:4e-0002
18:33:51.343369000;31;0000000000000059-2<-->00:00:00:00:00:58-0003
18:33:51.096194000;18;000000000000005b-2<-->00:00:00:00:00:5a-0003
18:33:51.508672000;39;0000000000000002-2<-->00:00:00:00:00:01-0002
18:33:51.039225000;4;0000000000000026-2<-->00:00:00:00:00:25-0003
18:33:52.286200000;145;0000000000000019-3<-->00:00:00:00:00:1a-0002
18:33:52.286627000;147;0000000000000047-2<-->00:00:00:00:00:46-0003
18:33:52.292838000;191;0000000000000010-3<-->00:00:00:00:00:11-0002
18:33:51.602042000;69;0000000000000056-2<-->00:00:00:00:00:55-0003
18:33:52.230863000;128;0000000000000039-2<-->00:00:00:00:00:38-0003
18:33:51.602296000;72;0000000000000051-2<-->00:00:00:00:00:50-0003
18:33:51.041300000;9;000000000000005d-3<-->00:00:00:00:00:5e-0002
18:33:51.307055000;21;000000000000005a-2<-->00:00:00:00:00:59-0003
18:33:52.227405000;111;0000000000000009-2<-->00:00:00:00:00:08-0003
18:33:51.562618000;50;0000000000000051-3<-->00:00:00:00:00:52-0002
