tcpport;dpid
33934;['000000000000002a', '18:33:46.732322000']
34798;['0000000000000038', '18:33:46.735441000']
33084;['0000000000000001', '18:33:46.729180000']
56630;['0000000000000023', '18:33:46.708749000']
34006;['000000000000003f', '18:33:46.732561000']
58638;['0000000000000056', '18:33:46.719441000']
56896;['0000000000000029', '18:33:46.710243000']
57824;['000000000000005e', '18:33:46.715671000']
33744;['0000000000000021', '18:33:46.731600000']
34136;['0000000000000042', '18:33:46.733032000']
58960;['0000000000000002', '18:33:46.720674000']
58026;['0000000000000036', '18:33:46.716993000']
33480;['0000000000000041', '18:33:46.730627000']
34402;['000000000000002c', '18:33:46.734010000']
57692;['0000000000000019', '18:33:46.714838000']
60108;['000000000000001b', '18:33:46.724824000']
58700;['0000000000000053', '18:33:46.719686000']
33808;['0000000000000014', '18:33:46.731843000']
60512;['0000000000000032', '18:33:46.726309000']
60902;['0000000000000064', '18:33:46.727756000']
57756;['0000000000000058', '18:33:46.715267000']
58898;['0000000000000011', '18:33:46.720433000']
32948;['000000000000002b', '18:33:46.728715000']
57230;['0000000000000012', '18:33:46.711889000']
59492;['000000000000000e', '18:33:46.722634000']
57292;['0000000000000054', '18:33:46.712233000']
32880;['000000000000001e', '18:33:46.728477000']
33544;['000000000000001d', '18:33:46.730874000']
60036;['0000000000000057', '18:33:46.724576000']
34532;['0000000000000027', '18:33:46.734486000']
34730;['0000000000000020', '18:33:46.735204000']
58150;['0000000000000033', '18:33:46.717921000']
58412;['0000000000000047', '18:33:46.718947000']
33016;['0000000000000013', '18:33:46.728964000']
59974;['0000000000000055', '18:33:46.724339000']
56500;['000000000000001c', '18:33:46.708228000']
34866;['0000000000000062', '18:33:46.735682000']
57360;['0000000000000009', '18:33:46.712633000']
56760;['0000000000000026', '18:33:46.709575000']
58480;['0000000000000060', '18:33:46.719200000']
33276;['000000000000002f', '18:33:46.729920000']
56828;['0000000000000035', '18:33:46.709979000']
58084;['0000000000000003', '18:33:46.717442000']
59564;['000000000000000f', '18:33:46.722877000']
58278;['0000000000000004', '18:33:46.718447000']
32806;['0000000000000045', '18:33:46.728237000']
56698;['000000000000003e', '18:33:46.709161000']
60444;['0000000000000024', '18:33:46.726064000']
58768;['000000000000002d', '18:33:46.719933000']
33146;['000000000000005a', '18:33:46.729417000']
33412;['0000000000000050', '18:33:46.730392000']
34334;['0000000000000043', '18:33:46.733755000']
56450;['000000000000001a', '18:33:46.707943000']
33208;['0000000000000006', '18:33:46.729658000']
58344;['0000000000000017', '18:33:46.718702000']
59900;['0000000000000022', '18:33:46.724093000']
59164;['0000000000000063', '18:33:46.721393000']
59764;['000000000000001f', '18:33:46.723599000']
60246;['000000000000000c', '18:33:46.725306000']
33874;['000000000000005b', '18:33:46.732085000']
56568;['000000000000005f', '18:33:46.708495000']
60642;['000000000000004a', '18:33:46.726796000']
57558;['000000000000002e', '18:33:46.713963000']
60312;['000000000000005d', '18:33:46.725546000']
59356;['0000000000000015', '18:33:46.722147000']
59294;['0000000000000025', '18:33:46.721901000']
34600;['0000000000000049', '18:33:46.734728000']
58214;['0000000000000007', '18:33:46.718200000']
60710;['000000000000004b', '18:33:46.727038000']
56960;['0000000000000005', '18:33:46.710693000']
34464;['000000000000004d', '18:33:46.734247000']
59696;['000000000000000d', '18:33:46.723357000']
60382;['0000000000000016', '18:33:46.725794000']
33678;['0000000000000031', '18:33:46.731359000']
34068;['000000000000005c', '18:33:46.732795000']
59628;['0000000000000008', '18:33:46.723118000']
33344;['0000000000000044', '18:33:46.730157000']
58830;['0000000000000061', '18:33:46.720176000']
33610;['0000000000000052', '18:33:46.731116000']
34272;['000000000000003c', '18:33:46.733514000']
57094;['000000000000003a', '18:33:46.711245000']
60178;['0000000000000059', '18:33:46.725065000']
59220;['0000000000000051', '18:33:46.721640000']
57496;['0000000000000030', '18:33:46.713497000']
57162;['000000000000004e', '18:33:46.711502000']
60970;['0000000000000040', '18:33:46.727997000']
34204;['000000000000004c', '18:33:46.733270000']
60574;['000000000000004f', '18:33:46.726550000']
57026;['0000000000000028', '18:33:46.710988000']
57954;['0000000000000048', '18:33:46.716569000']
59096;['0000000000000046', '18:33:46.721155000']
34662;['000000000000003d', '18:33:46.734969000']
57892;['0000000000000034', '18:33:46.716120000']
59424;['000000000000000a', '18:33:46.722390000']
59030;['0000000000000010', '18:33:46.720917000']
60772;['000000000000000b', '18:33:46.727278000']
60840;['0000000000000039', '18:33:46.727518000']
59834;['0000000000000037', '18:33:46.723847000']
57626;['000000000000003b', '18:33:46.714394000']
57428;['0000000000000018', '18:33:46.713050000']
