stamptime;link_number;link
18:13:27.630277000;12;0000000000000012-3<-->00:00:00:00:00:13-2
18:13:30.424727000;87;000000000000000e-3<-->00:00:00:00:00:0f-2
18:13:28.495737000;29;0000000000000033-2<-->00:00:00:00:00:32-3
18:13:30.492758000;148;0000000000000046-3<-->00:00:00:00:00:47-2
18:13:28.672896000;36;0000000000000034-3<-->00:00:00:00:00:35-2
18:13:30.497545000;173;0000000000000027-3<-->00:00:00:00:00:28-2
18:13:30.437781000;125;0000000000000011-3<-->00:00:00:00:00:12-2
18:13:27.291637000;8;0000000000000048-2<-->00:00:00:00:00:47-3
18:13:27.937095000;18;0000000000000038-3<-->00:00:00:00:00:39-2
18:13:30.424410000;84;0000000000000004-2<-->00:00:00:00:00:03-3
18:13:30.499025000;187;0000000000000054-2<-->00:00:00:00:00:53-3
18:13:29.635952000;55;0000000000000053-3<-->00:00:00:00:00:54-2
18:13:29.049353000;43;0000000000000006-3<-->00:00:00:00:00:07-2
18:13:29.586527000;53;0000000000000053-2<-->00:00:00:00:00:52-3
18:13:30.496747000;168;000000000000002a-2<-->00:00:00:00:00:29-3
18:13:30.420798000;74;0000000000000002-3<-->00:00:00:00:00:03-2
18:13:30.496379000;167;0000000000000052-2<-->00:00:00:00:00:51-3
18:13:30.425894000;97;000000000000003a-2<-->00:00:00:00:00:39-3
18:13:30.495497000;162;0000000000000006-3<-->00:00:00:00:00:07-2
18:13:30.493568000;152;0000000000000037-2<-->00:00:00:00:00:36-3
18:13:30.496318000;166;0000000000000052-3<-->00:00:00:00:00:53-2
18:13:28.658761000;34;0000000000000060-3<-->00:00:00:00:00:61-2
18:13:30.430437000;111;0000000000000021-3<-->00:00:00:00:00:22-2
18:13:27.599252000;11;0000000000000014-2<-->00:00:00:00:00:13-3
18:13:30.495738000;164;0000000000000050-3<-->00:00:00:00:00:51-2
18:13:30.492544000;147;0000000000000053-3<-->00:00:00:00:00:54-2
18:13:30.426706000;101;0000000000000038-3<-->00:00:00:00:00:39-2
18:13:29.373366000;49;000000000000002e-3<-->00:00:00:00:00:2f-2
18:13:30.425721000;94;000000000000001a-2<-->00:00:00:00:00:19-3
18:13:30.423327000;77;0000000000000023-3<-->00:00:00:00:00:24-2
18:13:30.440803000;133;000000000000000f-3<-->00:00:00:00:00:10-2
18:13:30.441033000;134;0000000000000032-2<-->00:00:00:00:00:31-3
18:13:30.425282000;91;000000000000002f-3<-->00:00:00:00:00:30-2
18:13:29.431276000;51;0000000000000032-2<-->00:00:00:00:00:31-3
18:13:29.048974000;42;0000000000000008-2<-->00:00:00:00:00:07-3
18:13:30.425089000;90;0000000000000039-3<-->00:00:00:00:00:3a-2
18:13:30.491823000;143;0000000000000004-3<-->00:00:00:00:00:05-2
18:13:27.925866000;17;0000000000000037-3<-->00:00:00:00:00:38-2
18:13:30.491353000;141;0000000000000034-3<-->00:00:00:00:00:35-2
18:13:30.492011000;144;0000000000000047-3<-->00:00:00:00:00:48-2
18:13:28.376553000;26;000000000000005b-3<-->00:00:00:00:00:5c-2
18:13:30.441531000;135;0000000000000027-2<-->00:00:00:00:00:26-3
18:13:30.424593000;86;0000000000000025-2<-->00:00:00:00:00:24-3
18:13:30.428089000;103;0000000000000050-2<-->00:00:00:00:00:4f-3
18:13:28.597335000;32;0000000000000033-3<-->00:00:00:00:00:34-2
18:13:29.893346000;61;0000000000000020-3<-->00:00:00:00:00:21-2
18:13:30.423985000;80;000000000000002e-3<-->00:00:00:00:00:2f-2
18:13:30.495440000;161;0000000000000006-2<-->00:00:00:00:00:05-3
18:13:28.908337000;38;0000000000000005-3<-->00:00:00:00:00:06-2
18:13:30.426125000;98;000000000000002d-3<-->00:00:00:00:00:2e-2
18:13:28.319907000;25;000000000000005a-3<-->00:00:00:00:00:5b-2
18:13:30.434265000;119;000000000000005c-2<-->00:00:00:00:00:5b-3
18:13:26.851119000;4;000000000000000c-2<-->00:00:00:00:00:0b-3
18:13:29.502632000;52;0000000000000050-3<-->00:00:00:00:00:51-2
18:13:29.140843000;44;0000000000000058-2<-->00:00:00:00:00:57-3
18:13:30.424928000;88;000000000000000c-3<-->00:00:00:00:00:0d-2
18:13:29.281684000;46;000000000000002c-3<-->00:00:00:00:00:2d-2
18:13:30.425021000;89;0000000000000024-3<-->00:00:00:00:00:25-2
18:13:30.491021000;139;000000000000005e-3<-->00:00:00:00:00:5f-2
18:13:30.428841000;105;0000000000000003-2<-->00:00:00:00:00:02-3
18:13:30.494555000;159;0000000000000032-3<-->00:00:00:00:00:33-2
18:13:30.498672000;179;000000000000005f-2<-->00:00:00:00:00:5e-3
18:13:28.985856000;41;0000000000000002-3<-->00:00:00:00:00:03-2
18:13:30.424218000;82;0000000000000019-3<-->00:00:00:00:00:1a-2
18:13:30.497619000;174;0000000000000049-2<-->00:00:00:00:00:48-3
18:13:30.442778000;137;0000000000000011-2<-->00:00:00:00:00:10-3
18:13:30.425863000;96;000000000000003a-3<-->00:00:00:00:00:3b-2
18:13:30.499302000;193;0000000000000048-2<-->00:00:00:00:00:47-3
18:13:30.493399000;151;0000000000000008-2<-->00:00:00:00:00:07-3
18:13:27.200908000;7;0000000000000046-3<-->00:00:00:00:00:47-2
18:13:30.429036000;106;0000000000000022-3<-->00:00:00:00:00:23-2
18:13:30.421341000;76;000000000000000d-3<-->00:00:00:00:00:0e-2
18:13:30.439801000;129;0000000000000026-3<-->00:00:00:00:00:27-2
18:13:30.499264000;192;0000000000000058-3<-->00:00:00:00:00:59-2
18:13:30.499357000;195;000000000000005e-2<-->00:00:00:00:00:5d-3
18:13:29.691351000;56;0000000000000054-3<-->00:00:00:00:00:55-2
18:13:30.498087000;178;0000000000000020-3<-->00:00:00:00:00:21-2
18:13:30.425311000;92;000000000000002f-2<-->00:00:00:00:00:2e-3
18:13:30.499400000;196;0000000000000036-3<-->00:00:00:00:00:37-2
18:13:29.373274000;48;0000000000000030-2<-->00:00:00:00:00:2f-3
18:13:28.139575000;21;000000000000003a-3<-->00:00:00:00:00:3b-2
18:13:30.436384000;124;000000000000005b-2<-->00:00:00:00:00:5a-3
18:13:30.496926000;170;000000000000005c-3<-->00:00:00:00:00:5d-2
18:13:28.840447000;37;0000000000000002-2<-->00:00:00:00:00:01-2
18:13:30.498842000;183;0000000000000029-2<-->00:00:00:00:00:28-3
18:13:26.269736000;1;000000000000000d-2<-->00:00:00:00:00:0c-3
18:13:28.265218000;24;0000000000000059-3<-->00:00:00:00:00:5a-2
18:13:30.493752000;153;0000000000000057-3<-->00:00:00:00:00:58-2
18:13:29.782801000;60;0000000000000055-3<-->00:00:00:00:00:56-2
