tcpport;dpid
47736;['0000000000000053', '19:52:23.776099000']
47734;['0000000000000050', '19:52:23.775409000']
47732;['000000000000004f', '19:52:23.774540000']
47730;['0000000000000043', '19:52:23.772134000']
47738;['000000000000004d', '19:52:23.776782000']
47682;['000000000000002a', '19:52:21.706739000']
47680;['0000000000000017', '19:52:21.706190000']
47686;['000000000000002d', '19:52:22.653818000']
47684;['000000000000001d', '19:52:21.707270000']
47688;['0000000000000039', '19:52:22.654404000']
47702;['000000000000003d', '19:52:22.658133000']
47700;['000000000000002f', '19:52:22.657556000']
47706;['0000000000000031', '19:52:22.659196000']
47704;['0000000000000030', '19:52:22.658653000']
47708;['000000000000002c', '19:52:22.659815000']
47636;['0000000000000002', '19:52:20.892126000']
47634;['0000000000000011', '19:52:20.891444000']
47632;['000000000000000b', '19:52:20.890854000']
47630;['000000000000000d', '19:52:20.890338000']
47638;['0000000000000001', '19:52:20.892915000']
47654;['0000000000000029', '19:52:21.696702000']
47656;['0000000000000022', '19:52:21.697349000']
47718;['0000000000000036', '19:52:22.662597000']
47650;['0000000000000025', '19:52:21.695522000']
47652;['000000000000001c', '19:52:21.696039000']
47714;['0000000000000035', '19:52:22.661414000']
47716;['000000000000002e', '19:52:22.662016000']
47710;['0000000000000037', '19:52:22.660346000']
47658;['000000000000001e', '19:52:21.698203000']
47712;['000000000000003b', '19:52:22.660891000']
47620;['0000000000000007', '19:52:20.887501000']
47622;['000000000000000c', '19:52:20.888023000']
47788;['0000000000000055', '19:52:25.140961000']
47624;['000000000000000f', '19:52:20.888637000']
47626;['0000000000000014', '19:52:20.889294000']
47628;['000000000000000a', '19:52:20.889813000']
47782;['000000000000005e', '19:52:25.138920000']
47780;['0000000000000056', '19:52:25.138405000']
47786;['0000000000000057', '19:52:25.140089000']
47784;['0000000000000069', '19:52:25.139477000']
47646;['0000000000000021', '19:52:21.693788000']
47768;['000000000000004a', '19:52:23.795800000']
47644;['0000000000000020', '19:52:21.693250000']
47642;['0000000000000005', '19:52:20.894124000']
47640;['0000000000000004', '19:52:20.893539000']
47760;['0000000000000052', '19:52:23.792198000']
47762;['0000000000000051', '19:52:23.792761000']
47764;['0000000000000049', '19:52:23.794122000']
47648;['000000000000001a', '19:52:21.694362000']
47766;['0000000000000044', '19:52:23.795142000']
47794;['0000000000000060', '19:52:25.142548000']
47796;['0000000000000062', '19:52:25.143063000']
47790;['000000000000005c', '19:52:25.141478000']
47792;['000000000000005a', '19:52:25.141995000']
47798;['000000000000005f', '19:52:25.143743000']
47810;['000000000000005d', '19:52:25.147219000']
47672;['0000000000000026', '19:52:21.703405000']
47778;['000000000000005b', '19:52:25.137811000']
47670;['0000000000000023', '19:52:21.702772000']
47676;['000000000000001b', '19:52:21.704812000']
47674;['000000000000001f', '19:52:21.704134000']
47772;['0000000000000064', '19:52:25.135633000']
47770;['0000000000000065', '19:52:25.134602000']
47678;['0000000000000024', '19:52:21.705535000']
47776;['0000000000000061', '19:52:25.137251000']
47774;['0000000000000068', '19:52:25.136231000']
47804;['0000000000000058', '19:52:25.145570000']
47806;['0000000000000066', '19:52:25.146102000']
47800;['0000000000000067', '19:52:25.144357000']
47802;['0000000000000063', '19:52:25.144892000']
47808;['0000000000000059', '19:52:25.146611000']
47668;['0000000000000018', '19:52:21.702067000']
47664;['0000000000000028', '19:52:21.700392000']
47666;['0000000000000016', '19:52:21.701422000']
47660;['0000000000000027', '19:52:21.699014000']
47662;['0000000000000019', '19:52:21.699692000']
47618;['0000000000000010', '19:52:20.886882000']
47610;['0000000000000015', '19:52:20.884458000']
47612;['0000000000000008', '19:52:20.885005000']
47614;['0000000000000013', '19:52:20.885656000']
47616;['0000000000000012', '19:52:20.886376000']
47746;['000000000000004e', '19:52:23.782486000']
47744;['0000000000000048', '19:52:23.781189000']
47742;['0000000000000054', '19:52:23.780250000']
47740;['0000000000000042', '19:52:23.778155000']
47748;['0000000000000046', '19:52:23.783403000']
47724;['0000000000000032', '19:52:22.664911000']
47608;['0000000000000006', '19:52:20.883943000']
47726;['0000000000000034', '19:52:22.665511000']
47720;['000000000000002b', '19:52:22.663760000']
47722;['000000000000003e', '19:52:22.664283000']
47602;['000000000000000e', '19:52:20.882053000']
47606;['0000000000000003', '19:52:20.883443000']
47728;['0000000000000047', '19:52:23.770319000']
47604;['0000000000000009', '19:52:20.882917000']
47690;['000000000000003c', '19:52:22.654981000']
47692;['0000000000000038', '19:52:22.655499000']
47694;['0000000000000033', '19:52:22.593451000']
47696;['000000000000003f', '19:52:22.656415000']
47698;['000000000000003a', '19:52:22.657014000']
47750;['000000000000004b', '19:52:23.673024000']
47752;['000000000000004c', '19:52:23.785339000']
47754;['0000000000000045', '19:52:23.786398000']
47756;['0000000000000040', '19:52:23.788621000']
47758;['0000000000000041', '19:52:23.789632000']
