stamptime;link_number;link
18:16:17.645297000;167;0000000000000050-2<-->00:00:00:00:00:4f-33
18:16:17.558257000;140;0000000000000060-3<-->00:00:00:00:00:61-32
18:16:16.391468000;12;0000000000000048-3<-->00:00:00:00:00:49-32
18:16:17.350072000;77;0000000000000011-2<-->00:00:00:00:00:10-33
18:16:17.560840000;147;000000000000000c-2<-->00:00:00:00:00:0b-33
18:16:17.429441000;107;0000000000000049-3<-->00:00:00:00:00:4a-32
18:16:17.141413000;36;000000000000003b-2<-->00:00:00:00:00:3a-33
18:16:17.350617000;80;0000000000000046-3<-->00:00:00:00:00:47-32
18:16:17.646181000;175;000000000000003f-3<-->00:00:00:00:00:40-32
18:16:17.347401000;74;0000000000000012-2<-->00:00:00:00:00:11-33
18:16:17.555968000;132;0000000000000023-2<-->00:00:00:00:00:22-33
18:16:17.350488000;79;0000000000000010-3<-->00:00:00:00:00:11-32
18:16:17.638201000;164;0000000000000015-3<-->00:00:00:00:00:16-32
18:16:17.416149000;96;0000000000000009-3<-->00:00:00:00:00:0a-32
18:16:17.347083000;72;0000000000000035-2<-->00:00:00:00:00:34-33
18:16:17.647904000;182;0000000000000012-3<-->00:00:00:00:00:13-32
18:16:17.286558000;65;0000000000000047-2<-->00:00:00:00:00:46-33
18:16:17.153372000;46;000000000000001d-2<-->00:00:00:00:00:1c-33
18:16:16.859668000;26;0000000000000027-2<-->00:00:00:00:00:26-33
18:16:17.415643000;92;0000000000000005-2<-->00:00:00:00:00:04-33
18:16:17.649427000;195;000000000000000e-3<-->00:00:00:00:00:0f-32
18:16:17.496484000;122;000000000000004b-2<-->00:00:00:00:00:4a-33
18:16:17.419557000;99;0000000000000046-3<-->00:00:00:00:00:47-32
18:16:16.393724000;15;0000000000000042-3<-->00:00:00:00:00:43-32
18:16:16.859774000;27;0000000000000027-2<-->00:00:00:00:00:26-33
18:16:17.648168000;184;0000000000000058-2<-->00:00:00:00:00:57-33
18:16:16.912376000;28;000000000000001a-2<-->00:00:00:00:00:19-33
18:16:17.415519000;91;0000000000000005-2<-->00:00:00:00:00:04-33
18:16:17.429127000;105;000000000000005b-2<-->00:00:00:00:00:5a-33
18:16:17.421449000;103;000000000000000d-3<-->00:00:00:00:00:0e-32
18:16:17.645966000;173;000000000000001d-3<-->00:00:00:00:00:1e-32
18:16:17.487092000;118;0000000000000048-2<-->00:00:00:00:00:47-33
18:16:17.499192000;125;0000000000000021-3<-->00:00:00:00:00:22-32
18:16:17.289984000;68;0000000000000055-3<-->00:00:00:00:00:56-32
18:16:17.429664000;109;0000000000000020-2<-->00:00:00:00:00:1f-33
18:16:17.638065000;163;0000000000000046-2<-->00:00:00:00:00:45-33
18:16:17.646066000;174;0000000000000031-3<-->00:00:00:00:00:32-32
18:16:17.649968000;198;000000000000000c-2<-->00:00:00:00:00:0b-33
18:16:17.143234000;40;0000000000000004-3<-->00:00:00:00:00:05-32
18:16:17.144243000;42;0000000000000060-2<-->00:00:00:00:00:5f-33
18:16:17.415901000;94;0000000000000012-2<-->00:00:00:00:00:11-33
18:16:17.645504000;169;0000000000000044-3<-->00:00:00:00:00:45-32
18:16:16.744773000;18;0000000000000027-3<-->00:00:00:00:00:28-32
18:16:17.421340000;102;000000000000000d-3<-->00:00:00:00:00:0e-32
18:16:16.339259000;8;000000000000004d-2<-->00:00:00:00:00:4c-33
18:16:17.487260000;119;0000000000000007-3<-->00:00:00:00:00:08-32
18:16:17.141892000;37;0000000000000019-3<-->00:00:00:00:00:1a-32
18:16:17.359025000;89;0000000000000062-3<-->00:00:00:00:00:63-32
18:16:17.416292000;97;000000000000002e-2<-->00:00:00:00:00:2d-33
18:16:17.358176000;85;0000000000000052-3<-->00:00:00:00:00:53-32
18:16:17.486883000;116;0000000000000034-2<-->00:00:00:00:00:33-33
18:16:17.354585000;82;000000000000000c-3<-->00:00:00:00:00:0d-32
18:16:17.346153000;71;000000000000005f-3<-->00:00:00:00:00:60-32
18:16:17.648411000;186;000000000000005e-2<-->00:00:00:00:00:5d-33
18:16:17.283669000;62;000000000000005f-3<-->00:00:00:00:00:60-32
18:16:17.214997000;50;000000000000003b-2<-->00:00:00:00:00:3a-33
18:16:17.649318000;194;0000000000000015-3<-->00:00:00:00:00:16-32
18:16:17.565307000;149;0000000000000044-3<-->00:00:00:00:00:45-32
18:16:17.416025000;95;0000000000000054-2<-->00:00:00:00:00:53-33
18:16:17.486675000;115;0000000000000009-2<-->00:00:00:00:00:08-33
18:16:17.648021000;183;0000000000000018-2<-->00:00:00:00:00:17-33
18:16:17.216261000;51;0000000000000004-3<-->00:00:00:00:00:05-32
18:16:17.565744000;152;000000000000005c-3<-->00:00:00:00:00:5d-32
18:16:17.224217000;55;0000000000000014-3<-->00:00:00:00:00:15-32
18:16:17.429785000;110;0000000000000038-3<-->00:00:00:00:00:39-32
18:16:17.637087000;162;0000000000000002-3<-->00:00:00:00:00:03-32
18:16:17.358301000;87;0000000000000052-2<-->00:00:00:00:00:51-33
18:16:17.358482000;88;000000000000002c-3<-->00:00:00:00:00:2d-32
18:16:17.636062000;159;0000000000000017-2<-->00:00:00:00:00:16-33
18:16:17.213639000;49;0000000000000026-2<-->00:00:00:00:00:25-33
18:16:16.859391000;24;000000000000003c-2<-->00:00:00:00:00:3b-33
18:16:17.487888000;120;0000000000000056-2<-->00:00:00:00:00:55-33
18:16:17.648516000;187;0000000000000033-2<-->00:00:00:00:00:32-33
18:16:17.558127000;139;0000000000000056-2<-->00:00:00:00:00:55-33
18:16:17.556510000;136;0000000000000009-2<-->00:00:00:00:00:08-33
18:16:17.645751000;171;0000000000000014-2<-->00:00:00:00:00:13-33
18:16:16.332882000;4;0000000000000044-2<-->00:00:00:00:00:43-33
18:16:17.562675000;148;000000000000004a-3<-->00:00:00:00:00:4b-32
18:16:16.916376000;32;0000000000000019-2<-->00:00:00:00:00:18-33
18:16:17.486985000;117;0000000000000034-2<-->00:00:00:00:00:33-33
18:16:17.646290000;176;000000000000002a-3<-->00:00:00:00:00:2b-32
18:16:17.485973000;111;000000000000001a-3<-->00:00:00:00:00:1b-32
18:16:17.292438000;70;0000000000000062-3<-->00:00:00:00:00:63-32
18:16:17.648909000;190;0000000000000002-2<-->00:00:00:00:00:01-32
18:16:17.224726000;57;000000000000003f-2<-->00:00:00:00:00:3e-33
18:16:17.415768000;93;000000000000003a-2<-->00:00:00:00:00:39-33
18:16:17.144129000;41;0000000000000060-2<-->00:00:00:00:00:5f-33
18:16:17.222854000;54;0000000000000039-3<-->00:00:00:00:00:3a-32
18:16:16.970399000;34;0000000000000035-3<-->00:00:00:00:00:36-32
18:16:17.636988000;161;0000000000000002-2<-->00:00:00:00:00:01-32
18:16:17.229300000;61;000000000000003d-3<-->00:00:00:00:00:3e-32
18:16:17.419711000;100;000000000000000e-2<-->00:00:00:00:00:0d-33
18:16:17.565875000;153;000000000000004c-2<-->00:00:00:00:00:4b-33
18:16:17.649209000;193;0000000000000063-3<-->00:00:00:00:00:64-32
18:16:17.154293000;47;000000000000002a-2<-->00:00:00:00:00:29-33
18:16:17.565611000;151;000000000000003f-3<-->00:00:00:00:00:40-32
18:16:16.337079000;7;0000000000000042-3<-->00:00:00:00:00:43-32
18:16:17.347186000;73;0000000000000035-2<-->00:00:00:00:00:34-33
18:16:17.649127000;192;0000000000000046-2<-->00:00:00:00:00:45-33
18:16:16.918419000;33;000000000000002f-2<-->00:00:00:00:00:2e-33
18:16:17.359321000;90;0000000000000038-3<-->00:00:00:00:00:39-32
18:16:16.269932000;1;0000000000000048-3<-->00:00:00:00:00:49-32
18:16:17.555658000;130;000000000000001a-3<-->00:00:00:00:00:1b-32
18:16:17.647810000;181;0000000000000012-3<-->00:00:00:00:00:13-32
18:16:17.356854000;84;0000000000000050-3<-->00:00:00:00:00:51-32
18:16:17.142434000;39;000000000000005e-3<-->00:00:00:00:00:5f-32
18:16:17.229231000;60;000000000000003d-3<-->00:00:00:00:00:3e-32
18:16:17.558688000;143;0000000000000025-2<-->00:00:00:00:00:24-33
18:16:17.347524000;75;0000000000000054-2<-->00:00:00:00:00:53-33
18:16:17.289887000;67;0000000000000055-3<-->00:00:00:00:00:56-32
18:16:16.914710000;31;0000000000000018-3<-->00:00:00:00:00:19-32
18:16:17.287309000;66;0000000000000011-2<-->00:00:00:00:00:10-33
18:16:17.645121000;166;000000000000005a-2<-->00:00:00:00:00:59-33
18:16:17.216980000;52;0000000000000047-2<-->00:00:00:00:00:46-33
18:16:17.145049000;43;0000000000000011-3<-->00:00:00:00:00:12-32
18:16:16.858994000;23;000000000000002f-2<-->00:00:00:00:00:2e-33
18:16:17.224314000;56;0000000000000014-3<-->00:00:00:00:00:15-32
18:16:16.334593000;5;000000000000005b-3<-->00:00:00:00:00:5c-32
18:16:17.647689000;180;000000000000004e-3<-->00:00:00:00:00:4f-32
18:16:17.217950000;53;0000000000000011-3<-->00:00:00:00:00:12-32
18:16:16.337002000;6;0000000000000042-2<-->00:00:00:00:00:41-33
18:16:17.486519000;114;0000000000000054-3<-->00:00:00:00:00:55-32
18:16:17.646559000;178;000000000000004c-2<-->00:00:00:00:00:4b-33
18:16:17.635226000;157;000000000000005e-2<-->00:00:00:00:00:5d-33
18:16:17.556387000;135;0000000000000054-3<-->00:00:00:00:00:55-32
18:16:17.487990000;121;0000000000000060-3<-->00:00:00:00:00:61-32
18:16:17.499597000;127;0000000000000049-3<-->00:00:00:00:00:4a-32
18:16:17.648263000;185;0000000000000058-3<-->00:00:00:00:00:59-32
18:16:17.284338000;64;000000000000002e-2<-->00:00:00:00:00:2d-33
18:16:17.499829000;129;0000000000000020-2<-->00:00:00:00:00:1f-33
18:16:17.347665000;76;0000000000000009-3<-->00:00:00:00:00:0a-32
18:16:17.645634000;170;0000000000000041-2<-->00:00:00:00:00:40-33
18:16:17.499298000;126;0000000000000021-3<-->00:00:00:00:00:22-32
18:16:17.635937000;158;0000000000000004-2<-->00:00:00:00:00:03-33
18:16:16.792491000;19;0000000000000029-2<-->00:00:00:00:00:28-33
18:16:16.342744000;11;0000000000000020-3<-->00:00:00:00:00:21-32
18:16:16.339594000;10;000000000000003d-2<-->00:00:00:00:00:3c-33
18:16:17.558618000;142;0000000000000025-2<-->00:00:00:00:00:24-33
18:16:17.558807000;144;000000000000000a-3<-->00:00:00:00:00:0b-32
18:16:17.496935000;123;000000000000000b-3<-->00:00:00:00:00:0c-32
18:16:17.429207000;106;000000000000005b-2<-->00:00:00:00:00:5a-33
18:16:16.797467000;21;000000000000002f-3<-->00:00:00:00:00:30-32
18:16:17.558447000;141;0000000000000002-3<-->00:00:00:00:00:03-32
18:16:17.212723000;48;000000000000005f-2<-->00:00:00:00:00:5e-33
18:16:17.556158000;134;0000000000000023-3<-->00:00:00:00:00:24-32
