tcpport;dpid
45948;['0000000000000023', '17:02:40.417583000']
46102;['0000000000000052', '17:02:40.440410000']
45928;['000000000000004d', '17:02:39.626811000']
46100;['000000000000005b', '17:02:40.440099000']
46106;['0000000000000014', '17:02:40.441020000']
46104;['000000000000001d', '17:02:40.440709000']
46108;['0000000000000021', '17:02:40.441330000']
45926;['000000000000003c', '17:02:39.626514000']
46028;['0000000000000015', '17:02:40.428629000']
46024;['0000000000000025', '17:02:40.428014000']
46026;['0000000000000051', '17:02:40.428321000']
46020;['0000000000000010', '17:02:40.427377000']
46022;['0000000000000063', '17:02:40.427707000']
46082;['0000000000000013', '17:02:40.437239000']
46080;['000000000000001e', '17:02:40.436929000']
46086;['0000000000000001', '17:02:40.437884000']
46084;['000000000000002b', '17:02:40.437555000']
46088;['0000000000000006', '17:02:40.438203000']
45974;['0000000000000030', '17:02:40.420874000']
46076;['0000000000000040', '17:02:40.436312000']
45938;['0000000000000062', '17:02:39.628205000']
45970;['0000000000000009', '17:02:40.420480000']
45932;['000000000000003d', '17:02:39.627382000']
45930;['0000000000000027', '17:02:39.627084000']
45936;['0000000000000020', '17:02:39.627930000']
45934;['0000000000000049', '17:02:39.627667000']
46038;['000000000000001f', '17:02:40.430197000']
46036;['000000000000000d', '17:02:40.429870000']
46034;['0000000000000008', '17:02:40.429560000']
46032;['000000000000000e', '17:02:40.429249000']
46030;['000000000000000a', '17:02:40.428939000']
46072;['0000000000000064', '17:02:40.435574000']
46098;['0000000000000041', '17:02:40.439783000']
45988;['0000000000000034', '17:02:40.422955000']
46094;['0000000000000050', '17:02:40.439156000']
45986;['000000000000005e', '17:02:40.422651000']
46096;['0000000000000044', '17:02:40.439464000']
45984;['0000000000000048', '17:02:40.422329000']
46090;['000000000000005a', '17:02:40.438521000']
45982;['0000000000000019', '17:02:40.422030000']
46092;['000000000000002f', '17:02:40.438840000']
45980;['0000000000000058', '17:02:40.421730000']
46120;['000000000000004c', '17:02:40.443219000']
46122;['000000000000002c', '17:02:40.443530000']
46124;['0000000000000043', '17:02:40.443850000']
46008;['0000000000000061', '17:02:40.425895000']
46002;['0000000000000056', '17:02:40.425113000']
46000;['0000000000000004', '17:02:40.424797000']
46006;['0000000000000060', '17:02:40.425660000']
46004;['0000000000000047', '17:02:40.425420000']
45998;['0000000000000017', '17:02:40.424490000']
45964;['000000000000004e', '17:02:40.419916000']
45990;['0000000000000036', '17:02:40.423257000']
45992;['0000000000000003', '17:02:40.423558000']
45994;['0000000000000033', '17:02:40.423880000']
45996;['0000000000000007', '17:02:40.424190000']
45966;['0000000000000012', '17:02:40.420098000']
45960;['0000000000000028', '17:02:40.419375000']
46014;['0000000000000011', '17:02:40.426542000']
46016;['0000000000000002', '17:02:40.426761000']
46010;['0000000000000053', '17:02:40.426155000']
46012;['000000000000002d', '17:02:40.426354000']
46066;['000000000000004a', '17:02:40.434623000']
46018;['0000000000000046', '17:02:40.427067000']
46060;['0000000000000024', '17:02:40.433675000']
46062;['0000000000000032', '17:02:40.433994000']
46064;['000000000000004f', '17:02:40.434319000']
45962;['000000000000003a', '17:02:40.419714000']
46068;['000000000000004b', '17:02:40.434933000']
45968;['0000000000000054', '17:02:40.420282000']
45976;['000000000000002e', '17:02:40.421172000']
46070;['000000000000000b', '17:02:40.435261000']
45972;['0000000000000018', '17:02:40.420689000']
46074;['0000000000000039', '17:02:40.435993000']
46078;['0000000000000045', '17:02:40.436623000']
45978;['000000000000003b', '17:02:40.421429000']
45954;['0000000000000026', '17:02:40.418458000']
45956;['0000000000000029', '17:02:40.418767000']
45950;['000000000000003e', '17:02:40.417918000']
46056;['000000000000005d', '17:02:40.433037000']
45942;['000000000000001a', '17:02:40.416715000']
45940;['0000000000000038', '17:02:39.628474000']
45946;['000000000000005f', '17:02:40.417270000']
45944;['000000000000001c', '17:02:40.416958000']
46046;['0000000000000057', '17:02:40.431438000']
46044;['0000000000000022', '17:02:40.431130000']
46042;['0000000000000037', '17:02:40.430816000']
46040;['000000000000000f', '17:02:40.430504000']
46058;['0000000000000016', '17:02:40.433354000']
46110;['0000000000000031', '17:02:40.441644000']
46112;['000000000000003f', '17:02:40.441974000']
45958;['0000000000000005', '17:02:40.419063000']
46114;['000000000000002a', '17:02:40.442286000']
46116;['000000000000005c', '17:02:40.442590000']
46050;['000000000000001b', '17:02:40.432089000']
46118;['0000000000000042', '17:02:40.442903000']
46052;['0000000000000059', '17:02:40.432402000']
46048;['0000000000000055', '17:02:40.431764000']
46054;['000000000000000c', '17:02:40.432716000']
45952;['0000000000000035', '17:02:40.418226000']
