stamptime;link_number;link
18:25:06.815466000;58;0000000000000011-2<-->0000000000000010-00000003
18:25:06.814016000;20;000000000000003e-3<-->000000000000003f-00000002
18:25:06.935632000;185;000000000000005d-2<-->000000000000005c-00000003
18:25:06.859640000;130;0000000000000036-3<-->0000000000000037-00000002
18:25:06.935217000;173;0000000000000063-3<-->0000000000000064-00000002
18:25:06.859129000;117;000000000000003a-3<-->000000000000003b-00000002
18:25:06.932666000;153;0000000000000051-2<-->0000000000000050-00000003
18:25:06.817052000;100;000000000000003c-3<-->000000000000003d-00000002
18:25:06.813984000;19;0000000000000023-3<-->0000000000000024-00000002
18:25:06.814516000;33;0000000000000054-3<-->0000000000000055-00000002
18:25:06.816944000;97;000000000000004c-3<-->000000000000004d-00000002
18:25:06.934297000;162;000000000000003c-3<-->000000000000003d-00000002
18:25:06.935012000;167;0000000000000053-2<-->0000000000000052-00000003
18:25:06.935084000;169;0000000000000011-2<-->0000000000000010-00000003
18:25:06.815640000;64;0000000000000051-2<-->0000000000000050-00000003
18:25:06.815525000;60;0000000000000046-2<-->0000000000000045-00000003
18:25:06.861216000;149;0000000000000048-2<-->0000000000000047-00000003
18:25:06.816884000;96;0000000000000021-2<-->0000000000000020-00000003
18:25:06.774949000;3;0000000000000035-2<-->0000000000000034-00000003
18:25:06.859157000;118;000000000000003a-2<-->0000000000000039-00000003
18:25:06.814094000;23;0000000000000026-3<-->0000000000000027-00000002
18:25:06.816093000;78;000000000000000c-2<-->000000000000000b-00000003
18:25:06.936096000;194;0000000000000041-3<-->0000000000000042-00000002
18:25:06.936016000;192;0000000000000013-3<-->0000000000000014-00000002
18:25:06.859192000;119;0000000000000012-2<-->0000000000000011-00000003
18:25:06.817013000;99;0000000000000043-3<-->0000000000000044-00000002
18:25:06.813924000;17;000000000000001c-3<-->000000000000001d-00000002
18:25:06.815608000;63;0000000000000063-2<-->0000000000000062-00000003
18:25:06.936214000;196;000000000000004c-3<-->000000000000004d-00000002
18:25:06.814353000;29;0000000000000012-3<-->0000000000000013-00000002
18:25:06.861035000;144;0000000000000054-3<-->0000000000000055-00000002
18:25:06.859825000;134;0000000000000047-2<-->0000000000000046-00000003
18:25:06.932720000;154;000000000000001f-3<-->0000000000000020-00000002
18:25:06.858961000;114;0000000000000029-3<-->000000000000002a-00000002
18:25:06.935718000;186;0000000000000032-2<-->0000000000000031-00000003
18:25:06.816015000;76;0000000000000022-2<-->0000000000000021-00000003
18:25:06.859401000;126;0000000000000030-2<-->000000000000002f-00000003
18:25:06.861091000;146;0000000000000009-2<-->0000000000000008-00000003
18:25:06.815848000;71;000000000000000a-3<-->000000000000000b-00000002
18:25:06.856526000;102;000000000000001c-3<-->000000000000001d-00000002
18:25:06.774980000;4;0000000000000035-3<-->0000000000000036-00000002
18:25:06.815304000;53;0000000000000056-3<-->0000000000000057-00000002
18:25:06.815172000;49;0000000000000007-2<-->0000000000000006-00000003
18:25:06.860722000;135;000000000000001a-3<-->000000000000001b-00000002
18:25:06.935315000;176;0000000000000015-2<-->0000000000000014-00000003
18:25:06.815747000;68;0000000000000015-2<-->0000000000000014-00000003
18:25:06.815114000;47;0000000000000033-2<-->0000000000000032-00000003
18:25:06.775036000;5;0000000000000029-2<-->0000000000000028-00000003
18:25:06.815816000;70;000000000000000e-2<-->000000000000000d-00000003
18:25:06.933122000;156;000000000000004f-3<-->0000000000000050-00000002
