tcpport;dpid
51304;['000000000000001d', '15:49:53.710479000']
51176;['0000000000000030', '15:49:53.692957000']
51306;['0000000000000014', '15:49:53.710715000']
51174;['000000000000002e', '15:49:53.692556000']
51300;['0000000000000031', '15:49:53.710001000']
51172;['0000000000000009', '15:49:53.692138000']
51302;['0000000000000021', '15:49:53.710238000']
51268;['000000000000004a', '15:49:53.706129000']
51266;['000000000000004b', '15:49:53.705893000']
51264;['0000000000000024', '15:49:53.705648000']
51308;['0000000000000052', '15:49:53.710954000']
51262;['0000000000000032', '15:49:53.705410000']
51178;['000000000000003b', '15:49:53.693321000']
51284;['000000000000002b', '15:49:53.708041000']
51286;['000000000000005a', '15:49:53.708283000']
51280;['000000000000001e', '15:49:53.707548000']
51282;['0000000000000013', '15:49:53.707791000']
51288;['0000000000000001', '15:49:53.708503000']
51278;['0000000000000045', '15:49:53.707306000']
51162;['000000000000003a', '15:49:53.690162000']
51164;['0000000000000012', '15:49:53.690558000']
51166;['000000000000004e', '15:49:53.690944000']
51270;['000000000000000b', '15:49:53.706371000']
51272;['0000000000000039', '15:49:53.706610000']
51274;['0000000000000064', '15:49:53.706831000']
51276;['0000000000000040', '15:49:53.707070000']
51168;['0000000000000054', '15:49:53.691341000']
51296;['0000000000000044', '15:49:53.709530000']
51294;['0000000000000041', '15:49:53.709293000']
51292;['000000000000002f', '15:49:53.709054000']
51290;['0000000000000006', '15:49:53.708744000']
51298;['0000000000000050', '15:49:53.709764000']
51198;['0000000000000004', '15:49:53.697164000']
51194;['0000000000000033', '15:49:53.696411000']
51196;['0000000000000007', '15:49:53.696818000']
51190;['0000000000000036', '15:49:53.695616000']
51192;['0000000000000003', '15:49:53.696017000']
51208;['0000000000000061', '15:49:53.698762000']
51204;['0000000000000047', '15:49:53.698246000']
51206;['0000000000000060', '15:49:53.698519000']
51200;['0000000000000017', '15:49:53.697437000']
51202;['0000000000000056', '15:49:53.697833000']
51188;['0000000000000034', '15:49:53.695241000']
51186;['0000000000000048', '15:49:53.694818000']
51184;['000000000000005e', '15:49:53.694401000']
51170;['0000000000000018', '15:49:53.691740000']
51182;['0000000000000058', '15:49:53.694006000']
51180;['0000000000000019', '15:49:53.693599000']
51218;['0000000000000046', '15:49:53.699984000']
51216;['0000000000000002', '15:49:53.699743000']
51214;['0000000000000011', '15:49:53.699497000']
51212;['000000000000002d', '15:49:53.699249000']
51210;['0000000000000053', '15:49:53.699006000']
51260;['000000000000004f', '15:49:53.705170000']
51340;['0000000000000062', '15:49:53.714842000']
51228;['0000000000000015', '15:49:53.701255000']
51222;['0000000000000063', '15:49:53.700478000']
51220;['0000000000000010', '15:49:53.700228000']
51226;['0000000000000025', '15:49:53.701000000']
51224;['0000000000000051', '15:49:53.700720000']
51234;['000000000000000d', '15:49:53.701993000']
51236;['000000000000000f', '15:49:53.702245000']
51230;['000000000000000e', '15:49:53.701509000']
51232;['000000000000000a', '15:49:53.701752000']
51238;['0000000000000008', '15:49:53.702485000']
51338;['0000000000000020', '15:49:53.714605000']
51334;['0000000000000049', '15:49:53.714133000']
51336;['0000000000000038', '15:49:53.714368000']
51330;['0000000000000027', '15:49:53.713661000']
51332;['000000000000003d', '15:49:53.713899000']
51240;['0000000000000037', '15:49:53.702726000']
51242;['000000000000001f', '15:49:53.702970000']
51244;['0000000000000022', '15:49:53.703211000']
51246;['000000000000001b', '15:49:53.703449000']
51248;['0000000000000057', '15:49:53.703687000']
51158;['0000000000000005', '15:49:53.689404000']
51328;['000000000000004d', '15:49:53.713420000']
51326;['000000000000003c', '15:49:53.713182000']
51150;['000000000000003e', '15:49:53.687809000']
51324;['0000000000000043', '15:49:53.712939000']
51152;['0000000000000026', '15:49:53.688210000']
51322;['000000000000002c', '15:49:53.712664000']
51154;['0000000000000035', '15:49:53.688591000']
51320;['0000000000000042', '15:49:53.712423000']
51156;['0000000000000029', '15:49:53.688997000']
51160;['0000000000000028', '15:49:53.689776000']
51252;['0000000000000059', '15:49:53.704162000']
51250;['0000000000000055', '15:49:53.703924000']
51256;['000000000000000c', '15:49:53.704647000']
51254;['000000000000005d', '15:49:53.704405000']
51258;['0000000000000016', '15:49:53.704916000']
51148;['0000000000000023', '15:49:53.687500000']
51318;['000000000000004c', '15:49:53.712168000']
51142;['000000000000001a', '15:49:53.686706000']
51312;['000000000000003f', '15:49:53.711438000']
51310;['000000000000005b', '15:49:53.711201000']
51146;['000000000000001c', '15:49:53.687253000']
51316;['000000000000005c', '15:49:53.711917000']
51144;['000000000000005f', '15:49:53.687003000']
51314;['000000000000002a', '15:49:53.711681000']
