stamptime;link_number;link
('19:13:21.635944000', 251);000000000000009a-6<-->00:00:00:00:00:90-3130
('19:13:39.027903000', 444);00000000000000f5-6<-->00:00:00:00:00:f3-32
('19:13:24.368110000', 284);000000000000009f-6<-->00:00:00:00:00:9b-34
('19:13:12.617644000', 66);0000000000000007-6<-->00:00:00:00:00:01-36
('19:13:28.694493000', 339);00000000000000a6-9<-->00:00:00:00:00:af-36
('19:13:17.730053000', 199);0000000000000083-6<-->00:00:00:00:00:7a-39
('19:13:12.478847000', 54);0000000000000040-6<-->00:00:00:00:00:38-38
('19:13:10.686438000', 30);0000000000000017-9<-->00:00:00:00:00:20-36
('19:13:39.014277000', 443);00000000000000f6-6<-->00:00:00:00:00:f3-33
('19:13:30.122365000', 361);00000000000000cf-6<-->00:00:00:00:00:c7-38
('19:13:44.155441000', 478);0000000000000102-6<-->00:00:00:00:00:fe-34
('19:13:45.362556000', 482);0000000000000111-6<-->00:00:00:00:01:09-38
('19:13:32.497400000', 389);00000000000000cd-6<-->00:00:00:00:00:c7-36
('19:13:29.831990000', 354);00000000000000bc-3<-->00:00:00:00:00:bf-36
('19:13:13.853461000', 97);0000000000000017-3<-->00:00:00:00:00:1a-36
('19:13:14.765540000', 130);000000000000002d-2<-->00:00:00:00:00:2f-36
('19:13:11.954563000', 49);000000000000002d-5<-->00:00:00:00:00:32-36
('19:13:15.715740000', 154);0000000000000067-6<-->00:00:00:00:00:64-33
('19:13:28.685846000', 333);00000000000000b7-6<-->00:00:00:00:00:b1-36
('19:13:14.205044000', 112);0000000000000022-3<-->00:00:00:00:00:25-36
('19:13:13.749048000', 91);0000000000000017-5<-->00:00:00:00:00:1c-36
('19:13:11.835500000', 42);000000000000002e-6<-->00:00:00:00:00:2d-31
('19:13:21.892222000', 279);000000000000008b-6<-->00:00:00:00:00:85-36
('19:13:24.370634000', 287);0000000000000095-6<-->00:00:00:00:00:90-35
('19:13:21.864886000', 259);000000000000009b-7<-->00:00:00:00:00:a2-36
('19:13:13.948481000', 108);000000000000004e-1<-->00:00:00:00:00:4f-36
('19:13:15.714528000', 152);0000000000000069-6<-->00:00:00:00:00:64-35
('19:13:21.889105000', 274);0000000000000085-2<-->00:00:00:00:00:87-36
('19:13:10.684700000', 23);000000000000001c-6<-->00:00:00:00:00:17-35
('19:13:31.578368000', 374);00000000000000d2-1<-->00:00:00:00:00:d3-36
('19:13:18.644118000', 219);000000000000006d-6<-->00:00:00:00:00:64-39
('19:13:25.422272000', 311);00000000000000b1-1<-->00:00:00:00:00:b2-36
('19:13:10.170303000', 17);000000000000000c-5<-->00:00:00:00:00:11-36
('19:13:11.206578000', 33);0000000000000022-1<-->00:00:00:00:00:23-36
('19:13:09.666523000', 9);0000000000000001-10<-->00:00:00:00:00:0b-36
('19:13:24.387578000', 299);00000000000000a3-6<-->00:00:00:00:00:9b-38
('19:13:11.206996000', 37);0000000000000022-7<-->00:00:00:00:00:29-36
('19:13:32.478869000', 386);00000000000000c9-6<-->00:00:00:00:00:c7-32
('19:13:13.948570000', 109);000000000000004e-7<-->00:00:00:00:00:55-36
('19:13:31.984198000', 381);00000000000000c7-8<-->00:00:00:00:00:cf-36
('19:13:44.144904000', 471);00000000000000fe-7<-->00:00:00:00:01:05-36
('19:13:31.576208000', 373);00000000000000d9-6<-->00:00:00:00:00:d2-37
('19:13:30.124106000', 366);00000000000000c7-2<-->00:00:00:00:00:c9-36
('19:13:22.984110000', 281);0000000000000090-10<-->00:00:00:00:00:9a-36
('19:13:09.665990000', 3);0000000000000001-2<-->00:00:00:00:00:03-36
('19:13:31.572941000', 372);00000000000000d6-6<-->00:00:00:00:00:d2-34
('19:13:44.145197000', 474);00000000000000fe-2<-->00:00:00:00:01:00-36
('19:13:12.616106000', 64);0000000000000006-6<-->00:00:00:00:00:01-35
('19:13:39.052986000', 448);00000000000000f3-10<-->00:00:00:00:00:fd-36
('19:13:34.071939000', 395);00000000000000dd-1<-->00:00:00:00:00:de-36
('19:13:36.283610000', 421);00000000000000f2-6<-->00:00:00:00:00:e8-3130
('19:13:21.864947000', 260);000000000000009b-10<-->00:00:00:00:00:a5-36
('19:13:13.205205000', 83);0000000000000045-6<-->00:00:00:00:00:43-32
('19:13:16.684256000', 171);0000000000000051-6<-->00:00:00:00:00:4e-33
('19:13:21.864790000', 256);000000000000009b-5<-->00:00:00:00:00:a0-36
('19:13:40.463385000', 457);00000000000000fa-6<-->00:00:00:00:00:f3-37
('19:13:29.052623000', 350);00000000000000ba-6<-->00:00:00:00:00:b1-39
('19:13:16.686246000', 172);0000000000000050-6<-->00:00:00:00:00:4e-32
('19:13:15.717015000', 157);000000000000006c-6<-->00:00:00:00:00:64-38
('19:13:18.638557000', 212);0000000000000064-7<-->00:00:00:00:00:6b-36
('19:13:14.765501000', 129);000000000000002d-6<-->00:00:00:00:00:33-36
('19:13:13.760610000', 93);000000000000001d-6<-->00:00:00:00:00:17-36
('19:13:13.204932000', 82);000000000000004b-6<-->00:00:00:00:00:43-38
('19:13:15.928825000', 164);0000000000000043-4<-->00:00:00:00:00:47-36
('19:13:15.929716000', 169);0000000000000048-6<-->00:00:00:00:00:43-35
('19:13:40.462630000', 456);00000000000000f3-1<-->00:00:00:00:00:f4-36
('19:13:20.836769000', 247);000000000000006f-5<-->00:00:00:00:00:74-36
('19:13:36.301631000', 430);00000000000000e8-7<-->00:00:00:00:00:ef-36
('19:13:16.877635000', 180);0000000000000054-6<-->00:00:00:00:00:4e-36
('19:13:47.492273000', 499);0000000000000109-3<-->00:00:00:00:01:0c-36
('19:13:13.207118000', 87);0000000000000044-6<-->00:00:00:00:00:43-31
('19:13:13.765295000', 95);0000000000000020-6<-->00:00:00:00:00:17-39
('19:13:10.685444000', 25);0000000000000018-6<-->00:00:00:00:00:17-31
('19:13:19.317112000', 227);0000000000000089-6<-->00:00:00:00:00:85-34
('19:13:12.477623000', 52);0000000000000041-6<-->00:00:00:00:00:38-39
('19:13:36.291601000', 425);00000000000000f1-6<-->00:00:00:00:00:e8-39
('19:13:25.424344000', 314);00000000000000b0-6<-->00:00:00:00:00:a6-3130
('19:13:18.638890000', 217);0000000000000064-8<-->00:00:00:00:00:6c-36
('19:13:25.414365000', 303);00000000000000ad-6<-->00:00:00:00:00:a6-37
('19:13:39.014168000', 442);00000000000000f9-6<-->00:00:00:00:00:f3-36
('19:13:25.426161000', 317);00000000000000a6-3<-->00:00:00:00:00:a9-36
('19:13:15.568860000', 146);0000000000000039-6<-->00:00:00:00:00:38-31
('19:13:15.718474000', 159);0000000000000064-9<-->00:00:00:00:00:6d-36
('19:13:38.487186000', 440);00000000000000e9-6<-->00:00:00:00:00:e8-31
('19:13:20.332733000', 231);000000000000007a-3<-->00:00:00:00:00:7d-36
('19:13:12.621209000', 70);0000000000000004-6<-->00:00:00:00:00:01-33
('19:13:14.867075000', 132);0000000000000060-6<-->00:00:00:00:00:59-37
('19:13:20.342751000', 239);000000000000007a-5<-->00:00:00:00:00:7f-36
('19:13:39.053028000', 449);00000000000000f3-8<-->00:00:00:00:00:fb-36
('19:13:20.836524000', 243);000000000000006f-7<-->00:00:00:00:00:76-36
('19:13:13.855308000', 100);000000000000001e-6<-->00:00:00:00:00:17-37
('19:13:14.656461000', 121);000000000000002d-9<-->00:00:00:00:00:36-36
('19:13:11.837047000', 43);0000000000000031-6<-->00:00:00:00:00:2d-34
