tcpport;dpid
41506;['00000000000000c0', '19:13:24.748544000']
41266;['000000000000006d', '19:13:14.777947000']
41264;['0000000000000064', '19:13:14.775916000']
41492;['00000000000000c5', '19:13:24.725302000']
41262;['0000000000000066', '19:13:14.771802000']
41656;['00000000000000fe', '19:13:38.500635000']
41260;['000000000000006c', '19:13:14.771105000']
41388;['0000000000000093', '19:13:20.035303000']
41668;['0000000000000103', '19:13:39.019731000']
41504;['00000000000000bd', '19:13:24.746273000']
41700;['0000000000000113', '19:13:44.123265000']
41702;['0000000000000110', '19:13:44.129824000']
41662;['00000000000000ff', '19:13:38.529089000']
41380;['0000000000000090', '19:13:20.032454000']
41660;['0000000000000102', '19:13:38.508270000']
41382;['0000000000000097', '19:13:20.033297000']
41478;['00000000000000ac', '19:13:22.999747000']
41384;['0000000000000095', '19:13:20.033592000']
41664;['0000000000000104', '19:13:39.008968000']
41348;['0000000000000089', '19:13:17.529058000']
41500;['00000000000000be', '19:13:24.736972000']
41374;['000000000000009a', '19:13:18.626928000']
41146;['0000000000000030', '19:13:11.168670000']
41376;['0000000000000098', '19:13:18.824226000']
41144;['000000000000002e', '19:13:11.167342000']
41142;['0000000000000034', '19:13:11.165639000']
41140;['0000000000000035', '19:13:11.165259000']
41476;['00000000000000a7', '19:13:22.998109000']
41474;['00000000000000a6', '19:13:22.994616000']
41378;['0000000000000092', '19:13:18.827289000']
41472;['00000000000000b0', '19:13:22.994331000']
41296;['000000000000007b', '19:13:16.536881000']
41148;['0000000000000031', '19:13:11.169972000']
41124;['0000000000000027', '19:13:10.653910000']
41126;['0000000000000024', '19:13:10.654859000']
41120;['0000000000000023', '19:13:10.652564000']
41122;['000000000000002a', '19:13:10.653505000']
41252;['0000000000000068', '19:13:14.765983000']
41250;['0000000000000069', '19:13:14.764991000']
41128;['0000000000000029', '19:13:10.655255000']
41254;['0000000000000067', '19:13:14.766822000']
41494;['00000000000000bf', '19:13:24.728371000']
41398;['000000000000009f', '19:13:20.312669000']
41496;['00000000000000c6', '19:13:24.729248000']
41558;['00000000000000dc', '19:13:29.818986000']
41490;['00000000000000c1', '19:13:24.723508000']
41458;['00000000000000b2', '19:13:23.000801000']
41392;['0000000000000094', '19:13:20.036103000']
41390;['0000000000000091', '19:13:20.035911000']
41508;['00000000000000bc', '19:13:24.749079000']
41396;['000000000000009b', '19:13:20.311701000']
41498;['00000000000000c2', '19:13:24.732656000']
41394;['0000000000000096', '19:13:20.039582000']
41090;['0000000000000013', '19:13:09.659087000']
41092;['0000000000000021', '19:13:10.138824000']
41094;['000000000000001a', '19:13:10.141346000']
41096;['000000000000001c', '19:13:10.145507000']
41098;['000000000000001b', '19:13:10.147302000']
41150;['0000000000000037', '19:13:11.172264000']
41300;['000000000000007c', '19:13:16.539184000']
41152;['000000000000002d', '19:13:11.174355000']
41302;['0000000000000084', '19:13:16.539576000']
41154;['0000000000000033', '19:13:11.174990000']
41304;['0000000000000081', '19:13:16.541037000']
41156;['000000000000002f', '19:13:11.176727000']
41306;['000000000000007f', '19:13:16.541829000']
41158;['000000000000003e', '19:13:11.828320000']
41308;['0000000000000083', '19:13:16.542619000']
41462;['00000000000000ae', '19:13:22.981793000']
41464;['00000000000000ad', '19:13:22.986458000']
41466;['00000000000000a8', '19:13:22.988523000']
41136;['0000000000000032', '19:13:11.162922000']
41134;['000000000000002b', '19:13:10.663031000']
41132;['0000000000000026', '19:13:10.661615000']
41130;['0000000000000028', '19:13:10.656454000']
41406;['000000000000009d', '19:13:20.321509000']
41404;['00000000000000a1', '19:13:20.320760000']
41402;['00000000000000a0', '19:13:20.318343000']
41138;['0000000000000036', '19:13:11.164046000']
41486;['00000000000000ba', '19:13:23.780937000']
41528;['00000000000000cd', '19:13:26.855342000']
41484;['00000000000000b4', '19:13:23.780646000']
41438;['00000000000000ab', '19:13:21.887167000']
41482;['00000000000000b6', '19:13:23.778402000']
41480;['00000000000000a9', '19:13:23.004006000']
41554;['00000000000000d8', '19:13:29.803828000']
41520;['00000000000000d1', '19:13:26.836464000']
41412;['00000000000000a4', '19:13:20.331303000']
41522;['00000000000000c9', '19:13:26.837804000']
41524;['00000000000000ce', '19:13:26.844370000']
41488;['00000000000000c4', '19:13:24.713607000']
41526;['00000000000000cc', '19:13:26.845664000']
41082;['000000000000000e', '19:13:09.653631000']
41468;['00000000000000aa', '19:13:22.988740000']
41080;['000000000000000c', '19:13:09.653249000']
41086;['000000000000000f', '19:13:09.656865000']
41084;['000000000000000d', '19:13:09.655739000']
41666;['0000000000000105', '19:13:39.017209000']
41088;['0000000000000010', '19:13:09.657272000']
41312;['0000000000000080', '19:13:16.547423000']
41310;['000000000000007a', '19:13:16.544859000']
41316;['0000000000000076', '19:13:16.679640000']
41314;['0000000000000073', '19:13:16.679285000']
41318;['0000000000000071', '19:13:16.679843000']
41386;['0000000000000099', '19:13:20.034805000']
41102;['000000000000001f', '19:13:10.149504000']
41100;['0000000000000018', '19:13:10.148860000']
41106;['000000000000001d', '19:13:10.150364000']
41104;['0000000000000017', '19:13:10.149985000']
41108;['0000000000000019', '19:13:10.150759000']
41696;['000000000000010c', '19:13:44.109124000']
41460;['00000000000000b5', '19:13:23.002406000']
41636;['00000000000000fd', '19:13:35.806666000']
41556;['00000000000000db', '19:13:29.817446000']
41630;['00000000000000f9', '19:13:35.765410000']
41632;['00000000000000f3', '19:13:35.793906000']
41530;['00000000000000c8', '19:13:26.862874000']
41638;['00000000000000f5', '19:13:35.810572000']
41658;['0000000000000101', '19:13:38.506888000']
41584;['00000000000000e1', '19:13:31.553198000']
41634;['00000000000000fa', '19:13:35.806029000']
41608;['00000000000000ec', '19:13:33.635148000']
41244;['000000000000005c', '19:13:13.868014000']
41690;['000000000000010f', '19:13:43.574553000']
41240;['0000000000000061', '19:13:13.865657000']
41242;['0000000000000063', '19:13:13.866697000']
41328;['000000000000006f', '19:13:16.687619000']
41326;['0000000000000074', '19:13:16.687007000']
41324;['0000000000000075', '19:13:16.686659000']
41248;['000000000000006b', '19:13:14.763564000']
41322;['0000000000000077', '19:13:16.684812000']
41320;['0000000000000072', '19:13:16.681660000']
41518;['00000000000000ca', '19:13:26.835809000']
41054;['0000000000000001', '19:13:09.187865000']
41056;['0000000000000009', '19:13:09.188205000']
41118;['0000000000000022', '19:13:10.651462000']
41050;['0000000000000006', '19:13:09.187070000']
41052;['0000000000000002', '19:13:09.187424000']
41114;['000000000000002c', '19:13:10.649687000']
41232;['000000000000005d', '19:13:13.859731000']
41116;['0000000000000025', '19:13:10.650126000']
41346;['000000000000008e', '19:13:17.528680000']
41110;['000000000000001e', '19:13:10.151143000']
41058;['0000000000000005', '19:13:09.188549000']
41112;['0000000000000020', '19:13:10.152877000']
41342;['0000000000000087', '19:13:17.517250000']
41626;['00000000000000f4', '19:13:35.759788000']
41624;['00000000000000fc', '19:13:35.751131000']
41502;['00000000000000c3', '19:13:24.739369000']
41456;['00000000000000bb', '19:13:22.999306000']
41620;['00000000000000f8', '19:13:35.745882000']
41344;['0000000000000088', '19:13:17.517656000']
41628;['00000000000000f6', '19:13:35.765023000']
41640;['00000000000000fb', '19:13:35.811226000']
41408;['00000000000000a2', '19:13:20.324516000']
41338;['000000000000008a', '19:13:17.514163000']
41230;['000000000000005a', '19:13:13.856844000']
41188;['0000000000000047', '19:13:12.399385000']
41234;['0000000000000059', '19:13:13.861411000']
41236;['0000000000000062', '19:13:13.862158000']
41330;['0000000000000070', '19:13:16.688001000']
41182;['000000000000004b', '19:13:12.391708000']
41332;['0000000000000078', '19:13:16.688905000']
41180;['000000000000004d', '19:13:12.389789000']
41334;['0000000000000079', '19:13:16.689878000']
41186;['0000000000000046', '19:13:12.395432000']
41336;['000000000000008d', '19:13:17.512568000']
41184;['0000000000000045', '19:13:12.392140000']
41510;['00000000000000cf', '19:13:26.827471000']
41168;['000000000000003a', '19:13:11.832092000']
41512;['00000000000000cb', '19:13:26.829247000']
41294;['000000000000007e', '19:13:16.536100000']
41514;['00000000000000d0', '19:13:26.829932000']
41292;['000000000000007d', '19:13:16.535443000']
41516;['00000000000000c7', '19:13:26.832983000']
41290;['000000000000006e', '19:13:15.568140000']
41356;['000000000000008f', '19:13:17.552558000']
41160;['0000000000000039', '19:13:11.828578000']
41354;['000000000000008b', '19:13:17.551863000']
41162;['0000000000000042', '19:13:11.828837000']
41352;['0000000000000085', '19:13:17.546863000']
41164;['000000000000003f', '19:13:11.829971000']
41048;['0000000000000007', '19:13:09.186637000']
41166;['000000000000003c', '19:13:11.831769000']
41612;['00000000000000ee', '19:13:33.651992000']
41694;['0000000000000111', '19:13:44.108811000']
41610;['00000000000000f0', '19:13:33.651499000']
41400;['000000000000009c', '19:13:20.313237000']
41238;['000000000000005b', '19:13:13.864951000']
41618;['00000000000000ef', '19:13:33.668463000']
41194;['000000000000004a', '19:13:12.405844000']
41196;['0000000000000049', '19:13:12.407354000']
41190;['000000000000004c', '19:13:12.403236000']
41192;['0000000000000044', '19:13:12.405194000']
41692;['000000000000010a', '19:13:43.576959000']
41198;['0000000000000043', '19:13:12.408554000']
41222;['0000000000000056', '19:13:13.130951000']
41220;['0000000000000055', '19:13:13.126790000']
41566;['00000000000000d9', '19:13:29.825745000']
41226;['0000000000000060', '19:13:13.855236000']
41224;['000000000000005e', '19:13:13.851114000']
41588;['00000000000000e6', '19:13:31.558088000']
41586;['00000000000000de', '19:13:31.555706000']
41228;['000000000000005f', '19:13:13.856108000']
41470;['00000000000000af', '19:13:22.992823000']
41582;['00000000000000dd', '19:13:31.551331000']
41580;['00000000000000e0', '19:13:31.550278000']
41072;['0000000000000011', '19:13:09.648377000']
41178;['0000000000000038', '19:13:11.790768000']
41070;['0000000000000014', '19:13:09.647764000']
41076;['0000000000000015', '19:13:09.651289000']
41074;['0000000000000016', '19:13:09.649510000']
41172;['0000000000000041', '19:13:11.783962000']
41170;['000000000000003d', '19:13:11.783274000']
41078;['0000000000000012', '19:13:09.652573000']
41176;['0000000000000040', '19:13:11.788662000']
41174;['000000000000003b', '19:13:11.784655000']
41564;['00000000000000d6', '19:13:29.822050000']
41258;['000000000000006a', '19:13:14.770322000']
41340;['0000000000000086', '19:13:17.514985000']
41560;['00000000000000d4', '19:13:29.819379000']
41562;['00000000000000d7', '19:13:29.820157000']
41604;['00000000000000ed', '19:13:33.621504000']
41606;['00000000000000f1', '19:13:33.623384000']
41600;['00000000000000ea', '19:13:33.619046000']
41568;['00000000000000d2', '19:13:29.826696000']
41602;['00000000000000eb', '19:13:33.620303000']
41652;['0000000000000107', '19:13:38.492778000']
41684;['0000000000000109', '19:13:43.568055000']
41654;['0000000000000106', '19:13:38.497151000']
41650;['0000000000000100', '19:13:38.488700000']
41598;['00000000000000f2', '19:13:33.614520000']
41450;['00000000000000b7', '19:13:22.992575000']
41614;['00000000000000e8', '19:13:33.653391000']
41452;['00000000000000b3', '19:13:22.994058000']
41454;['00000000000000b9', '19:13:22.995687000']
41218;['000000000000004f', '19:13:13.123584000']
41590;['00000000000000e2', '19:13:31.559872000']
41216;['0000000000000054', '19:13:13.122928000']
41592;['00000000000000e7', '19:13:31.575138000']
41214;['0000000000000052', '19:13:13.120975000']
41594;['00000000000000e4', '19:13:31.575830000']
41212;['0000000000000053', '19:13:13.120294000']
41596;['00000000000000e5', '19:13:31.578310000']
41210;['0000000000000057', '19:13:13.118862000']
41416;['000000000000009e', '19:13:20.336713000']
