tcpport;dpid
58138;['0000000000000054', '18:59:54.691257000']
58030;['0000000000000019', '18:59:52.299532000']
58222;['0000000000000084', '18:59:57.648947000']
58032;['000000000000001e', '18:59:52.299890000']
58224;['0000000000000081', '18:59:57.649513000']
58034;['0000000000000020', '18:59:52.300270000']
58226;['000000000000007f', '18:59:57.649879000']
58036;['000000000000002c', '18:59:52.705450000']
58130;['0000000000000050', '18:59:54.689605000']
58038;['0000000000000025', '18:59:52.705911000']
58132;['0000000000000057', '18:59:54.690023000']
58380;['00000000000000ce', '19:00:06.563901000']
58134;['0000000000000053', '18:59:54.690431000']
58176;['0000000000000067', '18:59:55.969967000']
58136;['0000000000000052', '18:59:54.690813000']
58384;['00000000000000cd', '19:00:06.565190000']
58456;['00000000000000f7', '19:00:14.634995000']
58302;['00000000000000ad', '19:00:02.013116000']
58300;['00000000000000ae', '19:00:02.012348000']
58306;['00000000000000aa', '19:00:02.014189000']
58304;['00000000000000a8', '19:00:02.013772000']
58170;['000000000000006b', '18:59:55.968592000']
58308;['00000000000000af', '19:00:02.014706000']
58388;['00000000000000d3', '19:00:08.320129000']
58434;['00000000000000ea', '19:00:12.373544000']
58436;['00000000000000eb', '19:00:12.374947000']
58172;['0000000000000069', '18:59:55.969105000']
58432;['00000000000000f2', '19:00:12.372369000']
58438;['00000000000000ed', '19:00:12.375520000']
58258;['0000000000000097', '18:59:59.614527000']
58228;['0000000000000083', '18:59:57.650334000']
58492;['0000000000000101', '19:00:17.204704000']
58382;['00000000000000cc', '19:00:06.564386000']
58446;['00000000000000ee', '19:00:12.394085000']
58294;['00000000000000a4', '19:00:00.769716000']
58022;['0000000000000018', '18:59:52.306093000']
58020;['000000000000001b', '18:59:52.306100000']
58026;['000000000000001f', '18:59:52.298807000']
58024;['0000000000000017', '18:59:52.298439000']
58188;['000000000000006d', '18:59:55.973149000']
58178;['0000000000000065', '18:59:55.970397000']
58028;['000000000000001d', '18:59:52.299179000']
58454;['00000000000000f8', '19:00:14.634573000']
58386;['00000000000000c8', '19:00:06.565853000']
58254;['000000000000008f', '18:59:58.588960000']
58256;['0000000000000090', '18:59:59.613791000']
58318;['00000000000000a9', '19:00:02.017493000']
58148;['0000000000000060', '18:59:55.297960000']
58252;['000000000000008b', '18:59:58.588608000']
58314;['00000000000000a7', '19:00:02.016225000']
58144;['0000000000000056', '18:59:54.692751000']
58316;['00000000000000ac', '19:00:02.016707000']
58146;['000000000000005e', '18:59:55.297044000']
58310;['00000000000000b0', '19:00:02.015100000']
58140;['000000000000004f', '18:59:54.691751000']
58312;['00000000000000a6', '19:00:02.015580000']
58142;['0000000000000055', '18:59:54.692332000']
58426;['00000000000000e7', '19:00:10.332557000']
58424;['00000000000000e2', '19:00:10.331408000']
58422;['00000000000000e6', '19:00:10.330887000']
58420;['00000000000000de', '19:00:10.330183000']
58518;['000000000000010a', '19:00:19.788077000']
