stamptime;link_number;link
('18:30:18.845247000', 460);00000000000000ed-4<-->00:00:00:00:00:ee-3
('18:29:18.614826000', 141);0000000000000040-3<-->00:00:00:00:00:3f-4
('18:29:07.367796000', 70);0000000000000025-3<-->00:00:00:00:00:24-4
('18:30:00.832362000', 373);00000000000000ff-3<-->00:00:00:00:00:fe-4
('18:29:38.074708000', 220);00000000000000a8-3<-->00:00:00:00:00:a7-4
('18:30:08.896953000', 412);00000000000000f2-4<-->00:00:00:00:00:f3-3
('18:28:59.297213000', 35);0000000000000034-3<-->00:00:00:00:00:33-4
('18:29:13.074120000', 105);0000000000000043-3<-->00:00:00:00:00:42-4
('18:30:08.516976000', 410);00000000000000f2-3<-->00:00:00:00:00:f1-4
('18:29:42.639943000', 247);0000000000000076-3<-->00:00:00:00:00:75-4
('18:28:52.948149000', 6);000000000000000f-3<-->00:00:00:00:00:0e-4
('18:29:58.254009000', 368);000000000000007e-4<-->00:00:00:00:00:7f-3
('18:30:30.975922000', 536);00000000000000e4-3<-->00:00:00:00:00:e3-4
('18:28:56.542325000', 14);0000000000000037-4<-->00:00:00:00:00:38-3
('18:29:07.368784000', 71);0000000000000023-4<-->00:00:00:00:00:24-3
('18:29:08.526677000', 91);0000000000000030-3<-->00:00:00:00:00:2f-4
('18:29:08.145812000', 77);0000000000000024-4<-->00:00:00:00:00:25-3
('18:30:10.143747000', 414);00000000000000fa-3<-->00:00:00:00:00:f9-4
('18:30:13.338916000', 421);00000000000000f3-3<-->00:00:00:00:00:f2-4
('18:28:58.442036000', 31);0000000000000038-3<-->00:00:00:00:00:37-4
('18:29:27.566872000', 164);00000000000000b4-3<-->00:00:00:00:00:b3-4
('18:29:38.085596000', 223);00000000000000cd-3<-->00:00:00:00:00:cc-4
('18:30:18.165873000', 455);0000000000000114-4<-->00:00:00:00:01:15-3
('18:29:12.332696000', 101);0000000000000044-4<-->00:00:00:00:00:45-3
('18:29:53.298023000', 334);0000000000000085-4<-->00:00:00:00:00:86-3
('18:29:28.034652000', 178);00000000000000ad-3<-->00:00:00:00:00:ac-4
('18:30:18.166249000', 456);00000000000000ea-4<-->00:00:00:00:00:eb-3
('18:29:13.093944000', 111);0000000000000042-3<-->00:00:00:00:00:41-4
('18:30:23.528966000', 492);00000000000000ee-3<-->00:00:00:00:00:ed-4
('18:29:45.731585000', 277);0000000000000062-4<-->00:00:00:00:00:63-3
('18:29:58.212329000', 359);0000000000000097-4<-->00:00:00:00:00:98-3
('18:29:38.456181000', 224);00000000000000d0-4<-->00:00:00:00:00:d1-3
('18:29:28.031421000', 173);00000000000000b5-3<-->00:00:00:00:00:b4-4
('18:29:13.093356000', 110);000000000000001e-3<-->00:00:00:00:00:1d-4
('18:29:53.253878000', 316);0000000000000054-4<-->00:00:00:00:00:55-3
('18:30:18.132475000', 448);00000000000000e8-4<-->00:00:00:00:00:e9-3
('18:29:26.302122000', 160);00000000000000b1-3<-->00:00:00:00:00:b0-4
('18:29:53.304546000', 337);0000000000000058-3<-->00:00:00:00:00:57-4
('18:29:36.496750000', 212);000000000000004e-4<-->00:00:00:00:00:4f-3
('18:29:18.261194000', 135);000000000000001c-3<-->00:00:00:00:00:1b-4
('18:30:19.832718000', 464);00000000000000b9-3<-->00:00:00:00:00:b8-4
('18:29:43.020057000', 258);00000000000000c5-3<-->00:00:00:00:00:c4-4
('18:30:10.953590000', 418);00000000000000f6-3<-->00:00:00:00:00:f5-4
