tcpport;dpid
60050;['000000000000001a', '18:13:40.450147000']
60200;['0000000000000089', '18:13:42.389151000']
60052;['000000000000001c', '18:13:40.450462000']
60202;['0000000000000060', '18:13:42.389529000']
60054;['0000000000000023', '18:13:40.450739000']
60204;['0000000000000069', '18:13:42.389798000']
60056;['000000000000003e', '18:13:40.451013000']
60206;['0000000000000061', '18:13:42.390179000']
60058;['0000000000000035', '18:13:40.451288000']
60208;['0000000000000053', '18:13:42.390450000']
60562;['00000000000000f0', '18:13:47.688790000']
60564;['00000000000000fd', '18:13:47.689482000']
60526;['00000000000000d6', '18:13:47.678944000']
60566;['0000000000000108', '18:13:47.690400000']
60118;['000000000000000f', '18:13:40.459477000']
60368;['0000000000000094', '18:13:44.779955000']
60514;['00000000000000ed', '18:13:47.674871000']
60366;['0000000000000092', '18:13:44.779115000']
60110;['0000000000000015', '18:13:40.458407000']
60364;['00000000000000b9', '18:13:44.778846000']
60112;['000000000000000e', '18:13:40.458678000']
60362;['00000000000000c4', '18:13:44.778570000']
60114;['000000000000000a', '18:13:40.458949000']
60360;['0000000000000097', '18:13:44.778027000']
60116;['0000000000000008', '18:13:40.459212000']
60288;['000000000000006e', '18:13:42.405500000']
60516;['0000000000000114', '18:13:47.675446000']
60440;['00000000000000cb', '18:13:44.799689000']
60446;['00000000000000a4', '18:13:44.800609000']
60520;['00000000000000ea', '18:13:47.676453000']
60444;['00000000000000b8', '18:13:44.800238000']
60252;['0000000000000062', '18:13:42.398691000']
60282;['0000000000000068', '18:13:42.404421000']
60284;['0000000000000076', '18:13:42.404871000']
60286;['0000000000000087', '18:13:42.405129000']
60560;['00000000000000f6', '18:13:47.687775000']
60250;['0000000000000080', '18:13:42.398431000']
60522;['000000000000010f', '18:13:47.676719000']
60398;['00000000000000a6', '18:13:44.788139000']
60510;['00000000000000f5', '18:13:47.674147000']
60212;['0000000000000063', '18:13:42.391187000']
60210;['0000000000000078', '18:13:42.390820000']
60216;['0000000000000051', '18:13:42.391744000']
60214;['000000000000007b', '18:13:42.391451000']
60218;['000000000000006c', '18:13:42.392009000']
60108;['0000000000000025', '18:13:40.458133000']
60358;['00000000000000c3', '18:13:44.777758000']
60258;['000000000000007f', '18:13:42.400313000']
60518;['0000000000000102', '18:13:47.676180000']
60102;['0000000000000002', '18:13:40.457342000']
60352;['00000000000000c8', '18:13:44.775748000']
60100;['0000000000000011', '18:13:40.457072000']
60350;['000000000000009b', '18:13:44.775352000']
60106;['0000000000000046', '18:13:40.457861000']
60356;['00000000000000d1', '18:13:44.777487000']
60104;['0000000000000010', '18:13:40.457609000']
60354;['0000000000000090', '18:13:44.776679000']
60594;['00000000000000df', '18:13:47.698092000']
60298;['000000000000004f', '18:13:42.407540000']
60596;['0000000000000116', '18:13:47.698356000']
60458;['00000000000000d2', '18:13:44.803270000']
60590;['00000000000000db', '18:13:47.697548000']
60406;['00000000000000ba', '18:13:44.790288000']
