tcpport;dpid
52068;['0000000000000011', '19:46:04.319279000']
52278;['000000000000004c', '19:46:09.646706000']
52064;['0000000000000014', '19:46:04.318281000']
52274;['0000000000000050', '19:46:09.645993000']
52066;['000000000000000c', '19:46:04.318775000']
52276;['000000000000005b', '19:46:09.646309000']
52060;['000000000000000f', '19:46:04.317284000']
52270;['0000000000000054', '19:46:09.645055000']
52062;['0000000000000010', '19:46:04.317790000']
52272;['0000000000000055', '19:46:09.645569000']
52410;['0000000000000081', '19:46:15.163592000']
52438;['0000000000000080', '19:46:15.641486000']
52502;['0000000000000097', '19:46:19.846083000']
52724;['00000000000000cd', '19:46:30.609951000']
52442;['0000000000000085', '19:46:15.645500000']
52440;['0000000000000084', '19:46:15.644958000']
52446;['0000000000000089', '19:46:15.646388000']
52444;['000000000000007f', '19:46:15.645849000']
52802;['00000000000000f0', '19:46:37.082830000']
52688;['00000000000000c8', '19:46:30.562979000']
52430;['000000000000007d', '19:46:15.635001000']
52788;['00000000000000de', '19:46:37.030183000']
52268;['000000000000005e', '19:46:09.644744000']
52266;['000000000000004a', '19:46:09.644446000']
52784;['00000000000000ed', '19:46:37.022066000']
52264;['000000000000004b', '19:46:09.644128000']
52786;['00000000000000e5', '19:46:37.022358000']
52262;['000000000000004f', '19:46:09.643742000']
52260;['0000000000000052', '19:46:09.643429000']
52692;['00000000000000d1', '19:46:30.567097000']
52542;['00000000000000a0', '19:46:19.857046000']
52540;['00000000000000a5', '19:46:19.856462000']
52700;['00000000000000d4', '19:46:30.583039000']
52730;['00000000000000ce', '19:46:30.616280000']
52702;['00000000000000c6', '19:46:30.583235000']
52818;['00000000000000e4', '19:46:37.147174000']
52708;['00000000000000d0', '19:46:30.589736000']
52830;['00000000000000e7', '19:46:37.188707000']
52696;['00000000000000c4', '19:46:30.569867000']
52826;['00000000000000e0', '19:46:37.188053000']
52146;['0000000000000047', '19:46:06.787750000']
52144;['0000000000000048', '19:46:06.786946000']
52370;['000000000000006b', '19:46:12.091282000']
52142;['000000000000003a', '19:46:06.784649000']
52516;['00000000000000a3', '19:46:19.849509000']
52148;['0000000000000037', '19:46:06.790388000']
52258;['000000000000005d', '19:46:09.643102000']
52418;['0000000000000083', '19:46:15.171969000']
52798;['00000000000000dc', '19:46:37.068945000']
52796;['00000000000000ee', '19:46:37.052958000']
52252;['0000000000000051', '19:46:09.641611000']
52794;['00000000000000d9', '19:46:37.051411000']
52250;['000000000000005f', '19:46:09.641257000']
52690;['00000000000000d6', '19:46:30.566903000']
52256;['0000000000000059', '19:46:09.642497000']
52790;['00000000000000e8', '19:46:37.042461000']
52254;['0000000000000053', '19:46:09.642186000']
52510;['0000000000000096', '19:46:19.847736000']
52734;['00000000000000cc', '19:46:30.616949000']
52714;['00000000000000c5', '19:46:30.598544000']
52368;['0000000000000075', '19:46:12.089419000']
52712;['00000000000000d2', '19:46:30.591947000']
52710;['00000000000000c2', '19:46:30.590159000']
52808;['00000000000000e3', '19:46:37.120855000']
52498;['00000000000000a6', '19:46:19.844640000']
52718;['00000000000000d3', '19:46:30.602031000']
52090;['000000000000002c', '19:46:05.405883000']
52092;['0000000000000023', '19:46:05.409810000']
52094;['000000000000001e', '19:46:05.410503000']
52728;['00000000000000c1', '19:46:30.614625000']
52096;['0000000000000019', '19:46:05.411188000']
52098;['0000000000000021', '19:46:05.411888000']
52722;['00000000000000ca', '19:46:30.605949000']
52150;['0000000000000032', '19:46:06.793431000']
52152;['0000000000000046', '19:46:06.793984000']
52188;['000000000000003f', '19:46:07.464022000']
52154;['000000000000003b', '19:46:06.802755000']
52732;['00000000000000c9', '19:46:30.616629000']
52156;['0000000000000043', '19:46:06.804021000']
52158;['0000000000000031', '19:46:06.805899000']
52816;['00000000000000e9', '19:46:37.145910000']
52360;['0000000000000073', '19:46:12.071196000']
52408;['0000000000000087', '19:46:15.160070000']
52406;['000000000000007a', '19:46:15.157634000']
52404;['000000000000008d', '19:46:15.156619000']
52402;['0000000000000088', '19:46:15.151803000']
52400;['0000000000000086', '19:46:15.147736000']
52330;['0000000000000069', '19:46:12.042615000']
52720;['00000000000000cb', '19:46:30.603939000']
52726;['00000000000000d8', '19:46:30.613901000']
52182;['000000000000003e', '19:46:07.463412000']
52520;['0000000000000098', '19:46:19.850313000']
52364;['0000000000000066', '19:46:12.082618000']
52524;['000000000000009e', '19:46:19.852247000']
52526;['000000000000009b', '19:46:19.852911000']
52082;['0000000000000029', '19:46:05.401068000']
52080;['000000000000001f', '19:46:05.400259000']
52086;['000000000000002e', '19:46:05.404677000']
52820;['00000000000000db', '19:46:37.175633000']
52084;['000000000000001b', '19:46:05.402124000']
52528;['00000000000000a7', '19:46:19.853675000']
52088;['000000000000002d', '19:46:05.405354000']
52610;['00000000000000bc', '19:46:23.169238000']
52608;['00000000000000b1', '19:46:23.163651000']
52102;['0000000000000028', '19:46:05.413391000']
52100;['000000000000002a', '19:46:05.412710000']
52694;['00000000000000c3', '19:46:30.568415000']
52106;['000000000000001d', '19:46:05.428426000']
52104;['0000000000000027', '19:46:05.425328000']
52432;['0000000000000090', '19:46:15.636840000']
52346;['0000000000000071', '19:46:12.052983000']
52108;['0000000000000024', '19:46:05.429090000']
52436;['000000000000008f', '19:46:15.638163000']
52434;['000000000000008e', '19:46:15.637913000']
52828;['00000000000000da', '19:46:37.188377000']
52634;['00000000000000be', '19:46:23.772653000']
52538;['0000000000000093', '19:46:19.856208000']
52636;['00000000000000b2', '19:46:23.786908000']
52630;['00000000000000b4', '19:46:23.761255000']
52632;['00000000000000b0', '19:46:23.761463000']
52532;['00000000000000a4', '19:46:19.854920000']
52514;['0000000000000099', '19:46:19.848758000']
52530;['000000000000009c', '19:46:19.854025000']
52536;['0000000000000095', '19:46:19.855590000']
52638;['00000000000000b7', '19:46:23.791223000']
52534;['00000000000000a2', '19:46:19.855291000']
52522;['000000000000009f', '19:46:19.852026000']
52358;['0000000000000064', '19:46:12.070954000']
52244;['0000000000000060', '19:46:09.639878000']
