tcpport dpid
36566 0000000000000001 21:06:23.478900000 
36568 0000000000000002 21:06:23.476110000 
36572 0000000000000003 21:06:23.476313000 
36578 0000000000000004 21:06:23.469159000 
36590 0000000000000005 21:06:23.478888000 
36582 0000000000000006 21:06:23.478893000 
36584 0000000000000007 21:06:23.492595000 
36596 0000000000000008 21:06:23.470774000 
36570 0000000000000009 21:06:23.492062000 
36574 000000000000000a 21:06:23.478896000 
36594 000000000000000b 21:06:23.476682000 
36586 000000000000000c 21:06:23.492764000 
36588 000000000000000d 21:06:23.492932000 
36564 000000000000000e 21:06:23.491799000 
36598 000000000000000f 21:06:23.493251000 
36580 0000000000000010 21:06:23.492384000 
36600 0000000000000011 21:06:23.471240000 
36576 0000000000000012 21:06:23.476478000 
36560 0000000000000013 21:06:23.491551000 
36562 0000000000000014 21:06:23.478903000 
36592 0000000000000015 21:06:23.470406000 
36612 0000000000000016 21:06:23.983415000 
36636 0000000000000017 21:06:23.987983000 
36614 0000000000000018 21:06:23.983774000 
36602 0000000000000019 21:06:23.980886000 
36606 000000000000001a 21:06:23.981531000 
36628 000000000000001b 21:06:23.986399000 
36618 000000000000001c 21:06:23.984520000 
36642 000000000000001d 21:06:23.989048000 
36632 000000000000001e 21:06:23.987256000 
36624 000000000000001f 21:06:23.985657000 
36604 0000000000000020 21:06:23.981213000 
36608 0000000000000021 21:06:23.981849000 
36630 0000000000000022 21:06:23.986904000 
36616 0000000000000023 21:06:23.984082000 
36634 0000000000000024 21:06:23.987647000 
36620 0000000000000025 21:06:23.985003000 
36622 0000000000000026 21:06:23.985330000 
36640 0000000000000027 21:06:23.988692000 
36610 0000000000000028 21:06:23.982294000 
36626 0000000000000029 21:06:23.985964000 
36638 000000000000002a 21:06:23.988343000 
36666 000000000000002b 21:06:24.504401000 
36676 000000000000002c 21:06:24.506530000 
36644 000000000000002d 21:06:24.499511000 
36650 000000000000002e 21:06:24.501044000 
36662 000000000000002f 21:06:24.502921000 
36668 0000000000000030 21:06:24.504953000 
36674 0000000000000031 21:06:24.505999000 
36672 0000000000000032 21:06:24.505588000 
36654 0000000000000033 21:06:24.501634000 
36682 0000000000000034 21:06:24.507297000 
36684 0000000000000035 21:06:24.507598000 
36658 0000000000000036 21:06:24.502244000 
36678 0000000000000037 21:06:24.478840000 
36652 0000000000000038 21:06:24.501365000 
36646 0000000000000039 21:06:24.499888000 
36660 000000000000003a 21:06:24.502625000 
36680 000000000000003b 21:06:24.507022000 
36648 000000000000003c 21:06:24.500674000 
36670 000000000000003d 21:06:24.514897000 
36664 000000000000003e 21:06:24.503398000 
36656 000000000000003f 21:06:24.501956000 
36714 0000000000000040 21:06:25.057282000 
36716 0000000000000041 21:06:25.057621000 
36698 0000000000000042 21:06:25.053124000 
36688 0000000000000043 21:06:25.050039000 
36722 0000000000000044 21:06:25.059149000 
36712 0000000000000045 21:06:25.056379000 
36706 0000000000000046 21:06:25.055253000 
36686 0000000000000047 21:06:25.049396000 
36702 0000000000000048 21:06:25.054641000 
36724 0000000000000049 21:06:25.059430000 
36726 000000000000004a 21:06:25.059858000 
36708 000000000000004b 21:06:25.066914000 
36710 000000000000004c 21:06:25.055820000 
36696 000000000000004d 21:06:25.052630000 
36704 000000000000004e 21:06:25.054972000 
36690 000000000000004f 21:06:25.051128000 
36692 0000000000000050 21:06:25.051625000 
36720 0000000000000051 21:06:25.058749000 
36718 0000000000000052 21:06:25.058270000 
36694 0000000000000053 21:06:25.052120000 
36700 0000000000000054 21:06:25.054163000 
36746 0000000000000055 21:06:25.701445000 
36738 0000000000000056 21:06:25.699346000 
36744 0000000000000057 21:06:25.700429000 
36762 0000000000000058 21:06:25.705222000 
36766 0000000000000059 21:06:25.705996000 
36748 000000000000005a 21:06:25.701739000 
36736 000000000000005b 21:06:25.698794000 
36750 000000000000005c 21:06:25.702005000 
36768 000000000000005d 21:06:25.706504000 
36740 000000000000005e 21:06:25.699643000 
36756 000000000000005f 21:06:25.702940000 
36754 0000000000000060 21:06:25.702565000 
36734 0000000000000061 21:06:25.698460000 
36752 0000000000000062 21:06:25.702289000 
36758 0000000000000063 21:06:25.703670000 
36730 0000000000000064 21:06:25.697580000 
36728 0000000000000065 21:06:25.696927000 
36764 0000000000000066 21:06:25.705601000 
36760 0000000000000067 21:06:25.703940000 
36732 0000000000000068 21:06:25.697881000 
36742 0000000000000069 21:06:25.699996000 
