tcpport dpid
36914 0000000000000001 21:09:09.898361000 
36912 0000000000000002 21:09:09.897225000 
36924 0000000000000003 21:09:09.899978000 
36926 0000000000000004 21:09:09.900401000 
36936 0000000000000005 21:09:09.902059000 
36932 0000000000000006 21:09:09.901491000 
36930 0000000000000007 21:09:09.901184000 
36944 0000000000000008 21:09:09.903520000 
36918 0000000000000009 21:09:09.899104000 
36920 000000000000000a 21:09:09.899366000 
36940 000000000000000b 21:09:09.902774000 
36934 000000000000000c 21:09:09.901779000 
36938 000000000000000d 21:09:09.902339000 
36916 000000000000000e 21:09:09.898794000 
36948 000000000000000f 21:09:09.904160000 
36928 0000000000000010 21:09:09.900830000 
36946 0000000000000011 21:09:09.903778000 
36922 0000000000000012 21:09:09.899706000 
36910 0000000000000013 21:09:09.896949000 
36908 0000000000000014 21:09:09.896678000 
36942 0000000000000015 21:09:09.903236000 
37098 0000000000000016 21:09:11.580452000 
37112 0000000000000017 21:09:11.588900000 
37100 0000000000000018 21:09:11.580926000 
37094 0000000000000019 21:09:11.578707000 
37080 000000000000001a 21:09:11.568950000 
37108 000000000000001b 21:09:11.587780000 
37084 000000000000001c 21:09:11.571680000 
37116 000000000000001d 21:09:11.590934000 
37090 000000000000001e 21:09:11.575106000 
37106 000000000000001f 21:09:11.584338000 
37078 0000000000000020 21:09:11.568756000 
37076 0000000000000021 21:09:11.568548000 
37088 0000000000000022 21:09:11.574612000 
37102 0000000000000023 21:09:11.581241000 
37110 0000000000000024 21:09:11.588580000 
37082 0000000000000025 21:09:11.571352000 
37104 0000000000000026 21:09:11.582046000 
37092 0000000000000027 21:09:11.576689000 
37096 0000000000000028 21:09:11.579353000 
37086 0000000000000029 21:09:11.573049000 
37114 000000000000002a 21:09:11.590137000 
37014 000000000000002b 21:09:11.003455000 
37024 000000000000002c 21:09:11.006559000 
36992 000000000000002d 21:09:10.996965000 
37000 000000000000002e 21:09:10.999063000 
37010 000000000000002f 21:09:11.001518000 
37018 0000000000000030 21:09:11.004900000 
37022 0000000000000031 21:09:11.005808000 
37020 0000000000000032 21:09:11.005319000 
37002 0000000000000033 21:09:10.999509000 
37030 0000000000000034 21:09:11.007793000 
37032 0000000000000035 21:09:11.008059000 
37006 0000000000000036 21:09:11.000507000 
37026 0000000000000037 21:09:11.007227000 
36998 0000000000000038 21:09:10.998600000 
36994 0000000000000039 21:09:10.997494000 
37008 000000000000003a 21:09:11.001059000 
37028 000000000000003b 21:09:11.007524000 
36996 000000000000003c 21:09:10.998122000 
37016 000000000000003d 21:09:11.004459000 
37012 000000000000003e 21:09:11.001977000 
37004 000000000000003f 21:09:11.000012000 
37062 0000000000000040 21:09:11.583573000 
37064 0000000000000041 21:09:11.584029000 
37172 0000000000000042 21:09:12.447298000 
37162 0000000000000043 21:09:12.445796000 
37072 0000000000000044 21:09:11.589824000 
37186 0000000000000045 21:09:12.449430000 
37180 0000000000000046 21:09:12.448561000 
37160 0000000000000047 21:09:12.445280000 
37174 0000000000000048 21:09:12.447821000 
37070 0000000000000049 21:09:11.589374000 
37074 000000000000004a 21:09:11.590592000 
37182 000000000000004b 21:09:12.448900000 
37184 000000000000004c 21:09:12.449207000 
37170 000000000000004d 21:09:12.447070000 
37178 000000000000004e 21:09:12.448362000 
37166 000000000000004f 21:09:12.446425000 
37164 0000000000000050 21:09:12.446201000 
37068 0000000000000051 21:09:11.588246000 
37066 0000000000000052 21:09:11.586943000 
37168 0000000000000053 21:09:12.446778000 
37176 0000000000000054 21:09:12.448010000 
37136 0000000000000055 21:09:12.299133000 
37128 0000000000000056 21:09:12.296612000 
37134 0000000000000057 21:09:12.297885000 
37152 0000000000000058 21:09:12.311549000 
37156 0000000000000059 21:09:12.312433000 
37138 000000000000005a 21:09:12.299769000 
37126 000000000000005b 21:09:12.296269000 
37140 000000000000005c 21:09:12.300191000 
37158 000000000000005d 21:09:12.317401000 
37130 000000000000005e 21:09:12.296880000 
37146 000000000000005f 21:09:12.304694000 
37144 0000000000000060 21:09:12.301120000 
37124 0000000000000061 21:09:12.295503000 
37142 0000000000000062 21:09:12.300666000 
37150 0000000000000063 21:09:12.308021000 
37120 0000000000000064 21:09:12.293066000 
37118 0000000000000065 21:09:12.290761000 
37154 0000000000000066 21:09:12.311995000 
37148 0000000000000067 21:09:12.307560000 
37122 0000000000000068 21:09:12.293580000 
37132 0000000000000069 21:09:12.297572000 
