tcpport;dpid
37296;[000000000000002e, 21:11:06.137982000]
37294;[000000000000003c, 21:11:06.137725000]
37292;[0000000000000039, 21:11:06.137392000]
37290;[000000000000002d, 21:11:06.136764000]
37298;[0000000000000038, 21:11:06.138224000]
37362;[0000000000000041, 21:11:06.661168000]
37360;[0000000000000040, 21:11:06.660906000]
37366;[0000000000000051, 21:11:06.661768000]
37364;[0000000000000052, 21:11:06.661494000]
37368;[0000000000000044, 21:11:06.662052000]
37208;[0000000000000014, 21:11:05.175640000]
37206;[0000000000000013, 21:11:05.175382000]
37358;[0000000000000045, 21:11:06.660137000]
37356;[000000000000004c, 21:11:06.659868000]
37354;[000000000000004b, 21:11:06.659606000]
37352;[0000000000000046, 21:11:06.659328000]
37350;[000000000000004e, 21:11:06.659049000]
37218;[000000000000000a, 21:11:05.177286000]
37216;[0000000000000009, 21:11:05.177051000]
37214;[000000000000000e, 21:11:05.176812000]
37212;[0000000000000002, 21:11:05.176575000]
37210;[0000000000000001, 21:11:05.176335000]
37348;[0000000000000054, 21:11:06.658719000]
37340;[0000000000000053, 21:11:06.657611000]
37342;[000000000000004d, 21:11:06.657881000]
37344;[0000000000000042, 21:11:06.658144000]
37346;[0000000000000048, 21:11:06.658462000]
37228;[0000000000000007, 21:11:05.178481000]
37222;[0000000000000012, 21:11:05.177760000]
37220;[0000000000000003, 21:11:05.177523000]
37226;[0000000000000010, 21:11:05.178238000]
37224;[0000000000000004, 21:11:05.178000000]
37234;[0000000000000005, 21:11:05.179388000]
37236;[000000000000000d, 21:11:05.179641000]
37408;[0000000000000058, 21:11:07.230781000]
37230;[0000000000000006, 21:11:05.178717000]
37232;[000000000000000c, 21:11:05.179022000]
37402;[000000000000005f, 21:11:07.229613000]
37400;[0000000000000062, 21:11:07.229252000]
37238;[0000000000000015, 21:11:05.179888000]
37406;[0000000000000063, 21:11:07.230194000]
37404;[0000000000000067, 21:11:07.238885000]
37338;[000000000000004f, 21:11:06.657349000]
37334;[0000000000000043, 21:11:06.656704000]
37336;[0000000000000050, 21:11:06.657095000]
37330;[0000000000000035, 21:11:06.154888000]
37332;[0000000000000047, 21:11:06.656351000]
37392;[0000000000000055, 21:11:07.228218000]
37390;[0000000000000057, 21:11:07.227410000]
37396;[000000000000005c, 21:11:07.238890000]
37394;[000000000000005a, 21:11:07.228482000]
37398;[0000000000000060, 21:11:07.238888000]
37414;[000000000000005d, 21:11:07.231663000]
37410;[0000000000000066, 21:11:07.231064000]
37412;[0000000000000059, 21:11:07.231340000]
37240;[000000000000000b, 21:11:05.180132000]
37242;[0000000000000008, 21:11:05.180379000]
37244;[0000000000000011, 21:11:05.180620000]
37246;[000000000000000f, 21:11:05.180895000]
37248;[0000000000000019, 21:11:05.637699000]
37328;[0000000000000034, 21:11:06.154893000]
37326;[000000000000003b, 21:11:06.154896000]
37324;[0000000000000037, 21:11:06.150890000]
37322;[000000000000002c, 21:11:06.150896000]
37320;[0000000000000031, 21:11:06.150900000]
37388;[0000000000000069, 21:11:07.227072000]
37384;[0000000000000056, 21:11:07.226513000]
37386;[000000000000005e, 21:11:07.226765000]
37380;[0000000000000061, 21:11:07.225858000]
37382;[000000000000005b, 21:11:07.226137000]
37252;[000000000000001a, 21:11:05.638384000]
37250;[0000000000000021, 21:11:05.638134000]
37256;[0000000000000028, 21:11:05.638905000]
37254;[0000000000000020, 21:11:05.638632000]
37258;[0000000000000016, 21:11:05.639700000]
37318;[0000000000000032, 21:11:06.150904000]
37312;[000000000000003e, 21:11:06.150912000]
37310;[000000000000002b, 21:11:06.150914000]
37316;[0000000000000030, 21:11:06.150907000]
37314;[000000000000003d, 21:11:06.150910000]
37304;[0000000000000036, 21:11:06.139380000]
37306;[000000000000003a, 21:11:06.150919000]
37300;[0000000000000033, 21:11:06.138468000]
37302;[000000000000003f, 21:11:06.139103000]
37268;[0000000000000026, 21:11:05.650895000]
37266;[0000000000000025, 21:11:05.640727000]
37264;[000000000000001c, 21:11:05.640477000]
37308;[000000000000002f, 21:11:06.150916000]
37262;[0000000000000023, 21:11:05.640208000]
37260;[0000000000000018, 21:11:05.639951000]
37284;[0000000000000027, 21:11:05.643294000]
37286;[000000000000002a, 21:11:05.643542000]
37280;[0000000000000024, 21:11:05.642760000]
37282;[0000000000000017, 21:11:05.643036000]
37288;[000000000000001d, 21:11:05.643786000]
37278;[000000000000001e, 21:11:05.650886000]
37370;[0000000000000049, 21:11:06.662306000]
37372;[000000000000004a, 21:11:06.662570000]
37374;[0000000000000065, 21:11:07.224732000]
37376;[0000000000000064, 21:11:07.225140000]
37270;[000000000000001f, 21:11:05.650892000]
37378;[0000000000000068, 21:11:07.225430000]
37272;[0000000000000029, 21:11:05.641559000]
37274;[000000000000001b, 21:11:05.650890000]
37276;[0000000000000022, 21:11:05.642241000]
