tcpport;dpid
58956;[000000000000004a, 20:53:15.330181000]
58954;[000000000000004f, 20:53:15.329876000]
58952;[000000000000005d, 20:53:15.329569000]
58950;[0000000000000059, 20:53:15.329288000]
58958;[000000000000004b, 20:53:15.330465000]
59000;[0000000000000038, 20:53:15.337347000]
58962;[0000000000000039, 20:53:15.331108000]
58960;[0000000000000064, 20:53:15.330770000]
58966;[0000000000000045, 20:53:15.331775000]
58964;[0000000000000040, 20:53:15.331431000]
58968;[000000000000005a, 20:53:15.332222000]
58898;[0000000000000027, 20:53:14.207028000]
58896;[000000000000002c, 20:53:14.206662000]
58894;[000000000000002a, 20:53:14.206314000]
58892;[0000000000000014, 20:53:14.205970000]
58890;[000000000000001d, 20:53:14.205630000]
58816;[0000000000000012, 20:53:14.189904000]
58814;[0000000000000028, 20:53:14.189443000]
58812;[0000000000000005, 20:53:14.189073000]
58810;[0000000000000029, 20:53:14.188768000]
58818;[0000000000000009, 20:53:14.190305000]
58874;[000000000000001e, 20:53:14.202135000]
58876;[0000000000000013, 20:53:14.202627000]
58978;[000000000000005b, 20:53:15.333759000]
58870;[0000000000000032, 20:53:14.201157000]
58872;[000000000000000b, 20:53:14.201646000]
58974;[0000000000000041, 20:53:15.333182000]
58976;[0000000000000052, 20:53:15.333473000]
58970;[0000000000000050, 20:53:15.332595000]
58878;[000000000000002b, 20:53:14.203125000]
58972;[0000000000000044, 20:53:15.332887000]
58888;[0000000000000031, 20:53:14.205342000]
58880;[0000000000000001, 20:53:14.203559000]
58882;[0000000000000006, 20:53:14.204015000]
58884;[000000000000002f, 20:53:14.204474000]
58886;[0000000000000021, 20:53:14.204952000]
58802;[000000000000001a, 20:53:14.187548000]
58804;[000000000000001c, 20:53:14.187853000]
58806;[0000000000000023, 20:53:14.188150000]
58808;[0000000000000026, 20:53:14.188444000]
58866;[0000000000000016, 20:53:14.200202000]
58908;[000000000000003a, 20:53:15.321312000]
58864;[000000000000000c, 20:53:14.199708000]
58862;[000000000000001b, 20:53:14.199212000]
58860;[0000000000000022, 20:53:14.198714000]
58900;[0000000000000020, 20:53:14.207401000]
58902;[000000000000005f, 20:53:15.320142000]
58904;[000000000000003e, 20:53:15.320636000]
58868;[0000000000000024, 20:53:14.200713000]
58906;[0000000000000035, 20:53:15.320950000]
58852;[000000000000000d, 20:53:14.196960000]
58918;[0000000000000048, 20:53:15.323301000]
58850;[000000000000000a, 20:53:14.196516000]
58856;[000000000000000f, 20:53:14.197835000]
58854;[000000000000001f, 20:53:14.197399000]
58912;[0000000000000054, 20:53:15.322112000]
58910;[000000000000004e, 20:53:15.321743000]
58858;[0000000000000008, 20:53:14.198271000]
58916;[0000000000000058, 20:53:15.322924000]
58914;[000000000000003b, 20:53:15.322542000]
58980;[000000000000003f, 20:53:15.334103000]
58982;[000000000000005c, 20:53:15.334407000]
58984;[000000000000004c, 20:53:15.334704000]
58986;[0000000000000042, 20:53:15.335089000]
58988;[000000000000003c, 20:53:15.335519000]
58848;[000000000000000e, 20:53:14.196042000]
58844;[0000000000000025, 20:53:14.195141000]
58846;[0000000000000015, 20:53:14.195595000]
58840;[0000000000000002, 20:53:14.194247000]
58842;[0000000000000010, 20:53:14.194686000]
58992;[000000000000004d, 20:53:15.336122000]
58990;[0000000000000043, 20:53:15.335820000]
58996;[0000000000000049, 20:53:15.336728000]
58994;[000000000000003d, 20:53:15.336429000]
58998;[0000000000000062, 20:53:15.337042000]
58838;[0000000000000011, 20:53:14.193769000]
58830;[0000000000000007, 20:53:14.192398000]
58832;[0000000000000017, 20:53:14.192691000]
58834;[0000000000000004, 20:53:14.192978000]
58836;[000000000000002d, 20:53:14.193300000]
58926;[0000000000000033, 20:53:15.324753000]
58924;[000000000000005e, 20:53:15.324397000]
58922;[0000000000000036, 20:53:15.324100000]
58920;[0000000000000034, 20:53:15.323683000]
58928;[0000000000000056, 20:53:15.325315000]
58944;[0000000000000037, 20:53:15.328273000]
58828;[0000000000000003, 20:53:14.191992000]
58946;[0000000000000055, 20:53:15.328689000]
58940;[0000000000000063, 20:53:15.327644000]
58942;[0000000000000051, 20:53:15.327946000]
58822;[0000000000000030, 20:53:14.191057000]
58820;[0000000000000018, 20:53:14.190714000]
58826;[0000000000000019, 20:53:14.191647000]
58948;[0000000000000057, 20:53:15.328989000]
58824;[000000000000002e, 20:53:14.191356000]
58930;[0000000000000060, 20:53:15.325794000]
58932;[0000000000000047, 20:53:15.326191000]
58934;[0000000000000053, 20:53:15.326489000]
58936;[0000000000000061, 20:53:15.326780000]
58938;[0000000000000046, 20:53:15.327217000]
