tcpport;dpid
37772;0000000000000044;00:05:50.046291000
37742;0000000000000036;00:05:50.033449000
37776;0000000000000030;00:05:50.024546000
37692;000000000000002e;00:05:48.808683000
37690;000000000000001b;00:05:48.807203000
37750;000000000000003f;00:05:50.036994000
37696;000000000000002d;00:05:48.810155000
37694;000000000000002c;00:05:48.809367000
37698;0000000000000023;00:05:48.811731000
37758;0000000000000037;00:05:50.039871000
37716;000000000000002b;00:05:48.820726000
37632;0000000000000006;00:05:47.756069000
37714;0000000000000024;00:05:48.819847000
37634;000000000000000b;00:05:47.756520000
37712;000000000000001d;00:05:48.819303000
37636;0000000000000003;00:05:47.757140000
37644;0000000000000007;00:05:47.759203000
37638;0000000000000009;00:05:47.757559000
37764;000000000000003b;00:05:50.042851000
37718;0000000000000022;00:05:48.821930000
37656;0000000000000017;00:05:47.762123000
37738;0000000000000045;00:05:50.031144000
37654;000000000000000a;00:05:47.761711000
37660;0000000000000015;00:05:47.763188000
37652;000000000000000e;00:05:47.761301000
37756;0000000000000048;00:05:50.038710000
37650;0000000000000005;00:05:47.760872000
37754;0000000000000047;00:05:50.038267000
37674;0000000000000011;00:05:47.766095000
37730;000000000000003d;00:05:50.027077000
37732;0000000000000035;00:05:50.028454000
37670;0000000000000014;00:05:47.765261000
37778;0000000000000026;00:05:50.024893000
37672;000000000000000c;00:05:47.765674000
37666;000000000000000f;00:05:47.764431000
37752;000000000000003a;00:05:50.037501000
37770;000000000000003c;00:05:50.045589000
37642;0000000000000018;00:05:47.758578000
37736;0000000000000040;00:05:50.030000000
37768;0000000000000031;00:05:50.044793000
37744;000000000000003e;00:05:50.034183000
37762;0000000000000032;00:05:50.041831000
37780;000000000000001a;00:05:50.025214000
37688;0000000000000029;00:05:48.805384000
37782;000000000000001c;00:05:50.025532000
37784;000000000000002f;00:05:50.037831000
37746;0000000000000033;00:05:50.035357000
37786;000000000000001f;00:05:50.039035000
37700;000000000000001e;00:05:48.812851000
37702;0000000000000019;00:05:48.814106000
37658;0000000000000002;00:05:47.762756000
37704;0000000000000021;00:05:48.814769000
37706;000000000000002a;00:05:48.815382000
37708;0000000000000028;00:05:48.815899000
37740;0000000000000034;00:05:49.925112000
37710;0000000000000027;00:05:48.818381000
37774;0000000000000038;00:05:50.046985000
37734;0000000000000041;00:05:50.029321000
37766;0000000000000043;00:05:50.043625000
37662;0000000000000016;00:05:47.763600000
37728;0000000000000042;00:05:50.026308000
37646;0000000000000004;00:05:47.759833000
37748;0000000000000039;00:05:50.036553000
37640;0000000000000008;00:05:47.758167000
37760;0000000000000046;00:05:50.040764000
37664;000000000000000d;00:05:47.764016000
37722;0000000000000020;00:05:48.823979000
37720;0000000000000025;00:05:48.822749000
37668;0000000000000010;00:05:47.764848000
37726;0000000000000001;00:05:48.816758000
37648;0000000000000012;00:05:47.760250000
37724;0000000000000013;00:05:48.816224000
