tcpport;dpid
36454;['00000000000000f2', '19:07:09.358398000']
36282;['0000000000000095', '19:06:57.576772000']
36452;['00000000000000e5', '19:07:07.212146000']
36264;['0000000000000088', '19:06:56.621601000']
36180;['0000000000000062', '19:06:53.638771000']
36266;['000000000000008e', '19:06:56.623109000']
36182;['000000000000005b', '19:06:53.630247000']
36260;['0000000000000086', '19:06:56.620247000']
36184;['0000000000000061', '19:06:53.630620000']
36262;['0000000000000087', '19:06:56.620957000']
36186;['0000000000000063', '19:06:53.631444000']
36188;['000000000000005c', '19:06:53.631976000']
36322;['00000000000000ae', '19:06:59.735696000']
36268;['0000000000000089', '19:06:56.623737000']
36342;['00000000000000ab', '19:06:59.746115000']
36340;['00000000000000a9', '19:06:59.745408000']
36470;['00000000000000e8', '19:07:09.367267000']
36472;['00000000000000e9', '19:07:09.369313000']
36474;['00000000000000ef', '19:07:09.370465000']
36476;['00000000000000f8', '19:07:11.489943000']
36478;['00000000000000f7', '19:07:11.490330000']
36066;['000000000000002a', '19:06:50.966362000']
36108;['000000000000003f', '19:06:51.961530000']
36064;['0000000000000023', '19:06:50.965961000']
36418;['00000000000000db', '19:07:05.428615000']
36062;['0000000000000022', '19:06:50.965494000']
36060;['0000000000000025', '19:06:50.964630000']
36100;['000000000000002f', '19:06:51.454890000']
36444;['00000000000000e6', '19:07:07.209380000']
36102;['000000000000003e', '19:06:51.959814000']
36104;['0000000000000039', '19:06:51.960256000']
36068;['0000000000000027', '19:06:50.966777000']
36106;['0000000000000042', '19:06:51.922061000']
36246;['0000000000000081', '19:06:55.844642000']
36540;['000000000000010a', '19:07:16.148803000']
36192;['000000000000006b', '19:06:54.281053000']
36210;['000000000000006d', '19:06:54.287423000']
36190;['000000000000006e', '19:06:54.280507000']
36212;['0000000000000073', '19:06:55.046924000']
36196;['0000000000000068', '19:06:54.282506000']
36214;['0000000000000071', '19:06:55.047530000']
36194;['0000000000000069', '19:06:54.281981000']
36216;['0000000000000076', '19:06:55.047909000']
36350;['00000000000000b8', '19:07:01.090907000']
36218;['0000000000000077', '19:06:55.048283000']
36198;['0000000000000067', '19:06:54.193663000']
36354;['00000000000000b7', '19:07:01.091923000']
36280;['0000000000000097', '19:06:57.575881000']
36356;['00000000000000b3', '19:07:01.092329000']
36258;['000000000000008a', '19:06:56.619355000']
36462;['00000000000000f1', '19:07:09.361844000']
36460;['00000000000000ed', '19:07:09.361073000']
36410;['00000000000000d3', '19:07:05.420238000']
36466;['00000000000000f0', '19:07:09.365605000']
36420;['00000000000000dc', '19:07:05.429624000']
36464;['00000000000000ec', '19:07:09.363451000']
36520;['0000000000000111', '19:07:16.140111000']
36286;['0000000000000093', '19:06:57.578035000']
36468;['00000000000000ee', '19:07:09.366223000']
36424;['00000000000000d7', '19:07:05.430596000']
36052;['0000000000000019', '19:06:50.554166000']
