tcpport;dpid
34124;['0000000000000045', '18:28:44.527318000']
34126;['000000000000002b', '18:28:44.527785000']
34120;['0000000000000040', '18:28:44.526426000']
34122;['000000000000001e', '18:28:44.526871000']
34252;['0000000000000056', '18:28:46.569880000']
34250;['0000000000000047', '18:28:46.569378000']
34128;['0000000000000013', '18:28:44.528229000']
34254;['0000000000000086', '18:28:46.570403000']
34494;['0000000000000114', '18:28:52.531389000']
34398;['00000000000000be', '18:28:49.121041000']
34258;['0000000000000083', '18:28:46.571046000']
34558;['0000000000000104', '18:28:52.550230000']
34490;['00000000000000d3', '18:28:52.530505000']
34492;['00000000000000ed', '18:28:52.530789000']
34392;['000000000000009e', '18:28:49.118925000']
34514;['00000000000000d8', '18:28:52.537390000']
34390;['000000000000009c', '18:28:49.116855000']
34546;['00000000000000e5', '18:28:52.547175000']
34396;['00000000000000bd', '18:28:49.120554000']
34498;['00000000000000ea', '18:28:52.532392000']
34394;['00000000000000a2', '18:28:49.119427000']
34418;['00000000000000a1', '18:28:49.131611000']
34090;['000000000000000a', '18:28:44.519736000']
34092;['000000000000000e', '18:28:44.520184000']
34094;['000000000000000f', '18:28:44.520615000']
34096;['000000000000001f', '18:28:44.521075000']
34098;['0000000000000037', '18:28:44.521527000']
34524;['0000000000000115', '18:28:52.540272000']
34150;['000000000000002a', '18:28:44.533108000']
34300;['0000000000000075', '18:28:46.582899000']
34152;['0000000000000042', '18:28:44.533575000']
34302;['000000000000007c', '18:28:46.583209000']
34154;['0000000000000043', '18:28:44.534014000']
34304;['0000000000000049', '18:28:46.583774000']
34156;['000000000000003c', '18:28:44.534458000']
34306;['0000000000000072', '18:28:46.584253000']
34158;['000000000000002c', '18:28:44.534898000']
34308;['00000000000000c9', '18:28:49.088967000']
34462;['00000000000000dc', '18:28:52.520610000']
34282;['0000000000000077', '18:28:46.578402000']
34466;['0000000000000106', '18:28:52.522445000']
34136;['0000000000000044', '18:28:44.529981000']
34134;['000000000000002f', '18:28:44.529546000']
34416;['0000000000000095', '18:28:49.131020000']
34132;['0000000000000006', '18:28:44.529098000']
34130;['0000000000000001', '18:28:44.528639000']
34406;['00000000000000cf', '18:28:49.124731000']
34404;['000000000000008e', '18:28:49.124054000']
34328;['000000000000009b', '18:28:49.093637000']
34402;['00000000000000b6', '18:28:49.123121000']
34138;['0000000000000041', '18:28:44.530426000']
34256;['0000000000000088', '18:28:46.570715000']
34486;['00000000000000e4', '18:28:52.528636000']
34528;['0000000000000117', '18:28:52.541755000']
34484;['00000000000000d4', '18:28:52.528175000']
34482;['000000000000010c', '18:28:52.527668000']
34350;['0000000000000096', '18:28:49.100366000']
34480;['00000000000000e3', '18:28:52.526933000']
34520;['00000000000000fe', '18:28:52.539487000']
34298;['0000000000000084', '18:28:46.582625000']
34448;['00000000000000fb', '18:28:52.515954000']
34488;['00000000000000f5', '18:28:52.530028000']
34526;['0000000000000111', '18:28:52.541266000']
34082;['0000000000000010', '18:28:44.517929000']
34080;['0000000000000002', '18:28:44.517483000']
34086;['0000000000000025', '18:28:44.518808000']
34084;['0000000000000046', '18:28:44.518351000']
34088;['0000000000000015', '18:28:44.519265000']
34312;['00000000000000a5', '18:28:49.090176000']
34310;['00000000000000a9', '18:28:49.089885000']
34496;['0000000000000102', '18:28:52.532120000']
34316;['00000000000000d0', '18:28:49.091060000']
34314;['000000000000009a', '18:28:49.090457000']
34318;['00000000000000bf', '18:28:49.091346000']
34320;['00000000000000b0', '18:28:49.091618000']
34102;['000000000000000d', '18:28:44.522428000']
34542;['00000000000000fd', '18:28:52.545586000']
34100;['0000000000000008', '18:28:44.521979000']
34106;['000000000000001b', '18:28:44.523320000']
34104;['0000000000000022', '18:28:44.522877000']
34432;['0000000000000099', '18:28:49.135182000']
34108;['000000000000000c', '18:28:44.523760000']
34296;['000000000000007e', '18:28:46.582349000']
34436;['00000000000000d2', '18:28:49.136993000']
34508;['00000000000000e7', '18:28:52.536047000']
34434;['00000000000000cd', '18:28:49.135894000']
34554;['00000000000000e8', '18:28:52.549242000']
34538;['00000000000000f6', '18:28:52.543886000']
34504;['00000000000000d6', '18:28:52.535184000']
34532;['00000000000000eb', '18:28:52.542828000']
34512;['00000000000000d5', '18:28:52.536798000']
34536;['000000000000010b', '18:28:52.543592000']
34556;['00000000000000f7', '18:28:52.549953000']
34534;['00000000000000f4', '18:28:52.543316000']
34348;['00000000000000a8', '18:28:49.099493000']
34358;['00000000000000a0', '18:28:49.103825000']
34468;['00000000000000f1', '18:28:52.522719000']
34550;['00000000000000f2', '18:28:52.548166000']
34500;['000000000000010f', '18:28:52.532666000']
34410;['000000000000008d', '18:28:49.126646000']
34244;['0000000000000058', '18:28:46.567005000']
34036;['0000000000000026', '18:28:44.507514000']
34246;['000000000000005e', '18:28:46.567734000']
34034;['000000000000003e', '18:28:44.507068000']
34240;['000000000000004e', '18:28:46.565379000']
34032;['0000000000000023', '18:28:44.506602000']
