tcpport;dpid
33244;['0000000000000004', '18:24:06.572729000']
33328;['000000000000004e', '18:24:06.792048000']
33246;['0000000000000017', '18:24:06.587667000']
33240;['0000000000000033', '18:24:06.587456000']
33242;['0000000000000007', '18:24:06.572439000']
33322;['000000000000005f', '18:24:06.788718000']
33320;['0000000000000067', '18:24:06.787758000']
33682;['00000000000000cf', '18:24:12.327939000']
33326;['000000000000006d', '18:24:06.791156000']
33248;['000000000000002d', '18:24:06.573123000']
33324;['000000000000007f', '18:24:06.790536000']
33938;['0000000000000103', '18:24:16.462201000']
33964;['00000000000000e2', '18:24:16.471605000']
33934;['000000000000010d', '18:24:16.461408000']
33996;['0000000000000107', '18:24:16.479370000']
33604;['00000000000000a7', '18:24:12.315017000']
33340;['0000000000000056', '18:24:06.795797000']
33896;['00000000000000e3', '18:24:16.445203000']
33138;['000000000000001b', '18:24:04.554278000']
33136;['0000000000000022', '18:24:04.553947000']
33134;['000000000000000f', '18:24:04.553613000']
34002;['0000000000000110', '18:24:16.481828000']
33132;['0000000000000008', '18:24:04.553290000']
33130;['000000000000001f', '18:24:04.552963000']
33230;['000000000000003b', '18:24:06.571886000']
33420;['0000000000000051', '18:24:06.962198000']
33232;['0000000000000019', '18:24:06.586691000']
33422;['000000000000007b', '18:24:06.962388000']
33234;['0000000000000034', '18:24:06.572177000']
33424;['000000000000006c', '18:24:06.962580000']
33236;['0000000000000036', '18:24:06.586963000']
33426;['000000000000007d', '18:24:06.963122000']
33238;['0000000000000003', '18:24:06.587262000']
33428;['000000000000008a', '18:24:06.963315000']
33988;['00000000000000df', '18:24:16.478105000']
34000;['00000000000000e0', '18:24:16.481608000']
33158;['000000000000002b', '18:24:04.557584000']
33646;['00000000000000ae', '18:24:12.323161000']
33254;['0000000000000010', '18:24:06.573826000']
33888;['00000000000000e6', '18:24:16.444078000']
33252;['0000000000000002', '18:24:06.588142000']
33250;['0000000000000011', '18:24:06.573527000']
33716;['00000000000000ab', '18:24:12.336600000']
33928;['00000000000000d5', '18:24:16.460071000']
33882;['0000000000000106', '18:24:16.441053000']
33408;['0000000000000069', '18:24:06.960788000']
33722;['00000000000000bb', '18:24:12.339071000']
33886;['00000000000000f9', '18:24:16.443712000']
33720;['000000000000009f', '18:24:12.338842000']
33884;['00000000000000f1', '18:24:16.441256000']
33994;['00000000000000fa', '18:24:16.479174000']
33406;['0000000000000089', '18:24:06.960545000']
33606;['00000000000000c8', '18:24:12.315294000']
33128;['000000000000000d', '18:24:04.552632000']
33404;['0000000000000079', '18:24:06.960250000']
33972;['00000000000000f7', '18:24:16.473425000']
33120;['0000000000000015', '18:24:04.551518000']
33122;['000000000000000a', '18:24:04.551769000']
33124;['000000000000000e', '18:24:04.552101000']
33126;['0000000000000037', '18:24:04.552372000']
33402;['0000000000000073', '18:24:06.960001000']
33432;['0000000000000055', '18:24:06.963856000']
33430;['0000000000000057', '18:24:06.963649000']
33436;['000000000000004b', '18:24:06.964361000']
33434;['0000000000000074', '18:24:06.964162000']
33892;['0000000000000118', '18:24:16.444663000']
33622;['0000000000000094', '18:24:12.318585000']
33438;['000000000000008b', '18:24:06.964828000']
33152;['0000000000000040', '18:24:04.556564000']
33638;['00000000000000b3', '18:24:12.320912000']
33894;['00000000000000ef', '18:24:16.444947000']
33612;['00000000000000c3', '18:24:12.316761000']
33718;['00000000000000bc', '18:24:12.337357000']
33656;['00000000000000c0', '18:24:12.324820000']
33712;['00000000000000d2', '18:24:12.335295000']
33710;['00000000000000cd', '18:24:12.334427000']
33410;['0000000000000060', '18:24:06.960980000']
33714;['00000000000000c1', '18:24:12.336273000']
33954;['00000000000000f6', '18:24:16.465582000']
33628;['0000000000000096', '18:24:12.319266000']
33950;['000000000000010b', '18:24:16.465107000']
33600;['000000000000009b', '18:24:12.314616000']
33952;['00000000000000f4', '18:24:16.465347000']
33640;['00000000000000c6', '18:24:12.321516000']
33958;['00000000000000fd', '18:24:16.470221000']
33634;['00000000000000c7', '18:24:12.320522000']
33932;['00000000000000fc', '18:24:16.460983000']
33398;['000000000000008c', '18:24:06.959399000']
33396;['000000000000006b', '18:24:06.959203000']
33394;['0000000000000049', '18:24:06.820798000']
33392;['0000000000000072', '18:24:06.820479000']
33390;['000000000000007c', '18:24:06.818919000']
33316;['0000000000000080', '18:24:06.786745000']
33314;['000000000000004d', '18:24:06.784792000']
33312;['000000000000004c', '18:24:06.783335000']
33310;['000000000000005c', '18:24:06.781804000']
33154;['000000000000001e', '18:24:04.556911000']
33686;['000000000000008d', '18:24:12.329140000']
33156;['0000000000000045', '18:24:04.557245000']
33150;['0000000000000039', '18:24:04.556245000']
33318;['0000000000000062', '18:24:06.787297000']
33924;['0000000000000109', '18:24:16.459479000']
33374;['000000000000005a', '18:24:06.813470000']
33916;['000000000000010f', '18:24:16.451929000']
33376;['0000000000000082', '18:24:06.814697000']
33370;['0000000000000077', '18:24:06.812030000']
33680;['000000000000008e', '18:24:12.327729000']
33372;['0000000000000085', '18:24:06.813032000']
33378;['0000000000000071', '18:24:06.815028000']
33626;['00000000000000ad', '18:24:12.319072000']
33946;['00000000000000dd', '18:24:16.464333000']
33868;['00000000000000ee', '18:24:15.923784000']
33944;['0000000000000117', '18:24:16.463617000']
33936;['00000000000000fe', '18:24:16.461853000']
33642;['00000000000000b4', '18:24:12.322160000']
33940;['0000000000000115', '18:24:16.462477000']
33624;['00000000000000a8', '18:24:12.318860000']
33864;['00000000000000fb', '18:24:15.921039000']
33948;['00000000000000eb', '18:24:16.464854000']
33866;['00000000000000de', '18:24:15.923453000']
33388;['0000000000000075', '18:24:06.818597000']
33416;['0000000000000078', '18:24:06.961748000']
33380;['0000000000000066', '18:24:06.816687000']
33382;['0000000000000052', '18:24:06.817028000']
33384;['0000000000000084', '18:24:06.817935000']
33386;['000000000000007e', '18:24:06.818267000']
33418;['0000000000000063', '18:24:06.962005000']
33650;['00000000000000af', '18:24:12.323811000']
33304;['0000000000000070', '18:24:06.776740000']
33676;['00000000000000b6', '18:24:12.327306000']
33306;['0000000000000050', '18:24:06.777274000']
33308;['000000000000005b', '18:24:06.780406000']
33942;['0000000000000111', '18:24:16.463387000']
33144;['0000000000000032', '18:24:04.555269000']
33142;['0000000000000016', '18:24:04.554939000']
33140;['000000000000000c', '18:24:04.554606000']
33366;['000000000000004a', '18:24:06.809862000']
33208;['0000000000000026', '18:24:06.585094000']
33364;['000000000000004f', '18:24:06.809493000']
33362;['000000000000005d', '18:24:06.808372000']
33360;['0000000000000059', '18:24:06.807201000']
33200;['000000000000001a', '18:24:06.584274000']
33202;['000000000000001c', '18:24:06.584466000']
33204;['0000000000000023', '18:24:06.570574000']
33368;['0000000000000064', '18:24:06.811026000']
33206;['000000000000003e', '18:24:06.584709000']
33644;['00000000000000b1', '18:24:12.322817000']
33878;['00000000000000dc', '18:24:16.437549000']
33970;['00000000000000e8', '18:24:16.472734000']
33976;['0000000000000100', '18:24:16.474094000']
33974;['0000000000000104', '18:24:16.473756000']
33872;['00000000000000e9', '18:24:16.435859000']
33990;['0000000000000116', '18:24:16.478312000']
33870;['0000000000000105', '18:24:16.435614000']
33978;['00000000000000d7', '18:24:16.474502000']
33876;['00000000000000f8', '18:24:16.436687000']
33874;['00000000000000d9', '18:24:16.436406000']
33982;['00000000000000ff', '18:24:16.476725000']
33636;['00000000000000a3', '18:24:12.320722000']
33980;['00000000000000ec', '18:24:16.476041000']
33704;['00000000000000b2', '18:24:12.333410000']
33344;['0000000000000088', '18:24:06.796689000']
33706;['0000000000000093', '18:24:12.333756000']
33178;['0000000000000021', '18:24:04.560891000']
33700;['00000000000000a4', '18:24:12.332736000']
33702;['000000000000009d', '18:24:12.333093000']
33668;['000000000000009e', '18:24:12.326310000']
33400;['0000000000000054', '18:24:06.959681000']
33172;['0000000000000014', '18:24:04.559925000']
33170;['0000000000000041', '18:24:04.559566000']
33708;['0000000000000099', '18:24:12.334079000']
33176;['000000000000001d', '18:24:04.560565000']
33174;['0000000000000031', '18:24:04.560236000']
33198;['0000000000000038', '18:24:04.564185000']
33218;['000000000000003a', '18:24:06.585675000']
33350;['0000000000000076', '18:24:06.799791000']
33356;['000000000000007a', '18:24:06.802933000']
33354;['000000000000006e', '18:24:06.801114000']
33212;['0000000000000029', '18:24:06.585287000']
33190;['000000000000002c', '18:24:04.562846000']
33210;['0000000000000035', '18:24:06.584900000']
33192;['0000000000000027', '18:24:04.563164000']
33216;['0000000000000028', '18:24:06.571050000']
33194;['000000000000003d', '18:24:04.563485000']
33214;['0000000000000005', '18:24:06.585481000']
33196;['0000000000000020', '18:24:04.563853000']
33684;['00000000000000c5', '18:24:12.328266000']
33614;['0000000000000097', '18:24:12.316968000']
33968;['00000000000000f3', '18:24:16.472360000']
33342;['0000000000000086', '18:24:06.796154000']
33666;['000000000000009c', '18:24:12.325880000']
33930;['00000000000000d8', '18:24:16.460409000']
33966;['00000000000000f2', '18:24:16.472151000']
33960;['0000000000000108', '18:24:16.470902000']
33688;['000000000000008f', '18:24:12.329520000']
33962;['00000000000000e5', '18:24:16.471337000']
33164;['0000000000000006', '18:24:04.558587000']
33630;['0000000000000091', '18:24:12.320135000']
33166;['000000000000002f', '18:24:04.558906000']
33664;['00000000000000ba', '18:24:12.325591000']
33160;['0000000000000013', '18:24:04.557922000']
33986;['0000000000000113', '18:24:16.477813000']
33162;['0000000000000001', '18:24:04.558250000']
33880;['0000000000000112', '18:24:16.437866000']
33168;['0000000000000044', '18:24:04.559233000']
33694;['00000000000000cb', '18:24:12.331325000']
33662;['00000000000000ca', '18:24:12.325397000']
33678;['00000000000000cc', '18:24:12.327501000']
33956;['00000000000000f0', '18:24:16.468582000']
33654;['0000000000000098', '18:24:12.324284000']
33670;['00000000000000a2', '18:24:12.326508000']
33672;['00000000000000bd', '18:24:12.326800000']
33660;['00000000000000ce', '18:24:12.325201000']
33674;['00000000000000be', '18:24:12.327011000']
33620;['00000000000000b9', '18:24:12.317790000']
33890;['000000000000010a', '18:24:16.444438000']
33920;['00000000000000d6', '18:24:16.458674000']
33188;['0000000000000043', '18:24:04.562531000']
33348;['0000000000000068', '18:24:06.798154000']
33618;['0000000000000092', '18:24:12.317599000']
33352;['0000000000000087', '18:24:06.800326000']
33182;['000000000000003f', '18:24:04.561538000']
33648;['00000000000000ac', '18:24:12.323592000']
33180;['000000000000002a', '18:24:04.561211000']
33984;['00000000000000db', '18:24:16.477556000']
33186;['000000000000003c', '18:24:04.562213000']
33922;['00000000000000e7', '18:24:16.459165000']
33184;['0000000000000042', '18:24:04.561881000']
33696;['00000000000000a1', '18:24:12.331649000']
33918;['000000000000010e', '18:24:16.453649000']
33616;['00000000000000c4', '18:24:12.317402000']
33692;['0000000000000095', '18:24:12.330971000']
33690;['00000000000000aa', '18:24:12.330409000']
33910;['0000000000000114', '18:24:16.450405000']
33912;['0000000000000102', '18:24:16.451458000']
33632;['00000000000000a0', '18:24:12.320328000']
33698;['00000000000000b8', '18:24:12.332033000']
33608;['0000000000000090', '18:24:12.315829000']
33652;['00000000000000a6', '18:24:12.324006000']
33926;['00000000000000e1', '18:24:16.459809000']
33116;['0000000000000046', '18:24:04.551083000']
33118;['0000000000000025', '18:24:04.551315000']
33610;['00000000000000d1', '18:24:12.316564000']
33658;['00000000000000c2', '18:24:12.325007000']
33914;['00000000000000ea', '18:24:16.451722000']
33992;['0000000000000101', '18:24:16.478903000']
