tcpport;dpid
48116;['00000000000000d9', '19:35:39.425828000']
48114;['00000000000000e2', '19:35:39.376686000']
48112;['00000000000000e8', '19:35:39.216646000']
48110;['00000000000000de', '19:35:38.959836000']
48118;['00000000000000ee', '19:35:39.479362000']
48298;['0000000000000076', '19:35:44.049556000']
48294;['00000000000000aa', '19:35:44.049136000']
48296;['000000000000008d', '19:35:44.049353000']
48290;['0000000000000077', '19:35:44.048715000']
48292;['00000000000000d3', '19:35:44.048926000']
48062;['00000000000000d1', '19:35:28.615658000']
48060;['00000000000000d6', '19:35:28.614714000']
48066;['00000000000000c4', '19:35:28.622019000']
48064;['00000000000000c3', '19:35:28.619717000']
48068;['00000000000000c7', '19:35:28.638298000']
47892;['0000000000000076', '19:35:14.013825000']
47890;['0000000000000077', '19:35:14.011994000']
47896;['0000000000000064', '19:35:14.022826000']
47894;['0000000000000078', '19:35:14.014993000']
47898;['0000000000000073', '19:35:14.023402000']
47940;['0000000000000089', '19:35:16.440419000']
47942;['0000000000000086', '19:35:16.440952000']
47944;['0000000000000088', '19:35:16.445231000']
47946;['000000000000008d', '19:35:16.452323000']
47948;['000000000000007a', '19:35:16.453993000']
47828;['0000000000000058', '19:35:12.303667000']
47826;['000000000000004e', '19:35:12.301143000']
47824;['0000000000000060', '19:35:12.299541000']
47822;['000000000000005c', '19:35:12.297110000']
47820;['0000000000000057', '19:35:12.296609000']
47768;['0000000000000020', '19:35:09.442011000']
47760;['0000000000000024', '19:35:09.437354000']
47762;['000000000000002b', '19:35:09.438162000']
47764;['0000000000000022', '19:35:09.439445000']
47766;['0000000000000025', '19:35:09.440252000']
47794;['000000000000003a', '19:35:10.692535000']
47796;['0000000000000047', '19:35:10.694196000']
47790;['0000000000000039', '19:35:10.691121000']
47792;['000000000000003f', '19:35:10.691661000']
47798;['0000000000000048', '19:35:10.694911000']
48364;['0000000000000058', '19:35:45.669601000']
48366;['0000000000000034', '19:35:45.636415000']
48360;['0000000000000045', '19:35:45.635011000']
48362;['0000000000000028', '19:35:45.636002000']
48248;['00000000000000d0', '19:35:44.040987000']
48246;['0000000000000067', '19:35:44.040682000']
48244;['0000000000000062', '19:35:44.040486000']
48368;['000000000000003e', '19:35:45.669940000']
48242;['0000000000000080', '19:35:44.040193000']
48240;['00000000000000bd', '19:35:44.039459000']
48026;['00000000000000b7', '19:35:23.342910000']
48024;['00000000000000b2', '19:35:23.339982000']
48022;['00000000000000be', '19:35:23.320434000']
48020;['00000000000000b0', '19:35:23.309828000']
48028;['00000000000000ad', '19:35:23.344638000']
48148;['00000000000000e0', '19:35:42.025165000']
48144;['00000000000000df', '19:35:41.674075000']
48146;['00000000000000eb', '19:35:41.852943000']
48140;['00000000000000e4', '19:35:41.289190000']
48142;['00000000000000db', '19:35:41.673401000']
48092;['00000000000000ca', '19:35:28.722348000']
48090;['00000000000000cb', '19:35:28.719005000']
48096;['00000000000000d8', '19:35:28.732168000']
48094;['00000000000000cd', '19:35:28.727733000']
48098;['00000000000000c1', '19:35:28.741269000']
47862;['0000000000000049', '19:35:12.331089000']
47860;['000000000000004d', '19:35:12.330027000']
47866;['000000000000006e', '19:35:13.977706000']
47864;['0000000000000056', '19:35:12.331578000']
47868;['0000000000000069', '19:35:13.985939000']
47690;['0000000000000018', '19:35:08.383299000']
47692;['0000000000000004', '19:35:08.384415000']
47694;['0000000000000012', '19:35:08.384916000']
47696;['0000000000000005', '19:35:08.385627000']
47698;['000000000000000e', '19:35:08.386112000']
47918;['000000000000008c', '19:35:16.405130000']
47916;['0000000000000079', '19:35:16.400571000']
47914;['0000000000000082', '19:35:16.396076000']
47912;['0000000000000062', '19:35:14.044197000']
47910;['0000000000000067', '19:35:14.043172000']
47736;['000000000000001b', '19:35:09.425443000']
