tcpport;dpid
42220;['0000000000000006', '19:29:19.259002000']
42284;['0000000000000061', '19:29:21.518224000']
42286;['00000000000000a1', '19:29:21.518417000']
41788;['000000000000001a', '19:28:49.659522000']
42228;['00000000000000a8', '19:29:21.512745000']
41784;['000000000000002f', '19:28:49.658185000']
41786;['0000000000000030', '19:28:49.658795000']
41780;['000000000000000c', '19:28:48.679128000']
41782;['0000000000000011', '19:28:48.679608000']
41958;['0000000000000064', '19:28:53.997295000']
41810;['000000000000001e', '19:28:49.670359000']
41812;['0000000000000019', '19:28:49.671603000']
41814;['0000000000000021', '19:28:49.672102000']
41816;['0000000000000028', '19:28:49.672590000']
41950;['0000000000000063', '19:28:53.986690000']
41818;['0000000000000027', '19:28:49.676193000']
41952;['0000000000000077', '19:28:53.987510000']
41954;['0000000000000076', '19:28:53.989356000']
41956;['0000000000000078', '19:28:53.990421000']
42188;['00000000000000ec', '19:29:15.123871000']
42160;['00000000000000c1', '19:29:05.321156000']
42162;['00000000000000ce', '19:29:05.323709000']
42280;['00000000000000d6', '19:29:21.517832000']
42164;['00000000000000c9', '19:29:05.325713000']
42166;['00000000000000cc', '19:29:05.328081000']
42168;['00000000000000ed', '19:29:13.635750000']
42272;['000000000000006d', '19:29:21.517063000']
42282;['00000000000000d1', '19:29:21.518022000']
42274;['00000000000000be', '19:29:21.517253000']
42148;['00000000000000d7', '19:29:05.298088000']
42276;['0000000000000007', '19:29:21.517448000']
42122;['00000000000000d6', '19:29:05.239220000']
41898;['0000000000000059', '19:28:52.238595000']
42318;['000000000000002f', '19:29:21.521553000']
42232;['00000000000000b8', '19:29:21.513142000']
42078;['00000000000000a9', '19:29:01.642916000']
42076;['00000000000000bb', '19:29:01.642256000']
41890;['0000000000000058', '19:28:52.228025000']
42074;['00000000000000b8', '19:29:01.641443000']
41892;['000000000000005f', '19:28:52.231960000']
42072;['00000000000000b6', '19:29:01.639911000']
41894;['0000000000000051', '19:28:52.233261000']
42070;['00000000000000a0', '19:28:58.563487000']
41896;['0000000000000053', '19:28:52.238104000']
42200;['00000000000000e9', '19:29:15.927556000']
42294;['00000000000000c4', '19:29:21.519234000']
42292;['0000000000000097', '19:29:21.519027000']
42218;['0000000000000001', '19:29:19.258801000']
41798;['000000000000001b', '19:28:49.664026000']
41796;['0000000000000029', '19:28:49.663206000']
41794;['000000000000001f', '19:28:49.662576000']
42202;['00000000000000e4', '19:29:16.120818000']
41792;['000000000000001c', '19:28:49.660845000']
41790;['0000000000000026', '19:28:49.660084000']
42288;['0000000000000051', '19:29:21.518608000']
41802;['000000000000002d', '19:28:49.666354000']
42142;['00000000000000c2', '19:29:05.274651000']
41800;['000000000000002e', '19:28:49.665704000']
41806;['0000000000000023', '19:28:49.668556000']
41804;['000000000000002c', '19:28:49.666946000']
42230;['000000000000005a', '19:29:21.512937000']
41808;['000000000000002a', '19:28:49.669126000']
42198;['00000000000000ea', '19:29:15.838612000']
42310;['0000000000000063', '19:29:21.520765000']
42290;['00000000000000c3', '19:29:21.518829000']
41928;['000000000000006e', '19:28:53.963688000']
42184;['00000000000000dc', '19:29:14.562132000']
42296;['0000000000000092', '19:29:21.519429000']
41924;['0000000000000056', '19:28:52.254349000']
41926;['0000000000000049', '19:28:52.255027000']
41920;['000000000000004c', '19:28:52.252300000']
41922;['000000000000004d', '19:28:52.253520000']
42114;['00000000000000aa', '19:29:01.699130000']
41888;['000000000000004e', '19:28:52.225327000']
42048;['0000000000000098', '19:28:58.532460000']
42110;['00000000000000b3', '19:29:01.692065000']
42112;['00000000000000ba', '19:29:01.694925000']
41882;['000000000000005c', '19:28:52.220790000']
42042;['0000000000000099', '19:28:58.521985000']
41880;['000000000000005a', '19:28:52.219950000']
42040;['0000000000000091', '19:28:58.520704000']
41886;['0000000000000060', '19:28:52.223770000']
42046;['000000000000009d', '19:28:58.527410000']
41884;['0000000000000057', '19:28:52.221288000']
42044;['00000000000000a3', '19:28:58.525822000']
42196;['00000000000000e1', '19:29:15.645185000']
42190;['00000000000000e6', '19:29:15.299635000']
41838;['0000000000000041', '19:28:50.813779000']
41836;['0000000000000035', '19:28:50.812439000']
42118;['00000000000000b9', '19:29:01.712447000']
41834;['0000000000000042', '19:28:50.810994000']
41832;['000000000000003d', '19:28:50.810484000']
41830;['0000000000000020', '19:28:49.682331000']
42054;['000000000000009b', '19:28:58.545073000']
42056;['00000000000000a7', '19:28:58.547551000']
42182;['00000000000000dd', '19:29:14.561505000']
42050;['000000000000009e', '19:28:58.541782000']
42314;['0000000000000011', '19:29:21.521157000']
41938;['0000000000000074', '19:28:53.977112000']
42158;['00000000000000d8', '19:29:05.317635000']
41936;['000000000000006d', '19:28:53.976620000']
41934;['000000000000006f', '19:28:53.973720000']
41932;['0000000000000070', '19:28:53.972007000']
41930;['0000000000000069', '19:28:53.970191000']
41744;['000000000000000b', '19:28:48.669683000']
42106;['00000000000000bf', '19:29:01.686004000']
42104;['00000000000000b1', '19:29:01.685522000']
42116;['00000000000000ab', '19:29:01.710557000']
42102;['00000000000000b5', '19:29:01.683324000']
42100;['00000000000000bd', '19:29:01.675100000']
42194;['00000000000000ef', '19:29:15.364460000']
42216;['0000000000000003', '19:29:19.257846000']
42214;['00000000000000e7', '19:29:16.881660000']
42212;['00000000000000da', '19:29:16.838770000']
42108;['00000000000000bc', '19:29:01.690741000']
42208;['00000000000000eb', '19:29:16.669796000']
42234;['00000000000000a6', '19:29:21.513345000']
42248;['0000000000000070', '19:29:21.514692000']
42080;['00000000000000b0', '19:29:01.645607000']
42236;['00000000000000bb', '19:29:21.513535000']
42180;['00000000000000ee', '19:29:14.427183000']
41828;['0000000000000025', '19:28:49.680772000']
41738;['0000000000000006', '19:28:48.667905000']
42270;['0000000000000074', '19:29:21.516873000']
42204;['00000000000000db', '19:29:16.501642000']
41820;['000000000000001d', '19:28:49.677301000']
42124;['00000000000000d1', '19:29:05.239689000']
41736;['0000000000000013', '19:28:48.667246000']
41824;['000000000000002b', '19:28:49.678604000']
41826;['0000000000000022', '19:28:49.679975000']
42174;['00000000000000e8', '19:29:14.187366000']
42020;['000000000000007c', '19:28:56.064338000']
41908;['000000000000005e', '19:28:52.244183000']
42024;['00000000000000a8', '19:28:58.502172000']
42026;['00000000000000a6', '19:28:58.503044000']
41902;['0000000000000052', '19:28:52.241392000']
41900;['000000000000005d', '19:28:52.240917000']
41906;['000000000000004b', '19:28:52.243706000']
41904;['000000000000004f', '19:28:52.241999000']
41982;['000000000000007b', '19:28:56.020192000']
42268;['000000000000003e', '19:29:21.516683000']
41980;['000000000000008c', '19:28:56.017969000']
41986;['000000000000007d', '19:28:56.023836000']
41984;['000000000000008a', '19:28:56.022368000']
42222;['000000000000006e', '19:29:21.511994000']
41988;['0000000000000090', '19:28:56.027093000']
42226;['0000000000000042', '19:29:21.512549000']
42224;['00000000000000b6', '19:29:21.512302000']
42156;['00000000000000cd', '19:29:05.312302000']
42258;['00000000000000c8', '19:29:21.515698000']
41914;['0000000000000055', '19:28:52.247812000']
41748;['0000000000000008', '19:28:48.670799000']
41916;['0000000000000050', '19:28:52.249966000']
41910;['000000000000004a', '19:28:52.244785000']
