stamptime;link_number;link
(21:09:12.596653000, 75);0000000000000055-16<-->00:00:00:00:00:65-32
(21:09:14.252571000, 138);000000000000002b-10<-->00:00:00:00:00:35-32
(21:09:10.466100000, 5);0000000000000009-2<-->00:00:00:00:00:01-38
(21:09:15.055841000, 164);0000000000000046-2<-->00:00:00:00:00:40-36
(21:09:12.368260000, 43);000000000000001a-2<-->00:00:00:00:00:16-34
(21:09:10.469906000, 20);0000000000000001-14<-->00:00:00:00:00:0f-32
(21:09:11.630308000, 27);000000000000003a-2<-->00:00:00:00:00:2b-3135
(21:09:12.371922000, 51);0000000000000016-16<-->00:00:00:00:00:26-32
(21:09:14.248076000, 127);000000000000002b-16<-->00:00:00:00:00:3b-32
(21:09:12.372093000, 54);0000000000000016-14<-->00:00:00:00:00:24-32
(21:09:12.788659000, 106);0000000000000040-5<-->00:00:00:00:00:45-32
(21:09:15.653386000, 197);0000000000000059-2<-->00:00:00:00:00:55-34
(21:09:12.374614000, 64);0000000000000040-10<-->00:00:00:00:00:4a-32
(21:09:12.371983000, 52);0000000000000016-9<-->00:00:00:00:00:1f-32
(21:09:13.170427000, 122);0000000000000001-8<-->00:00:00:00:00:09-32
(21:09:11.636482000, 40);000000000000002b-9<-->00:00:00:00:00:34-32
(21:09:15.054792000, 160);0000000000000047-2<-->00:00:00:00:00:40-37
(21:09:12.370752000, 48);0000000000000019-2<-->00:00:00:00:00:16-33
(21:09:15.058487000, 167);0000000000000051-2<-->00:00:00:00:00:40-3137
(21:09:12.435020000, 66);0000000000000029-2<-->00:00:00:00:00:16-3139
(21:09:10.464265000, 3);0000000000000014-2<-->00:00:00:00:00:01-3139
(21:09:11.631134000, 29);0000000000000030-2<-->00:00:00:00:00:2b-35
(21:09:15.052005000, 154);0000000000000016-12<-->00:00:00:00:00:22-32
(21:09:10.468286000, 12);0000000000000008-2<-->00:00:00:00:00:01-37
(21:09:12.651114000, 82);0000000000000064-2<-->00:00:00:00:00:55-3135
(21:09:11.629973000, 26);000000000000003f-2<-->00:00:00:00:00:2b-3230
(21:09:12.374366000, 62);0000000000000040-9<-->00:00:00:00:00:49-32
(21:09:13.152522000, 110);0000000000000001-19<-->00:00:00:00:00:14-32
(21:09:11.633456000, 32);000000000000002c-2<-->00:00:00:00:00:2b-31
(21:09:15.652492000, 190);0000000000000062-2<-->00:00:00:00:00:55-3133
(21:09:15.051907000, 153);0000000000000016-19<-->00:00:00:00:00:29-32
(21:09:10.469844000, 19);0000000000000001-6<-->00:00:00:00:00:07-32
(21:09:15.656590000, 198);0000000000000055-1<-->00:00:00:00:00:56-32
(21:09:12.372018000, 53);0000000000000016-5<-->00:00:00:00:00:1b-32
(21:09:14.249368000, 129);000000000000002b-8<-->00:00:00:00:00:33-32
(21:09:14.949210000, 149);0000000000000016-3<-->00:00:00:00:00:19-32
(21:09:12.652957000, 86);0000000000000056-2<-->00:00:00:00:00:55-31
