stamptime;link_number;link
(21:11:05.694675000, 34);000000000000001c-2<-->0000000000000016-00000006
(21:11:06.138818000, 57);0000000000000016-7<-->000000000000001d-00000002
(21:11:08.991762000, 179);0000000000000040-7<-->0000000000000047-00000002
(21:11:08.941469000, 169);0000000000000045-2<-->0000000000000040-00000005
(21:11:06.228272000, 73);000000000000002c-2<-->000000000000002b-00000001
(21:11:09.420767000, 189);000000000000002a-2<-->0000000000000016-00000014
(21:11:06.230301000, 90);000000000000002b-5<-->0000000000000030-00000002
(21:11:06.229857000, 79);0000000000000039-2<-->000000000000002b-0000000e
(21:11:07.225510000, 101);0000000000000008-2<-->0000000000000001-00000007
(21:11:08.989931000, 172);0000000000000040-20<-->0000000000000054-00000002
(21:11:08.932277000, 122);000000000000005f-2<-->0000000000000055-0000000a
(21:11:08.990714000, 177);0000000000000043-2<-->0000000000000040-00000003
(21:11:08.932964000, 128);0000000000000064-2<-->0000000000000055-0000000f
(21:11:07.227109000, 104);000000000000000f-2<-->0000000000000001-0000000e
(21:11:06.742005000, 99);0000000000000012-2<-->0000000000000001-00000011
(21:11:08.933163000, 131);000000000000005b-2<-->0000000000000055-00000006
(21:11:06.229947000, 80);000000000000003c-2<-->000000000000002b-00000011
(21:11:06.230314000, 91);000000000000002b-7<-->0000000000000032-00000002
(21:11:06.228098000, 72);0000000000000031-2<-->000000000000002b-00000006
(21:11:07.227472000, 105);000000000000000a-2<-->0000000000000001-00000009
(21:11:06.116859000, 38);0000000000000016-18<-->0000000000000028-00000002
(21:11:09.571579000, 191);0000000000000027-2<-->0000000000000016-00000011
(21:11:07.229658000, 107);000000000000000b-2<-->0000000000000001-0000000a
(21:11:08.991791000, 180);0000000000000040-3<-->0000000000000043-00000002
(21:11:08.941023000, 160);000000000000004f-2<-->0000000000000040-0000000f
(21:11:08.935885000, 135);0000000000000055-13<-->0000000000000062-00000002
(21:11:08.933270000, 133);0000000000000069-2<-->0000000000000055-00000014
(21:11:08.933119000, 130);0000000000000061-2<-->0000000000000055-0000000c
(21:11:06.138655000, 50);0000000000000016-5<-->000000000000001b-00000002
(21:11:05.641695000, 28);0000000000000001-6<-->0000000000000007-00000002
