tcpport dpid stamptime 
59014 000000000000001a 20:56:25.333303000 
59016 000000000000001c 20:56:25.333618000 
59018 000000000000000a 20:56:25.333908000 
59020 000000000000000e 20:56:25.334379000 
59022 0000000000000023 20:56:25.334675000 
59024 000000000000000d 20:56:25.334973000 
59026 0000000000000008 20:56:25.335256000 
59028 000000000000000f 20:56:25.335536000 
59030 000000000000001f 20:56:25.335817000 
59032 0000000000000022 20:56:25.336099000 
59034 000000000000001b 20:56:25.336559000 
59036 0000000000000026 20:56:25.336851000 
59038 0000000000000029 20:56:25.337131000 
59040 000000000000000c 20:56:25.337408000 
59042 0000000000000005 20:56:25.337689000 
59044 0000000000000016 20:56:25.337969000 
59046 0000000000000028 20:56:25.338248000 
59048 0000000000000024 20:56:25.338527000 
59050 0000000000000032 20:56:25.338788000 
59052 0000000000000012 20:56:25.339089000 
59054 0000000000000018 20:56:25.339374000 
59056 000000000000000b 20:56:25.339848000 
59058 0000000000000009 20:56:25.340186000 
59060 0000000000000030 20:56:25.340656000 
59062 000000000000002e 20:56:25.340952000 
59064 000000000000001e 20:56:25.341230000 
59066 0000000000000019 20:56:25.341525000 
59068 000000000000002b 20:56:25.341989000 
59070 0000000000000013 20:56:25.342280000 
59072 0000000000000006 20:56:25.342569000 
59074 0000000000000001 20:56:25.342836000 
59076 0000000000000003 20:56:25.343147000 
59078 000000000000002f 20:56:25.343439000 
59080 0000000000000007 20:56:25.343732000 
59082 0000000000000004 20:56:25.344196000 
59084 0000000000000017 20:56:25.344481000 
59086 000000000000001d 20:56:25.344766000 
59088 000000000000002d 20:56:25.345049000 
59090 0000000000000031 20:56:25.345335000 
59092 0000000000000014 20:56:25.345632000 
59094 0000000000000021 20:56:25.345913000 
59096 000000000000002a 20:56:25.346193000 
59098 0000000000000011 20:56:25.346470000 
59100 0000000000000002 20:56:25.346755000 
59102 000000000000002c 20:56:25.347052000 
59104 0000000000000010 20:56:25.347522000 
59106 0000000000000027 20:56:25.347885000 
59108 0000000000000025 20:56:25.348367000 
59110 0000000000000015 20:56:25.348660000 
59112 0000000000000020 20:56:25.348952000 
59188 000000000000005b 20:56:26.772397000 
59190 0000000000000052 20:56:26.772930000 
59192 000000000000003f 20:56:26.775879000 
59194 000000000000005c 20:56:26.777217000 
59196 000000000000004c 20:56:26.777748000 
59198 0000000000000042 20:56:26.778275000 
59200 0000000000000043 20:56:26.778799000 
59202 000000000000003c 20:56:26.779418000 
59204 000000000000004d 20:56:26.780774000 
59206 000000000000003d 20:56:26.781286000 
59208 0000000000000049 20:56:26.781806000 
59210 0000000000000038 20:56:26.782648000 
59212 0000000000000062 20:56:26.783194000 
59214 000000000000005f 20:56:27.399080000 
59216 000000000000003e 20:56:27.399365000 
59218 0000000000000035 20:56:27.399673000 
59220 000000000000003a 20:56:27.399897000 
59222 000000000000004e 20:56:27.400088000 
59224 0000000000000054 20:56:27.400272000 
59226 000000000000003b 20:56:27.400486000 
59228 0000000000000058 20:56:27.400678000 
59230 0000000000000048 20:56:27.400865000 
59232 0000000000000034 20:56:27.401104000 
59234 0000000000000036 20:56:27.401301000 
59236 000000000000005e 20:56:27.401579000 
59238 0000000000000033 20:56:27.401885000 
59240 0000000000000056 20:56:27.402172000 
59242 0000000000000047 20:56:27.402471000 
59244 0000000000000060 20:56:27.402720000 
59246 0000000000000061 20:56:27.403030000 
59248 0000000000000053 20:56:27.403341000 
59250 0000000000000046 20:56:27.403683000 
59252 0000000000000063 20:56:27.403893000 
59254 0000000000000051 20:56:27.404087000 
59256 0000000000000037 20:56:27.404411000 
59258 0000000000000057 20:56:27.404649000 
59260 0000000000000055 20:56:27.404840000 
59262 0000000000000059 20:56:27.405038000 
59264 000000000000005d 20:56:27.405228000 
59266 000000000000004f 20:56:27.405455000 
59268 000000000000004b 20:56:27.405767000 
59270 000000000000004a 20:56:27.405989000 
59272 0000000000000039 20:56:27.406213000 
59274 0000000000000064 20:56:27.406426000 
59276 0000000000000040 20:56:27.406650000 
59278 0000000000000045 20:56:27.406962000 
59280 000000000000005a 20:56:27.407231000 
59282 0000000000000050 20:56:27.407470000 
59284 0000000000000044 20:56:27.407756000 
59286 0000000000000041 20:56:27.407959000 
