tcpport dpid stamptime 
59300 000000000000001a 20:58:08.104209000 
59302 000000000000001c 20:58:08.104508000 
59304 000000000000000e 20:58:08.104780000 
59306 0000000000000023 20:58:08.105054000 
59308 000000000000000a 20:58:08.105325000 
59310 000000000000000d 20:58:08.105599000 
59312 0000000000000008 20:58:08.105872000 
59314 000000000000001f 20:58:08.106140000 
59316 000000000000000f 20:58:08.106415000 
59318 0000000000000022 20:58:08.106690000 
59320 000000000000001b 20:58:08.107004000 
59322 0000000000000026 20:58:08.107520000 
59324 0000000000000029 20:58:08.107983000 
59326 0000000000000005 20:58:08.108464000 
59328 000000000000000c 20:58:08.108920000 
59330 0000000000000016 20:58:08.109363000 
59332 0000000000000028 20:58:08.109780000 
59334 0000000000000032 20:58:08.110200000 
59336 0000000000000024 20:58:08.110652000 
59338 0000000000000012 20:58:08.111106000 
59340 0000000000000018 20:58:08.111563000 
59342 0000000000000009 20:58:08.112006000 
59344 000000000000000b 20:58:08.112447000 
59346 0000000000000030 20:58:08.112885000 
59348 000000000000002e 20:58:08.113338000 
59350 000000000000001e 20:58:08.113775000 
59352 0000000000000019 20:58:08.114212000 
59354 0000000000000013 20:58:08.114669000 
59356 000000000000002b 20:58:08.115135000 
59358 0000000000000006 20:58:08.115574000 
59360 0000000000000001 20:58:08.115987000 
59362 0000000000000003 20:58:08.116431000 
59364 000000000000002f 20:58:08.116868000 
59366 0000000000000007 20:58:08.117310000 
59368 0000000000000004 20:58:08.117764000 
59370 0000000000000017 20:58:08.118202000 
59372 000000000000001d 20:58:08.118631000 
59374 000000000000002d 20:58:08.119091000 
59376 0000000000000031 20:58:08.119530000 
59378 0000000000000014 20:58:08.119973000 
59380 0000000000000021 20:58:08.120434000 
59382 000000000000002a 20:58:08.120867000 
59384 0000000000000011 20:58:08.121300000 
59386 0000000000000002 20:58:08.121739000 
59388 000000000000002c 20:58:08.122199000 
59390 0000000000000010 20:58:08.122636000 
59392 0000000000000025 20:58:08.123097000 
59394 0000000000000027 20:58:08.123551000 
59396 0000000000000015 20:58:08.123988000 
59398 0000000000000020 20:58:08.124310000 
59400 000000000000005f 20:58:09.244672000 
59402 000000000000003e 20:58:09.245020000 
59404 0000000000000035 20:58:09.245412000 
59406 000000000000003a 20:58:09.245866000 
59408 000000000000004e 20:58:09.246220000 
59410 0000000000000054 20:58:09.246496000 
59412 000000000000003b 20:58:09.246966000 
59414 0000000000000058 20:58:09.247253000 
59416 0000000000000036 20:58:09.247547000 
59418 000000000000005e 20:58:09.247823000 
59420 0000000000000034 20:58:09.248102000 
59440 0000000000000051 20:58:09.251132000 
59444 0000000000000055 20:58:09.251990000 
59448 0000000000000059 20:58:09.252541000 
59452 000000000000004f 20:58:09.253101000 
59454 000000000000004b 20:58:09.253438000 
59456 000000000000004a 20:58:09.253708000 
59460 0000000000000039 20:58:09.254247000 
59462 0000000000000040 20:58:09.254534000 
59466 000000000000005a 20:58:09.255221000 
59468 0000000000000041 20:58:09.255535000 
59472 0000000000000050 20:58:09.256069000 
59476 000000000000005b 20:58:09.256606000 
59484 0000000000000042 20:58:09.257748000 
59492 000000000000003d 20:58:09.258852000 
59438 0000000000000063 20:58:09.258878000 
59436 0000000000000046 20:58:09.258880000 
59434 0000000000000061 20:58:09.258882000 
59432 0000000000000053 20:58:09.258884000 
59430 0000000000000060 20:58:09.258885000 
59428 0000000000000047 20:58:09.258887000 
59426 0000000000000056 20:58:09.258888000 
59424 0000000000000033 20:58:09.258890000 
59422 0000000000000048 20:58:09.258891000 
59494 0000000000000049 20:58:09.259245000 
59464 0000000000000045 20:58:09.262882000 
59458 0000000000000064 20:58:09.262885000 
59450 000000000000005d 20:58:09.262887000 
59446 0000000000000057 20:58:09.262889000 
59442 0000000000000037 20:58:09.262890000 
59490 000000000000004d 20:58:09.266883000 
59488 000000000000003c 20:58:09.266886000 
59486 0000000000000043 20:58:09.266887000 
59482 000000000000004c 20:58:09.266889000 
59480 000000000000005c 20:58:09.266891000 
59478 000000000000003f 20:58:09.266893000 
59474 0000000000000052 20:58:09.266895000 
59470 0000000000000044 20:58:09.266896000 
59498 0000000000000062 20:58:09.270885000 
59496 0000000000000038 20:58:09.270888000 
