tcpport dpid
37812 0000000000000001 00:09:10.168856000 
37844 0000000000000002 00:09:10.178441000 
37816 0000000000000003 00:09:10.170666000 
37828 0000000000000004 00:09:10.174216000 
37832 0000000000000005 00:09:10.175407000 
37814 0000000000000006 00:09:10.169718000 
37826 0000000000000007 00:09:10.173447000 
37822 0000000000000008 00:09:10.172353000 
37820 0000000000000009 00:09:10.171594000 
37836 000000000000000a 00:09:10.176315000 
37818 000000000000000b 00:09:10.171150000 
37856 000000000000000c 00:09:10.181170000 
37846 000000000000000d 00:09:10.178932000 
37834 000000000000000e 00:09:10.175849000 
37848 000000000000000f 00:09:10.179380000 
37850 0000000000000010 00:09:10.179828000 
37854 0000000000000011 00:09:10.180709000 
37830 0000000000000012 00:09:10.174674000 
37810 0000000000000013 00:09:10.168096000 
37852 0000000000000014 00:09:10.180258000 
37842 0000000000000015 00:09:10.177710000 
37840 0000000000000016 00:09:10.177268000 
37838 0000000000000017 00:09:10.176781000 
37824 0000000000000018 00:09:10.172812000 
37884 0000000000000019 00:09:11.094886000 
37864 000000000000001a 00:09:11.090898000 
37872 000000000000001b 00:09:11.090894000 
37866 000000000000001c 00:09:11.079664000 
37894 000000000000001d 00:09:11.087422000 
37882 000000000000001e 00:09:11.083944000 
37868 000000000000001f 00:09:11.080332000 
37904 0000000000000020 00:09:11.089838000 
37886 0000000000000021 00:09:11.085005000 
37900 0000000000000022 00:09:11.088742000 
37880 0000000000000023 00:09:11.083300000 
37896 0000000000000024 00:09:11.087847000 
37902 0000000000000025 00:09:11.089189000 
37860 0000000000000026 00:09:11.077880000 
37892 0000000000000027 00:09:11.086718000 
37890 0000000000000028 00:09:11.085874000 
37870 0000000000000029 00:09:11.090896000 
37888 000000000000002a 00:09:11.085442000 
37898 000000000000002b 00:09:11.088288000 
37878 000000000000002c 00:09:11.090885000 
37876 000000000000002d 00:09:11.090889000 
37874 000000000000002e 00:09:11.090892000 
37858 000000000000002f 00:09:11.077410000 
37862 0000000000000030 00:09:11.078331000 
37946 0000000000000031 00:09:12.213164000 
37940 0000000000000032 00:09:12.211227000 
37924 0000000000000033 00:09:12.204901000 
37918 0000000000000034 00:09:12.201456000 
37910 0000000000000035 00:09:12.197660000 
37922 0000000000000036 00:09:12.203617000 
37936 0000000000000037 00:09:12.209965000 
37952 0000000000000038 00:09:12.215611000 
37926 0000000000000039 00:09:12.206177000 
37930 000000000000003a 00:09:12.207854000 
37942 000000000000003b 00:09:12.211979000 
37948 000000000000003c 00:09:12.213846000 
37908 000000000000003d 00:09:12.196894000 
37920 000000000000003e 00:09:12.202285000 
37928 000000000000003f 00:09:12.207014000 
37914 0000000000000040 00:09:12.198899000 
37912 0000000000000041 00:09:12.198145000 
37906 0000000000000042 00:09:12.196426000 
37944 0000000000000043 00:09:12.212516000 
37950 0000000000000044 00:09:12.222896000 
37916 0000000000000045 00:09:12.200123000 
37938 0000000000000046 00:09:12.210421000 
37934 0000000000000047 00:09:12.209263000 
37932 0000000000000048 00:09:12.208796000 
