tcpport;dpid
38108;[0000000000000044, 00:11:08.962891000]
38030;[000000000000001b, 00:11:07.906900000]
38074;[0000000000000045, 00:11:08.942890000]
38044;[000000000000002a, 00:11:07.906912000]
38078;[0000000000000034, 00:11:08.946897000]
38036;[000000000000002d, 00:11:07.906887000]
37986;[0000000000000004, 00:11:07.070392000]
38050;[0000000000000027, 00:11:07.910887000]
37984;[0000000000000007, 00:11:07.069773000]
38052;[000000000000001d, 00:11:07.902886000]
37982;[0000000000000018, 00:11:07.069171000]
38054;[0000000000000024, 00:11:07.914893000]
37980;[0000000000000009, 00:11:07.068756000]
38056;[000000000000002b, 00:11:07.904533000]
38058;[0000000000000022, 00:11:07.905527000]
38034;[000000000000002c, 00:11:07.906892000]
38062;[0000000000000020, 00:11:07.918898000]
37988;[0000000000000012, 00:11:07.070805000]
38070;[0000000000000041, 00:11:08.929683000]
38110;[0000000000000038, 00:11:08.962886000]
38086;[000000000000003f, 00:11:08.950896000]
38038;[0000000000000023, 00:11:07.906932000]
38018;[0000000000000026, 00:11:07.888688000]
38014;[0000000000000011, 00:11:07.079095000]
38016;[000000000000001a, 00:11:07.888162000]
38010;[0000000000000010, 00:11:07.077684000]
38012;[000000000000000c, 00:11:07.078343000]
38094;[0000000000000037, 00:11:08.954896000]
38096;[0000000000000032, 00:11:08.954892000]
38064;[000000000000003d, 00:11:08.926274000]
38090;[0000000000000047, 00:11:08.950891000]
37978;[0000000000000008, 00:11:07.068344000]
37976;[000000000000000b, 00:11:07.067730000]
37974;[0000000000000003, 00:11:07.067309000]
37972;[0000000000000001, 00:11:07.066640000]
37970;[0000000000000006, 00:11:07.066011000]
38072;[0000000000000040, 00:11:08.938887000]
38106;[000000000000003c, 00:11:08.962895000]
38076;[000000000000003e, 00:11:08.942886000]
38092;[0000000000000048, 00:11:08.950887000]
38068;[0000000000000035, 00:11:08.928748000]
38024;[000000000000001c, 00:11:07.890250000]
37994;[0000000000000017, 00:11:07.072268000]
38026;[000000000000001f, 00:11:07.906909000]
37996;[000000000000000a, 00:11:07.072677000]
38020;[0000000000000030, 00:11:07.889126000]
37990;[0000000000000005, 00:11:07.071454000]
38022;[000000000000002f, 00:11:07.889608000]
37992;[000000000000000e, 00:11:07.071863000]
38060;[0000000000000025, 00:11:07.914887000]
38048;[0000000000000028, 00:11:07.910892000]
38028;[0000000000000029, 00:11:07.906905000]
37998;[0000000000000016, 00:11:07.073081000]
38066;[0000000000000042, 00:11:08.927139000]
38042;[0000000000000021, 00:11:07.906916000]
38104;[0000000000000031, 00:11:08.958886000]
38102;[0000000000000043, 00:11:08.958891000]
38008;[0000000000000014, 00:11:07.077013000]
38100;[000000000000003b, 00:11:08.958894000]
38006;[000000000000000f, 00:11:07.076349000]
38004;[000000000000000d, 00:11:07.075615000]
38002;[0000000000000015, 00:11:07.074890000]
38040;[0000000000000019, 00:11:07.906928000]
38000;[0000000000000002, 00:11:07.074207000]
38098;[0000000000000046, 00:11:08.954888000]
37968;[0000000000000013, 00:11:07.065390000]
38084;[0000000000000039, 00:11:08.946885000]
38082;[0000000000000033, 00:11:08.946890000]
38080;[0000000000000036, 00:11:08.946893000]
38032;[000000000000002e, 00:11:07.906896000]
38046;[000000000000001e, 00:11:07.910896000]
38088;[000000000000003a, 00:11:08.950894000]
