tcpport;dpid
36408;[0000000000000035, 10:09:06.377650000]
36366;[000000000000001b, 10:09:05.343227000]
36360;[0000000000000021, 10:09:05.330163000]
36362;[000000000000001a, 10:09:05.342705000]
36364;[000000000000001c, 10:09:05.342915000]
36348;[000000000000000c, 10:09:04.911551000]
36346;[0000000000000012, 10:09:04.911323000]
36344;[0000000000000015, 10:09:04.911119000]
36342;[0000000000000016, 10:09:04.910934000]
36340;[0000000000000011, 10:09:04.910739000]
36328;[000000000000000a, 10:09:04.528770000]
36324;[0000000000000009, 10:09:04.528578000]
36326;[0000000000000005, 10:09:04.520800000]
36320;[0000000000000001, 10:09:04.528252000]
36322;[0000000000000002, 10:09:04.528419000]
36368;[0000000000000018, 10:09:05.343509000]
36382;[000000000000002c, 10:09:05.852018000]
36380;[0000000000000020, 10:09:05.344927000]
36386;[0000000000000022, 10:09:05.853992000]
36384;[0000000000000025, 10:09:05.853040000]
36412;[000000000000002e, 10:09:06.379833000]
36388;[0000000000000023, 10:09:05.855370000]
36416;[0000000000000031, 10:09:06.385967000]
36414;[0000000000000030, 10:09:06.380846000]
36404;[0000000000000032, 10:09:06.372383000]
36358;[0000000000000013, 10:09:04.900297000]
36394;[0000000000000024, 10:09:05.857464000]
36316;[0000000000000006, 10:09:04.518876000]
36376;[0000000000000019, 10:09:05.344336000]
36374;[000000000000001d, 10:09:05.322871000]
36350;[000000000000000e, 10:09:04.911727000]
36352;[000000000000000d, 10:09:04.911909000]
36354;[0000000000000010, 10:09:04.899269000]
36424;[000000000000002f, 10:09:06.393489000]
36356;[000000000000000f, 10:09:04.899772000]
36378;[000000000000001e, 10:09:05.344628000]
36372;[000000000000001f, 10:09:05.322332000]
36406;[0000000000000036, 10:09:06.375712000]
36410;[0000000000000034, 10:09:06.378626000]
36400;[0000000000000026, 10:09:05.860718000]
36402;[000000000000002b, 10:09:05.861256000]
36338;[0000000000000014, 10:09:04.910554000]
36336;[0000000000000008, 10:09:04.523311000]
36422;[0000000000000033, 10:09:06.391299000]
36334;[0000000000000004, 10:09:04.522729000]
36332;[000000000000000b, 10:09:04.522173000]
36370;[0000000000000017, 10:09:05.343784000]
36330;[0000000000000003, 10:09:04.521653000]
36398;[0000000000000028, 10:09:05.859184000]
36420;[000000000000002d, 10:09:06.333343000]
36318;[0000000000000007, 10:09:04.528048000]
36396;[0000000000000029, 10:09:05.858262000]
36390;[000000000000002a, 10:09:05.856286000]
36392;[0000000000000027, 10:09:05.866167000]
36418;[0000000000000037, 10:09:06.388265000]
