tcpport;dpid
45006;[0000000000000009, 10:12:43.255623000]
45004;[0000000000000001, 10:12:43.255127000]
45002;[0000000000000002, 10:12:43.254635000]
45000;[0000000000000007, 10:12:43.254138000]
45032;[000000000000000e, 10:12:43.693906000]
45024;[0000000000000016, 10:12:43.690226000]
45026;[0000000000000015, 10:12:43.691511000]
45020;[0000000000000014, 10:12:43.688431000]
45048;[000000000000001b, 10:12:44.202302000]
45008;[0000000000000005, 10:12:43.256121000]
44998;[0000000000000006, 10:12:43.253263000]
45120;[0000000000000031, 10:12:51.032109000]
45028;[0000000000000012, 10:12:43.692837000]
45036;[0000000000000010, 10:12:43.695926000]
45118;[0000000000000030, 10:12:50.960905000]
45052;[0000000000000017, 10:12:44.203351000]
45076;[0000000000000024, 10:12:44.818630000]
45034;[000000000000000d, 10:12:43.695137000]
45044;[000000000000001a, 10:12:44.200289000]
45124;[000000000000002d, 10:12:51.273393000]
45042;[0000000000000021, 10:12:44.198841000]
45074;[0000000000000027, 10:12:44.817460000]
45072;[000000000000002a, 10:12:44.816735000]
45050;[0000000000000018, 10:12:44.202898000]
45122;[0000000000000037, 10:12:51.169291000]
45128;[000000000000002f, 10:12:51.465717000]
45030;[000000000000000c, 10:12:43.693354000]
45040;[0000000000000013, 10:12:43.698041000]
45078;[0000000000000029, 10:12:44.819406000]
45014;[000000000000000b, 10:12:43.257612000]
45016;[0000000000000008, 10:12:43.258095000]
45010;[000000000000000a, 10:12:43.256618000]
45012;[0000000000000003, 10:12:43.257109000]
45046;[000000000000001c, 10:12:44.201622000]
45038;[000000000000000f, 10:12:43.696451000]
45018;[0000000000000004, 10:12:43.258597000]
45054;[000000000000001f, 10:12:44.203846000]
45110;[0000000000000036, 10:12:50.502984000]
45022;[0000000000000011, 10:12:43.688945000]
45056;[000000000000001d, 10:12:44.204344000]
45126;[0000000000000033, 10:12:51.290572000]
45112;[0000000000000034, 10:12:50.643732000]
45066;[0000000000000025, 10:12:44.814291000]
45114;[0000000000000035, 10:12:50.669263000]
45108;[0000000000000032, 10:12:50.340593000]
45060;[000000000000001e, 10:12:44.205338000]
45070;[0000000000000023, 10:12:44.815975000]
45062;[0000000000000020, 10:12:44.206822000]
45064;[000000000000002c, 10:12:44.813731000]
45116;[000000000000002e, 10:12:50.834093000]
45058;[0000000000000019, 10:12:44.204845000]
45068;[0000000000000022, 10:12:44.814881000]
45084;[000000000000002b, 10:12:44.823746000]
45082;[0000000000000026, 10:12:44.822698000]
45080;[0000000000000028, 10:12:44.820110000]
