tcpport;dpid
51176;[0000000000000046, 00:05:53.542279000]
51174;[0000000000000010, 00:05:53.541610000]
51172;[0000000000000002, 00:05:53.540962000]
51268;[000000000000003f, 00:05:53.570400000]
51130;[000000000000002e, 00:05:53.531317000]
51264;[000000000000001d, 00:05:53.569557000]
51262;[000000000000005b, 00:05:53.569196000]
51178;[0000000000000063, 00:05:53.542953000]
51208;[0000000000000059, 00:05:53.552135000]
51278;[000000000000002c, 00:05:53.572600000]
51286;[0000000000000027, 00:05:53.574111000]
51280;[000000000000003c, 00:05:53.572960000]
51282;[0000000000000043, 00:05:53.573310000]
51288;[000000000000003d, 00:05:53.574758000]
51160;[0000000000000047, 00:05:53.537456000]
51162;[0000000000000056, 00:05:53.538087000]
51164;[0000000000000061, 00:05:53.538482000]
51166;[000000000000002d, 00:05:53.538983000]
51168;[0000000000000053, 00:05:53.539630000]
51272;[000000000000005c, 00:05:53.571127000]
51274;[0000000000000042, 00:05:53.571654000]
51276;[000000000000004c, 00:05:53.572016000]
51200;[0000000000000022, 00:05:53.550468000]
51270;[000000000000002a, 00:05:53.570779000]
51296;[0000000000000038, 00:05:53.577468000]
51294;[0000000000000062, 00:05:53.576804000]
51292;[0000000000000020, 00:05:53.576132000]
51290;[0000000000000049, 00:05:53.575425000]
51198;[0000000000000008, 00:05:53.549765000]
51194;[0000000000000037, 00:05:53.548452000]
51196;[000000000000000f, 00:05:53.549113000]
51190;[000000000000001f, 00:05:53.547135000]
51192;[000000000000000d, 00:05:53.547811000]
51114;[0000000000000005, 00:05:53.527463000]
51116;[0000000000000028, 00:05:53.527856000]
51110;[0000000000000026, 00:05:53.526731000]
51112;[0000000000000029, 00:05:53.527103000]
51204;[0000000000000055, 00:05:53.551318000]
51206;[0000000000000057, 00:05:53.551667000]
51118;[000000000000003a, 00:05:53.528225000]
51202;[000000000000001b, 00:05:53.550960000]
51188;[000000000000000e, 00:05:53.546385000]
51186;[000000000000000a, 00:05:53.545702000]
51184;[0000000000000015, 00:05:53.545041000]
51170;[0000000000000011, 00:05:53.540310000]
51182;[0000000000000025, 00:05:53.544333000]
51180;[0000000000000051, 00:05:53.543601000]
51106;[000000000000003e, 00:05:53.525884000]
51104;[0000000000000023, 00:05:53.525483000]
51102;[000000000000001c, 00:05:53.525056000]
51218;[0000000000000032, 00:05:53.554986000]
51266;[0000000000000052, 00:05:53.569924000]
51216;[000000000000004f, 00:05:53.554324000]
51214;[0000000000000016, 00:05:53.553627000]
51212;[000000000000005d, 00:05:53.553052000]
51210;[000000000000000c, 00:05:53.552697000]
51260;[0000000000000014, 00:05:53.568838000]
51132;[0000000000000030, 00:05:53.531705000]
51228;[0000000000000064, 00:05:53.558246000]
51136;[0000000000000058, 00:05:53.532413000]
51134;[000000000000003b, 00:05:53.532060000]
51222;[000000000000004b, 00:05:53.556310000]
51220;[0000000000000024, 00:05:53.555678000]
51226;[000000000000000b, 00:05:53.557608000]
51224;[000000000000004a, 00:05:53.556965000]
51234;[0000000000000045, 00:05:53.560267000]
51236;[000000000000001e, 00:05:53.560962000]
51138;[0000000000000019, 00:05:53.532774000]
51230;[0000000000000039, 00:05:53.558927000]
51232;[0000000000000040, 00:05:53.559596000]
51238;[000000000000002b, 00:05:53.561704000]
51128;[0000000000000009, 00:05:53.530919000]
51124;[0000000000000054, 00:05:53.529911000]
51126;[0000000000000018, 00:05:53.530522000]
51120;[0000000000000012, 00:05:53.528890000]
51122;[000000000000004e, 00:05:53.529503000]
51284;[000000000000004d, 00:05:53.573658000]
51240;[0000000000000013, 00:05:53.562445000]
51242;[0000000000000006, 00:05:53.563119000]
51244;[0000000000000001, 00:05:53.563737000]
51246;[000000000000005a, 00:05:53.564400000]
51248;[000000000000002f, 00:05:53.564983000]
51158;[0000000000000060, 00:05:53.536810000]
51150;[0000000000000033, 00:05:53.535214000]
51152;[0000000000000007, 00:05:53.535711000]
51154;[0000000000000017, 00:05:53.536110000]
51156;[0000000000000004, 00:05:53.536458000]
51100;[000000000000005f, 00:05:53.524414000]
51098;[000000000000001a, 00:05:53.524027000]
51252;[0000000000000041, 00:05:53.566314000]
51250;[0000000000000044, 00:05:53.565613000]
51256;[0000000000000031, 00:05:53.567612000]
51254;[0000000000000050, 00:05:53.566959000]
51258;[0000000000000021, 00:05:53.568328000]
51148;[0000000000000003, 00:05:53.534582000]
51108;[0000000000000035, 00:05:53.526249000]
51142;[0000000000000048, 00:05:53.533503000]
51140;[0000000000000034, 00:05:53.533132000]
51146;[0000000000000036, 00:05:53.534225000]
51144;[000000000000005e, 00:05:53.533869000]
