tcpport;dpid
52068;[0000000000000021, 00:16:50.958552000]
52064;[000000000000005b, 00:16:50.958157000]
52066;[000000000000001d, 00:16:50.958357000]
52060;[0000000000000044, 00:16:50.957745000]
52062;[0000000000000031, 00:16:50.957943000]
51950;[0000000000000048, 00:16:50.946931000]
51952;[000000000000005e, 00:16:50.947128000]
51954;[0000000000000003, 00:16:50.947324000]
51956;[0000000000000033, 00:16:50.947517000]
51958;[0000000000000007, 00:16:50.947713000]
52018;[000000000000005d, 00:16:50.953579000]
52010;[0000000000000057, 00:16:50.952779000]
52012;[0000000000000055, 00:16:50.952970000]
52014;[0000000000000059, 00:16:50.953183000]
52016;[000000000000000c, 00:16:50.953379000]
51942;[0000000000000019, 00:16:50.946150000]
51940;[000000000000003b, 00:16:50.945942000]
51946;[0000000000000036, 00:16:50.946543000]
51944;[0000000000000058, 00:16:50.946346000]
51948;[0000000000000034, 00:16:50.946738000]
52008;[000000000000001b, 00:16:50.952588000]
52002;[000000000000000d, 00:16:50.952011000]
52000;[0000000000000008, 00:16:50.951818000]
52006;[0000000000000022, 00:16:50.952398000]
52004;[000000000000001f, 00:16:50.952202000]
52090;[000000000000004d, 00:16:50.960716000]
52092;[0000000000000049, 00:16:50.960911000]
52094;[000000000000003d, 00:16:50.961124000]
52096;[0000000000000027, 00:16:50.961321000]
52098;[0000000000000020, 00:16:50.961514000]
51978;[0000000000000002, 00:16:50.949677000]
51976;[0000000000000011, 00:16:50.949480000]
51974;[000000000000002d, 00:16:50.949288000]
51972;[0000000000000053, 00:16:50.949070000]
51970;[0000000000000061, 00:16:50.948883000]
51918;[0000000000000029, 00:16:50.943777000]
51914;[0000000000000026, 00:16:50.943401000]
51916;[0000000000000035, 00:16:50.943589000]
51910;[0000000000000023, 00:16:50.943025000]
51912;[000000000000003e, 00:16:50.943214000]
51994;[000000000000000e, 00:16:50.951236000]
51996;[0000000000000037, 00:16:50.951428000]
51990;[0000000000000015, 00:16:50.950852000]
51992;[000000000000000a, 00:16:50.951045000]
51998;[000000000000000f, 00:16:50.951620000]
52082;[000000000000004c, 00:16:50.959926000]
52080;[0000000000000042, 00:16:50.959729000]
52086;[000000000000002c, 00:16:50.960320000]
52084;[0000000000000043, 00:16:50.960123000]
52088;[000000000000003c, 00:16:50.960517000]
51968;[0000000000000047, 00:16:50.948690000]
51960;[0000000000000004, 00:16:50.947913000]
51962;[0000000000000017, 00:16:50.948114000]
51964;[0000000000000056, 00:16:50.948304000]
51966;[0000000000000060, 00:16:50.948495000]
51908;[000000000000005f, 00:16:50.942829000]
51906;[000000000000001c, 00:16:50.942639000]
51904;[000000000000001a, 00:16:50.942426000]
51902;[0000000000000038, 00:16:50.149824000]
51900;[0000000000000062, 00:16:50.149433000]
51986;[0000000000000051, 00:16:50.950470000]
51984;[0000000000000063, 00:16:50.950285000]
51982;[0000000000000046, 00:16:50.950086000]
51980;[0000000000000010, 00:16:50.949872000]
51988;[0000000000000025, 00:16:50.950655000]
52036;[0000000000000064, 00:16:50.955366000]
52034;[0000000000000039, 00:16:50.955170000]
52032;[000000000000000b, 00:16:50.954973000]
52030;[000000000000004b, 00:16:50.954766000]
52038;[0000000000000040, 00:16:50.955562000]
52054;[000000000000002f, 00:16:50.957153000]
51938;[0000000000000030, 00:16:50.945747000]
52050;[0000000000000006, 00:16:50.956743000]
52052;[000000000000005a, 00:16:50.956939000]
51932;[0000000000000018, 00:16:50.945138000]
51930;[0000000000000054, 00:16:50.944942000]
52058;[0000000000000050, 00:16:50.957547000]
51934;[0000000000000009, 00:16:50.945333000]
52020;[0000000000000016, 00:16:50.953776000]
52022;[000000000000004f, 00:16:50.953974000]
52024;[0000000000000032, 00:16:50.954181000]
52026;[0000000000000024, 00:16:50.954373000]
52028;[000000000000004a, 00:16:50.954572000]
52046;[0000000000000013, 00:16:50.956348000]
52044;[000000000000002b, 00:16:50.956147000]
52042;[0000000000000045, 00:16:50.955951000]
52040;[000000000000001e, 00:16:50.955755000]
52048;[0000000000000001, 00:16:50.956546000]
52056;[0000000000000041, 00:16:50.957349000]
52072;[0000000000000052, 00:16:50.958945000]
52070;[0000000000000014, 00:16:50.958750000]
52076;[000000000000002a, 00:16:50.959340000]
52074;[000000000000003f, 00:16:50.959143000]
52078;[000000000000005c, 00:16:50.959534000]
51936;[000000000000002e, 00:16:50.945548000]
51924;[000000000000003a, 00:16:50.944335000]
51926;[000000000000004e, 00:16:50.944532000]
51920;[0000000000000005, 00:16:50.943965000]
51922;[0000000000000028, 00:16:50.944150000]
51928;[0000000000000012, 00:16:50.944731000]
