tcpport;dpid
44286;[0000000000000060, 23:54:44.239532000]
44284;[0000000000000047, 23:54:44.239161000]
44282;[0000000000000056, 23:54:44.238814000]
44280;[0000000000000017, 23:54:44.238449000]
44350;[000000000000000b, 23:54:44.250834000]
44352;[0000000000000064, 23:54:44.251153000]
44354;[0000000000000039, 23:54:44.251536000]
44288;[000000000000002d, 23:54:44.239889000]
44316;[000000000000000d, 23:54:44.244848000]
44232;[0000000000000026, 23:54:44.229852000]
44230;[000000000000003e, 23:54:44.229487000]
44236;[0000000000000029, 23:54:44.230574000]
44234;[0000000000000035, 23:54:44.230215000]
44238;[0000000000000005, 23:54:44.230940000]
44290;[0000000000000053, 23:54:44.240238000]
44348;[000000000000004a, 23:54:44.250490000]
44294;[0000000000000011, 23:54:44.240934000]
44252;[0000000000000009, 23:54:44.233473000]
44296;[0000000000000002, 23:54:44.241286000]
44298;[0000000000000046, 23:54:44.241636000]
44340;[0000000000000032, 23:54:44.249084000]
44346;[000000000000004b, 23:54:44.250141000]
44344;[0000000000000024, 23:54:44.249788000]
44318;[0000000000000008, 23:54:44.245198000]
44356;[0000000000000040, 23:54:44.251893000]
44382;[0000000000000021, 23:54:44.256433000]
44268;[0000000000000036, 23:54:44.236322000]
44264;[0000000000000034, 23:54:44.235622000]
44266;[000000000000005e, 23:54:44.235968000]
44260;[0000000000000019, 23:54:44.234899000]
44262;[0000000000000058, 23:54:44.235268000]
44408;[000000000000004d, 23:54:44.260952000]
44278;[0000000000000004, 23:54:44.238102000]
44276;[0000000000000007, 23:54:44.237754000]
44400;[0000000000000042, 23:54:44.259567000]
44274;[0000000000000033, 23:54:44.237398000]
44402;[000000000000002c, 23:54:44.259918000]
44272;[0000000000000003, 23:54:44.237051000]
44404;[000000000000003c, 23:54:44.260264000]
44270;[0000000000000048, 23:54:44.236680000]
44406;[0000000000000043, 23:54:44.260605000]
44376;[0000000000000041, 23:54:44.255393000]
44374;[0000000000000050, 23:54:44.255035000]
44372;[000000000000002f, 23:54:44.254692000]
44370;[0000000000000001, 23:54:44.254336000]
44378;[0000000000000044, 23:54:44.255738000]
44314;[0000000000000037, 23:54:44.244495000]
44418;[0000000000000020, 23:54:44.262689000]
44248;[0000000000000054, 23:54:44.232761000]
44310;[000000000000000e, 23:54:44.243792000]
44312;[000000000000000a, 23:54:44.244142000]
44412;[0000000000000049, 23:54:44.261636000]
44242;[000000000000003a, 23:54:44.231676000]
44410;[000000000000003d, 23:54:44.261293000]
44240;[0000000000000028, 23:54:44.231315000]
44416;[0000000000000062, 23:54:44.262345000]
44246;[000000000000004e, 23:54:44.232401000]
44414;[0000000000000027, 23:54:44.261998000]
44244;[0000000000000012, 23:54:44.232039000]
44360;[0000000000000045, 23:54:44.252592000]
44362;[000000000000002b, 23:54:44.252949000]
44364;[0000000000000013, 23:54:44.253301000]
44366;[000000000000005a, 23:54:44.253644000]
44368;[0000000000000006, 23:54:44.254007000]
44306;[0000000000000051, 23:54:44.243067000]
44304;[0000000000000025, 23:54:44.242712000]
44302;[0000000000000063, 23:54:44.242350000]
44300;[0000000000000010, 23:54:44.241996000]
44308;[0000000000000015, 23:54:44.243438000]
44358;[000000000000001e, 23:54:44.252243000]
44398;[000000000000004c, 23:54:44.259207000]
44394;[000000000000002a, 23:54:44.258509000]
44396;[000000000000005c, 23:54:44.258859000]
44390;[000000000000005b, 23:54:44.257818000]
44392;[000000000000003f, 23:54:44.258163000]
44332;[0000000000000059, 23:54:44.247667000]
44330;[000000000000001b, 23:54:44.247323000]
44336;[000000000000005d, 23:54:44.248372000]
44334;[000000000000000c, 23:54:44.248022000]
44338;[0000000000000016, 23:54:44.248719000]
44292;[0000000000000061, 23:54:44.240581000]
44254;[000000000000002e, 23:54:44.233844000]
44342;[000000000000004f, 23:54:44.249436000]
44256;[0000000000000030, 23:54:44.234199000]
44250;[0000000000000018, 23:54:44.233115000]
44388;[000000000000001d, 23:54:44.257473000]
44420;[0000000000000038, 23:54:44.263040000]
44386;[0000000000000014, 23:54:44.257131000]
44384;[0000000000000031, 23:54:44.256782000]
44258;[000000000000003b, 23:54:44.234547000]
44380;[0000000000000052, 23:54:44.256085000]
44328;[0000000000000057, 23:54:44.246956000]
44324;[0000000000000022, 23:54:44.246262000]
44326;[0000000000000055, 23:54:44.246612000]
44320;[000000000000001f, 23:54:44.245559000]
44322;[000000000000000f, 23:54:44.245906000]
44222;[000000000000001a, 23:54:44.227985000]
44224;[000000000000001c, 23:54:44.228394000]
44226;[000000000000005f, 23:54:44.228770000]
44228;[0000000000000023, 23:54:44.229131000]
