stamptime;link_number;link
(11:12:05.760679000, 200);0000000000000001-32<-->0000000000000028-00000004
(11:12:05.760675000, 190);0000000000000003-19<-->000000000000001b-00000006
(11:12:05.789093000, 312);0000000000000001-26<-->0000000000000022-00000004
(11:12:05.756797000, 159);000000000000001c-5<-->0000000000000002-00000014
(11:12:05.752272000, 76);0000000000000004-17<-->0000000000000019-00000007
(11:12:06.714335000, 500);0000000000000027-8<-->0000000000000005-0000001f
(11:12:05.754274000, 111);0000000000000002-17<-->0000000000000019-00000005
(11:12:05.753552000, 94);000000000000001f-9<-->0000000000000006-00000017
(11:12:05.753963000, 105);0000000000000024-6<-->0000000000000003-0000001c
(11:12:05.788929000, 301);000000000000001d-6<-->0000000000000003-00000015
(11:12:05.750672000, 54);0000000000000003-25<-->0000000000000021-00000006
(11:12:05.760675000, 192);0000000000000003-32<-->0000000000000028-00000006
(11:12:05.751891000, 71);0000000000000007-27<-->0000000000000023-0000000a
(11:12:05.788841000, 296);0000000000000028-6<-->0000000000000003-00000020
(11:12:05.790795000, 378);0000000000000004-28<-->0000000000000024-00000007
(11:12:05.788824000, 295);0000000000000028-9<-->0000000000000006-00000020
(11:12:05.788151000, 260);000000000000000a-7<-->0000000000000004-00000002
(11:12:05.788116000, 258);000000000000000a-9<-->0000000000000006-00000002
(11:12:05.791824000, 416);000000000000000f-10<-->0000000000000007-00000007
(11:12:05.793486000, 434);0000000000000013-10<-->0000000000000007-0000000b
(11:12:05.790747000, 375);0000000000000004-22<-->000000000000001e-00000007
(11:12:05.788576000, 284);0000000000000021-7<-->0000000000000004-00000019
(11:12:05.787748000, 251);0000000000000019-10<-->0000000000000007-00000011
(11:12:05.904531000, 497);0000000000000013-4<-->0000000000000001-0000000b
(11:12:05.751268000, 56);0000000000000009-8<-->0000000000000005-00000001
(11:12:05.749926000, 41);0000000000000006-13<-->0000000000000015-00000009
(11:12:05.789131000, 315);0000000000000001-7<-->000000000000000f-00000004
(11:12:05.789144000, 316);0000000000000001-12<-->0000000000000014-00000004
(11:12:05.790316000, 367);0000000000000007-29<-->0000000000000025-0000000a
(11:12:05.764671000, 202);0000000000000002-19<-->000000000000001b-00000005
