tcpport;dpid
42810;[0000000000000020, 11:12:05.510304000]
42812;[0000000000000023, 11:12:05.510773000]
42814;[0000000000000021, 11:12:05.511242000]
42816;[000000000000001b, 11:12:05.511703000]
42818;[0000000000000013, 11:12:05.512169000]
42844;[000000000000000e, 11:12:05.522449000]
42854;[000000000000000d, 11:12:05.525636000]
42838;[000000000000001e, 11:12:05.521083000]
42858;[000000000000000f, 11:12:05.526586000]
42796;[0000000000000012, 11:12:05.506115000]
42832;[0000000000000018, 11:12:05.517988000]
42830;[0000000000000009, 11:12:05.517528000]
42836;[0000000000000004, 11:12:05.520606000]
42856;[0000000000000025, 11:12:05.526103000]
42834;[0000000000000007, 11:12:05.519279000]
42794;[0000000000000008, 11:12:05.505641000]
42850;[0000000000000016, 11:12:05.524712000]
42792;[000000000000000b, 11:12:05.504303000]
42864;[0000000000000010, 11:12:05.527991000]
42852;[0000000000000022, 11:12:05.525169000]
42790;[0000000000000026, 11:12:05.503794000]
42806;[000000000000001a, 11:12:05.509370000]
42804;[000000000000000a, 11:12:05.508890000]
42802;[0000000000000017, 11:12:05.508395000]
42800;[0000000000000019, 11:12:05.507929000]
42808;[0000000000000015, 11:12:05.509831000]
42868;[000000000000000c, 11:12:05.528954000]
42828;[0000000000000003, 11:12:05.517071000]
42840;[0000000000000027, 11:12:05.521533000]
42846;[0000000000000024, 11:12:05.522904000]
42798;[0000000000000005, 11:12:05.507452000]
42820;[0000000000000028, 11:12:05.512635000]
42822;[000000000000001d, 11:12:05.513114000]
42824;[0000000000000001, 11:12:05.514424000]
42826;[0000000000000006, 11:12:05.515715000]
42862;[000000000000001c, 11:12:05.527523000]
42842;[000000000000001f, 11:12:05.521991000]
42866;[0000000000000011, 11:12:05.528454000]
42848;[0000000000000002, 11:12:05.524240000]
42860;[0000000000000014, 11:12:05.527056000]
