stamptime;link_number;link
(02:40:31.584249000, 44);0000000000000002-3<-->00:00:00:00:00:03-2
(02:40:31.862639000, 61);000000000000001d-3<-->00:00:00:00:00:1e-2
(02:40:31.863720000, 66);000000000000002f-2<-->00:00:00:00:00:2e-3
(02:40:36.861367000, 150);000000000000003a-2<-->00:00:00:00:00:39-3
(02:40:31.859073000, 50);000000000000001b-2<-->00:00:00:00:00:1a-3
(02:40:31.144055000, 43);000000000000001e-2<-->00:00:00:00:00:1d-3
(02:40:34.062106000, 136);000000000000005f-3<-->00:00:00:00:00:60-2
(02:40:36.881587000, 172);000000000000005c-3<-->00:00:00:00:00:5d-2
(02:40:30.143421000, 16);0000000000000012-3<-->00:00:00:00:00:13-2
(02:40:31.866800000, 75);000000000000000f-2<-->00:00:00:00:00:0e-3
(02:40:36.911645000, 195);000000000000004b-3<-->00:00:00:00:00:4c-2
(02:40:30.520940000, 27);0000000000000024-3<-->00:00:00:00:00:25-2
(02:40:30.825331000, 35);000000000000001f-2<-->00:00:00:00:00:1e-3
(02:40:29.988656000, 15);0000000000000020-2<-->00:00:00:00:00:1f-3
(02:40:36.873950000, 160);000000000000005e-3<-->00:00:00:00:00:5f-2
(02:40:34.145517000, 139);000000000000003e-3<-->00:00:00:00:00:3f-2
(02:40:31.864937000, 67);0000000000000022-3<-->00:00:00:00:00:23-2
(02:40:32.720045000, 105);0000000000000057-3<-->00:00:00:00:00:58-2
(02:40:29.340446000, 4);000000000000000c-3<-->00:00:00:00:00:0d-2
(02:40:36.875369000, 163);0000000000000049-3<-->00:00:00:00:00:4a-2
(02:40:29.825727000, 13);000000000000001b-3<-->00:00:00:00:00:1c-2
(02:40:31.866484000, 72);0000000000000017-2<-->00:00:00:00:00:16-3
(02:40:33.386781000, 115);0000000000000037-3<-->00:00:00:00:00:38-2
(02:40:31.874618000, 85);0000000000000007-3<-->00:00:00:00:00:08-2
(02:40:36.881070000, 170);000000000000004b-2<-->00:00:00:00:00:4a-3
(02:40:32.019990000, 99);0000000000000062-3<-->00:00:00:00:00:63-2
(02:40:33.777000000, 128);0000000000000046-3<-->00:00:00:00:00:47-2
(02:40:29.599215000, 9);000000000000002f-3<-->00:00:00:00:00:30-2
(02:40:31.878113000, 91);0000000000000009-3<-->00:00:00:00:00:0a-2
(02:40:30.695020000, 32);0000000000000012-2<-->00:00:00:00:00:11-3
(02:40:33.212155000, 111);0000000000000063-3<-->00:00:00:00:00:64-2
(02:40:36.884685000, 176);0000000000000053-2<-->00:00:00:00:00:52-3
(02:40:36.880763000, 169);0000000000000061-2<-->00:00:00:00:00:60-3
(02:40:36.878089000, 167);000000000000003f-2<-->00:00:00:00:00:3e-3
(02:40:36.874094000, 161);0000000000000047-2<-->00:00:00:00:00:46-3
(02:40:29.081752000, 1);000000000000002b-3<-->00:00:00:00:00:2c-2
(02:40:33.708508000, 127);000000000000003d-2<-->00:00:00:00:00:3c-3
(02:40:36.892507000, 184);000000000000004c-3<-->00:00:00:00:00:4d-2
(02:40:32.159156000, 101);0000000000000039-3<-->00:00:00:00:00:3a-2
(02:40:30.657055000, 30);0000000000000026-3<-->00:00:00:00:00:27-2
(02:40:33.657633000, 124);000000000000005d-2<-->00:00:00:00:00:5c-3
(02:40:36.910103000, 191);0000000000000042-2<-->00:00:00:00:00:41-3
(02:40:36.911380000, 194);0000000000000061-3<-->00:00:00:00:00:62-2
(02:40:31.876695000, 90);000000000000001d-2<-->00:00:00:00:00:1c-3
(02:40:31.730714000, 48);0000000000000008-2<-->00:00:00:00:00:07-3
(02:40:31.873473000, 83);000000000000002c-2<-->00:00:00:00:00:2b-3
(02:40:30.868806000, 37);000000000000002b-2<-->00:00:00:00:00:2a-3
(02:40:33.855937000, 131);0000000000000049-2<-->00:00:00:00:00:48-3
(02:40:33.327973000, 114);0000000000000035-3<-->00:00:00:00:00:36-2
(02:40:36.884020000, 173);000000000000003e-2<-->00:00:00:00:00:3d-3
(02:40:32.705512000, 104);0000000000000041-3<-->00:00:00:00:00:42-2
(02:40:33.990642000, 134);0000000000000052-3<-->00:00:00:00:00:53-2
(02:40:30.573882000, 29);000000000000000f-3<-->00:00:00:00:00:10-2
(02:40:31.859338000, 52);0000000000000031-2<-->00:00:00:00:00:30-3
(02:40:31.860891000, 55);0000000000000025-3<-->00:00:00:00:00:26-2
(02:40:31.865996000, 69);000000000000001a-2<-->00:00:00:00:00:19-3
