stamptime;link_number;link
(02:53:40.512477000, 69);000000000000004c-3<-->00:00:00:00:00:4d-32
(02:53:40.830156000, 77);0000000000000010-3<-->00:00:00:00:00:11-32
(02:53:39.459133000, 10);0000000000000022-3<-->00:00:00:00:00:23-32
(02:53:42.721693000, 162);000000000000003b-3<-->00:00:00:00:00:3c-32
(02:53:40.473265000, 63);000000000000004a-2<-->00:00:00:00:00:49-33
(02:53:40.145530000, 33);000000000000002a-3<-->00:00:00:00:00:2b-32
(02:53:42.315573000, 132);000000000000003d-3<-->00:00:00:00:00:3e-32
(02:53:42.719677000, 160);0000000000000044-3<-->00:00:00:00:00:45-32
(02:53:40.448705000, 54);0000000000000015-3<-->00:00:00:00:00:16-32
(02:53:44.026924000, 191);000000000000005f-3<-->00:00:00:00:00:60-32
(02:53:40.111205000, 17);0000000000000007-3<-->00:00:00:00:00:08-32
(02:53:40.469368000, 61);000000000000004b-2<-->00:00:00:00:00:4a-33
(02:53:40.595497000, 75);0000000000000040-3<-->00:00:00:00:00:41-32
(02:53:40.993374000, 114);0000000000000052-2<-->00:00:00:00:00:51-33
(02:53:40.514474000, 70);0000000000000043-3<-->00:00:00:00:00:44-32
(02:53:42.918230000, 185);0000000000000050-2<-->00:00:00:00:00:4f-33
(02:53:42.419710000, 137);000000000000000d-3<-->00:00:00:00:00:0e-32
(02:53:40.144439000, 30);000000000000001d-2<-->00:00:00:00:00:1c-33
(02:53:42.722594000, 164);000000000000004d-2<-->00:00:00:00:00:4c-33
(02:53:40.914978000, 98);0000000000000045-3<-->00:00:00:00:00:46-32
(02:53:42.516198000, 145);0000000000000024-2<-->00:00:00:00:00:23-33
(02:53:40.854737000, 84);0000000000000015-2<-->00:00:00:00:00:14-33
(02:53:40.479611000, 64);0000000000000040-2<-->00:00:00:00:00:3f-33
(02:53:40.106580000, 14);0000000000000009-3<-->00:00:00:00:00:0a-32
(02:53:40.852955000, 81);0000000000000012-2<-->00:00:00:00:00:11-33
(02:53:40.989156000, 105);0000000000000046-3<-->00:00:00:00:00:47-32
(02:53:42.616544000, 150);0000000000000058-2<-->00:00:00:00:00:57-33
(02:53:40.118468000, 27);000000000000000f-2<-->00:00:00:00:00:0e-33
(02:53:42.821513000, 177);0000000000000041-2<-->00:00:00:00:00:40-33
(02:53:40.830861000, 78);0000000000000001-2<-->00:00:00:00:00:02-32
(02:53:42.423487000, 139);0000000000000038-2<-->00:00:00:00:00:37-33
(02:53:44.024681000, 190);0000000000000061-2<-->00:00:00:00:00:60-33
(02:53:42.620317000, 152);000000000000000c-2<-->00:00:00:00:00:0b-33
(02:53:40.149276000, 34);000000000000002c-2<-->00:00:00:00:00:2b-33
(02:53:40.516434000, 71);000000000000003c-3<-->00:00:00:00:00:3d-32
(02:53:42.821695000, 178);000000000000003f-3<-->00:00:00:00:00:40-32
(02:53:41.024482000, 121);0000000000000035-3<-->00:00:00:00:00:36-32
(02:53:42.815216000, 167);000000000000000b-3<-->00:00:00:00:00:0c-32
(02:53:41.029424000, 129);000000000000001f-3<-->00:00:00:00:00:20-32
(02:53:40.991501000, 109);0000000000000016-2<-->00:00:00:00:00:15-33
(02:53:40.436194000, 49);0000000000000019-3<-->00:00:00:00:00:1a-32
(02:53:42.719398000, 159);000000000000001e-3<-->00:00:00:00:00:1f-32
(02:53:40.448277000, 53);0000000000000025-2<-->00:00:00:00:00:24-33
(02:53:42.916251000, 182);0000000000000061-3<-->00:00:00:00:00:62-32
(02:53:42.425616000, 142);0000000000000006-3<-->00:00:00:00:00:07-32
(02:53:40.446278000, 52);0000000000000002-2<-->00:00:00:00:00:01-32
(02:53:40.434750000, 48);0000000000000030-2<-->00:00:00:00:00:2f-33
(02:53:42.622794000, 154);0000000000000054-3<-->00:00:00:00:00:55-32
(02:53:42.823846000, 179);0000000000000044-2<-->00:00:00:00:00:43-33
(02:53:41.027340000, 128);0000000000000060-3<-->00:00:00:00:00:61-32
(02:53:40.106801000, 15);0000000000000009-2<-->00:00:00:00:00:08-33
(02:53:42.315455000, 131);000000000000003f-2<-->00:00:00:00:00:3e-33
(02:53:39.456822000, 8);0000000000000010-2<-->00:00:00:00:00:0f-33
(02:53:42.919200000, 186);000000000000004e-3<-->00:00:00:00:00:4f-32
(02:53:40.915867000, 99);0000000000000062-3<-->00:00:00:00:00:63-32
(02:53:40.866002000, 89);0000000000000057-3<-->00:00:00:00:00:58-32
(02:53:42.517838000, 148);0000000000000019-2<-->00:00:00:00:00:18-33
(02:53:42.819549000, 172);0000000000000038-3<-->00:00:00:00:00:39-32
(02:53:40.422663000, 39);000000000000001c-2<-->00:00:00:00:00:1b-33
(02:53:42.817307000, 168);0000000000000048-3<-->00:00:00:00:00:49-32
(02:53:42.916476000, 184);0000000000000051-2<-->00:00:00:00:00:50-33
(02:53:42.916012000, 181);000000000000004e-2<-->00:00:00:00:00:4d-33
(02:53:41.024520000, 122);0000000000000035-2<-->00:00:00:00:00:34-33
(02:53:42.820088000, 174);0000000000000058-3<-->00:00:00:00:00:59-32
(02:53:40.433710000, 47);000000000000002e-3<-->00:00:00:00:00:2f-32
(02:53:44.027766000, 193);0000000000000053-3<-->00:00:00:00:00:54-32
(02:53:40.853268000, 82);0000000000000030-3<-->00:00:00:00:00:31-32
(02:53:42.621877000, 153);0000000000000043-2<-->00:00:00:00:00:42-33
(02:53:42.416217000, 136);000000000000002f-3<-->00:00:00:00:00:30-32
(02:53:39.399437000, 5);0000000000000021-3<-->00:00:00:00:00:22-32
(02:53:40.432251000, 45);0000000000000018-3<-->00:00:00:00:00:19-32
(02:53:38.961248000, 4);0000000000000021-2<-->00:00:00:00:00:20-33
(02:53:40.855327000, 86);000000000000001e-2<-->00:00:00:00:00:1d-33
(02:53:40.111642000, 19);0000000000000017-3<-->00:00:00:00:00:18-32
(02:53:42.916402000, 183);0000000000000063-2<-->00:00:00:00:00:62-33
(02:53:40.990519000, 106);0000000000000037-2<-->00:00:00:00:00:36-33
(02:53:40.144511000, 31);000000000000001d-3<-->00:00:00:00:00:1e-32
(02:53:39.462687000, 11);0000000000000027-3<-->00:00:00:00:00:28-32
(02:53:41.024402000, 120);0000000000000026-2<-->00:00:00:00:00:25-33
(02:53:40.460184000, 59);000000000000005d-2<-->00:00:00:00:00:5c-33
(02:53:44.023875000, 189);0000000000000033-2<-->00:00:00:00:00:34-32
(02:53:40.450093000, 55);000000000000000e-2<-->00:00:00:00:00:0d-33
(02:53:40.853894000, 83);0000000000000003-2<-->00:00:00:00:00:02-33
(02:53:44.117278000, 195);0000000000000047-3<-->00:00:00:00:00:48-32
(02:53:42.715736000, 157);000000000000005c-3<-->00:00:00:00:00:5d-32
(02:53:42.516366000, 146);0000000000000013-2<-->00:00:00:00:00:12-33
(02:53:40.992679000, 110);0000000000000024-3<-->00:00:00:00:00:25-32
(02:53:40.114197000, 23);0000000000000025-3<-->00:00:00:00:00:26-32
(02:53:42.727361000, 166);000000000000005a-3<-->00:00:00:00:00:5b-32
(02:53:40.990691000, 107);000000000000000f-3<-->00:00:00:00:00:10-32
(02:53:42.726258000, 165);000000000000005c-2<-->00:00:00:00:00:5b-33
(02:53:42.516118000, 144);000000000000000c-3<-->00:00:00:00:00:0d-32
(02:53:42.317053000, 134);0000000000000016-3<-->00:00:00:00:00:17-32
(02:53:40.852341000, 79);000000000000001c-3<-->00:00:00:00:00:1d-32
(02:53:40.499959000, 66);000000000000005b-2<-->00:00:00:00:00:5a-33
(02:53:42.818741000, 170);000000000000005a-2<-->00:00:00:00:00:59-33
(02:53:40.984790000, 103);0000000000000034-3<-->00:00:00:00:00:35-32
(02:53:42.919397000, 187);0000000000000063-3<-->00:00:00:00:00:64-32
(02:53:41.024614000, 123);000000000000003a-3<-->00:00:00:00:00:3b-32
(02:53:40.510586000, 67);0000000000000042-3<-->00:00:00:00:00:43-32
(02:53:42.820337000, 175);0000000000000053-2<-->00:00:00:00:00:52-33
(02:53:40.421357000, 38);000000000000001a-3<-->00:00:00:00:00:1b-32
(02:53:40.914767000, 96);0000000000000039-3<-->00:00:00:00:00:3a-32
(02:53:40.983657000, 102);000000000000003b-2<-->00:00:00:00:00:3a-33
(02:53:40.991333000, 108);000000000000005d-3<-->00:00:00:00:00:5e-32
(02:53:42.516476000, 147);000000000000002f-2<-->00:00:00:00:00:2e-33
(02:53:39.454869000, 7);0000000000000004-3<-->00:00:00:00:00:05-32
(02:53:40.499836000, 65);000000000000005b-3<-->00:00:00:00:00:5c-32
(02:53:42.716599000, 158);000000000000005e-2<-->00:00:00:00:00:5d-33
(02:53:40.425117000, 41);000000000000003e-3<-->00:00:00:00:00:3f-32
(02:53:42.316973000, 133);000000000000001b-3<-->00:00:00:00:00:1c-32
(02:53:40.113262000, 20);000000000000002d-3<-->00:00:00:00:00:2e-32
(02:53:40.595697000, 76);0000000000000045-2<-->00:00:00:00:00:44-33
(02:53:40.452012000, 56);000000000000001f-2<-->00:00:00:00:00:1e-33
(02:53:38.879852000, 2);0000000000000011-2<-->00:00:00:00:00:10-33
(02:53:40.102550000, 13);0000000000000028-3<-->00:00:00:00:00:29-32
(02:53:41.024723000, 124);0000000000000054-2<-->00:00:00:00:00:53-33
(02:53:40.855522000, 88);0000000000000013-3<-->00:00:00:00:00:14-32
(02:53:42.915326000, 180);0000000000000049-3<-->00:00:00:00:00:4a-32
(02:53:40.993084000, 111);000000000000002b-3<-->00:00:00:00:00:2c-32
(02:53:44.117545000, 196);0000000000000060-2<-->00:00:00:00:00:5f-33
(02:53:44.027699000, 192);0000000000000047-2<-->00:00:00:00:00:46-33
(02:53:44.023383000, 188);0000000000000036-2<-->00:00:00:00:00:35-33
(02:53:40.866115000, 90);0000000000000059-2<-->00:00:00:00:00:58-33
(02:53:41.024008000, 119);000000000000005f-2<-->00:00:00:00:00:5e-33
(02:53:40.993299000, 113);0000000000000052-3<-->00:00:00:00:00:53-32
(02:53:40.113436000, 21);0000000000000011-3<-->00:00:00:00:00:12-32
(02:53:42.425541000, 141);0000000000000006-2<-->00:00:00:00:00:05-33
(02:53:40.982125000, 100);0000000000000026-3<-->00:00:00:00:00:27-32
(02:53:40.994313000, 116);0000000000000049-2<-->00:00:00:00:00:48-33
(02:53:40.116784000, 26);0000000000000008-3<-->00:00:00:00:00:09-32
(02:53:44.116857000, 194);000000000000005e-3<-->00:00:00:00:00:5f-32
(02:53:42.720784000, 161);000000000000003d-2<-->00:00:00:00:00:3c-33
(02:53:40.866784000, 92);000000000000004d-3<-->00:00:00:00:00:4e-32
(02:53:40.866234000, 91);000000000000004f-2<-->00:00:00:00:00:4e-33
(02:53:40.994008000, 115);000000000000003c-2<-->00:00:00:00:00:3b-33
(02:53:40.113552000, 22);0000000000000002-3<-->00:00:00:00:00:03-32
(02:53:40.988798000, 104);000000000000002d-2<-->00:00:00:00:00:2c-33
(02:53:40.114332000, 24);000000000000000a-3<-->00:00:00:00:00:0b-32
(02:53:40.421271000, 37);000000000000001a-2<-->00:00:00:00:00:19-33
(02:53:42.425214000, 140);0000000000000008-2<-->00:00:00:00:00:07-33
(02:53:40.593650000, 73);0000000000000059-3<-->00:00:00:00:00:5a-32
(02:53:40.593316000, 72);0000000000000037-3<-->00:00:00:00:00:38-32
(02:53:41.025805000, 127);0000000000000048-2<-->00:00:00:00:00:47-33
(02:53:42.318245000, 135);0000000000000023-2<-->00:00:00:00:00:22-33
(02:53:42.721912000, 163);0000000000000046-2<-->00:00:00:00:00:45-33
(02:53:40.458175000, 58);000000000000001b-2<-->00:00:00:00:00:1a-33
(02:53:40.440685000, 50);0000000000000007-2<-->00:00:00:00:00:06-33
(02:53:40.114411000, 25);000000000000000a-2<-->00:00:00:00:00:09-33
(02:53:42.818402000, 169);000000000000004a-3<-->00:00:00:00:00:4b-32
(02:53:40.465336000, 60);000000000000004f-3<-->00:00:00:00:00:50-32
(02:53:40.110488000, 16);0000000000000003-3<-->00:00:00:00:00:04-32
(02:53:40.100852000, 12);0000000000000005-2<-->00:00:00:00:00:04-33
