stamptime;link_number;link
(02:24:18.687979000, 128);0000000000000049-3<-->000000000000004a-00000002
(02:24:10.419325000, 24);000000000000000c-2<-->000000000000000b-00000003
(02:24:14.573145000, 91);0000000000000031-3<-->0000000000000032-00000002
(02:24:11.761388000, 68);000000000000001d-2<-->000000000000001c-00000003
(02:24:15.073789000, 95);000000000000002c-2<-->000000000000002b-00000003
(02:24:18.688503000, 132);000000000000003e-3<-->000000000000003f-00000002
(02:24:12.814014000, 74);0000000000000024-2<-->0000000000000023-00000003
(02:24:11.408489000, 58);0000000000000011-3<-->0000000000000012-00000002
(02:24:10.418494000, 11);0000000000000023-3<-->0000000000000024-00000002
(02:24:18.686561000, 114);0000000000000046-3<-->0000000000000047-00000002
(02:24:10.419645000, 35);000000000000002e-2<-->000000000000002d-00000003
(02:24:18.690678000, 169);000000000000004b-3<-->000000000000004c-00000002
(02:24:12.826225000, 77);0000000000000027-2<-->0000000000000026-00000003
(02:24:10.419444000, 28);0000000000000032-2<-->0000000000000031-00000003
(02:24:10.381610000, 2);000000000000001c-2<-->000000000000001b-00000003
(02:24:13.074783000, 82);0000000000000007-3<-->0000000000000008-00000002
(02:24:18.687818000, 126);0000000000000043-2<-->0000000000000042-00000003
(02:24:10.381850000, 5);000000000000000e-3<-->000000000000000f-00000002
(02:24:10.418882000, 16);000000000000001f-3<-->0000000000000020-00000002
(02:24:10.381489000, 1);000000000000001a-3<-->000000000000001b-00000002
(02:24:18.690215000, 153);0000000000000063-3<-->0000000000000064-00000002
(02:24:18.687904000, 127);000000000000004d-2<-->000000000000004c-00000003
(02:24:10.399160000, 8);0000000000000028-3<-->0000000000000029-00000002
(02:24:18.685689000, 107);000000000000003d-2<-->000000000000003c-00000003
(02:24:13.221271000, 84);0000000000000020-2<-->000000000000001f-00000003
(02:24:10.467540000, 53);000000000000002a-3<-->000000000000002b-00000002
(02:24:18.686404000, 112);0000000000000061-2<-->0000000000000060-00000003
(02:24:18.690318000, 157);0000000000000037-3<-->0000000000000038-00000002
(02:24:10.432121000, 50);000000000000001d-3<-->000000000000001e-00000002
(02:24:11.411032000, 61);000000000000002a-2<-->0000000000000029-00000003
(02:24:18.689991000, 147);0000000000000056-2<-->0000000000000055-00000003
(02:24:18.691173000, 182);000000000000003c-3<-->000000000000003d-00000002
(02:24:15.324548000, 96);0000000000000002-2<-->0000000000000001-00000002
(02:24:10.419926000, 45);0000000000000003-2<-->0000000000000002-00000003
(02:24:10.419478000, 29);0000000000000024-3<-->0000000000000025-00000002
(02:24:18.687351000, 121);0000000000000050-2<-->000000000000004f-00000003
(02:24:11.919607000, 70);000000000000000b-3<-->000000000000000c-00000002
(02:24:11.407403000, 56);0000000000000019-3<-->000000000000001a-00000002
(02:24:18.685575000, 106);0000000000000043-3<-->0000000000000044-00000002
(02:24:18.691092000, 179);000000000000005c-3<-->000000000000005d-00000002
