stamptime;link_number;link
(09:42:18.957119000, 5);0000000000000001-4<-->00:00:00:00:00:05-6
(09:42:19.584497000, 19);0000000000000001-9<-->00:00:00:00:00:0a-6
(09:42:18.986053000, 6);0000000000000001-2<-->00:00:00:00:00:03-6
(09:42:19.584574000, 20);0000000000000001-10<-->00:00:00:00:00:0b-6
(09:42:19.495102000, 15);0000000000000008-6<-->00:00:00:00:00:01-7
(09:42:18.910883000, 4);0000000000000001-5<-->00:00:00:00:00:06-6
(09:42:19.115550000, 9);0000000000000001-3<-->00:00:00:00:00:04-6
(09:42:19.147240000, 10);0000000000000001-6<-->00:00:00:00:00:07-6
(09:42:19.075632000, 8);0000000000000001-7<-->00:00:00:00:00:08-6
(09:42:19.441253000, 11);0000000000000009-6<-->00:00:00:00:00:01-8
(09:42:19.584369000, 18);0000000000000001-1<-->00:00:00:00:00:02-6
(09:42:19.039487000, 7);0000000000000001-8<-->00:00:00:00:00:09-6
(09:42:19.584128000, 16);0000000000000006-6<-->00:00:00:00:00:01-5
(09:42:18.873309000, 3);000000000000000a-6<-->00:00:00:00:00:01-9
(09:42:19.449009000, 12);0000000000000005-6<-->00:00:00:00:00:01-4
(09:42:19.487900000, 14);0000000000000004-6<-->00:00:00:00:00:01-3
(09:42:18.873232000, 2);0000000000000002-6<-->00:00:00:00:00:01-1
(09:42:18.868593000, 1);000000000000000b-6<-->00:00:00:00:00:01-a
(09:42:19.584241000, 17);0000000000000007-6<-->00:00:00:00:00:01-6
(09:42:19.468609000, 13);0000000000000003-6<-->00:00:00:00:00:01-2
