tcpport;dpid
46666;[0000000000000004, 09:42:18.632083000]
46652;[0000000000000001, 09:42:18.620437000]
46650;[0000000000000007, 09:42:18.612721000]
46656;[0000000000000009, 09:42:18.613230000]
46654;[0000000000000002, 09:42:18.612985000]
46668;[0000000000000008, 09:42:18.620906000]
46648;[0000000000000006, 09:42:18.612396000]
46658;[0000000000000005, 09:42:18.624919000]
46664;[000000000000000b, 09:42:18.625479000]
46662;[0000000000000003, 09:42:18.625221000]
46660;[000000000000000a, 09:42:18.620714000]
