tcpport;dpid
41612;[0000000000000005, 09:48:13.715898000]
41610;[0000000000000009, 09:48:13.715304000]
41608;[0000000000000001, 09:48:13.714727000]
41616;[000000000000000a, 09:48:13.717107000]
41620;[0000000000000004, 09:48:13.718275000]
41614;[0000000000000003, 09:48:13.716477000]
41604;[0000000000000006, 09:48:13.713383000]
41622;[0000000000000008, 09:48:13.718877000]
41606;[0000000000000002, 09:48:13.713971000]
41618;[000000000000000b, 09:48:13.717690000]
41602;[0000000000000007, 09:48:13.712768000]
