stamptime;link_number;link
(09:39:00.293277000, 13);000000000000000a-6<-->0000000000000001-00000009
(09:39:00.393447000, 15);0000000000000008-6<-->0000000000000001-00000007
(09:39:00.544049000, 18);0000000000000001-3<-->0000000000000004-00000006
(09:38:59.362844000, 10);0000000000000001-7<-->0000000000000008-00000006
(09:38:59.362783000, 6);0000000000000001-8<-->0000000000000009-00000006
(09:38:59.362806000, 7);0000000000000001-4<-->0000000000000005-00000006
(09:38:59.362459000, 3);0000000000000007-6<-->0000000000000001-00000006
(09:39:00.593977000, 19);0000000000000001-10<-->000000000000000b-00000006
(09:38:59.362856000, 11);0000000000000001-1<-->0000000000000002-00000006
(09:39:00.493833000, 17);0000000000000003-6<-->0000000000000001-00000002
(09:38:59.362832000, 9);0000000000000001-9<-->000000000000000a-00000006
(09:39:00.443718000, 16);0000000000000005-6<-->0000000000000001-00000004
(09:38:59.362820000, 8);0000000000000001-2<-->0000000000000003-00000006
(09:39:00.644063000, 20);0000000000000001-5<-->0000000000000006-00000006
(09:38:59.361262000, 2);0000000000000004-6<-->0000000000000001-00000003
(09:38:59.360963000, 1);000000000000000b-6<-->0000000000000001-0000000a
(09:39:00.243396000, 12);0000000000000001-6<-->0000000000000007-00000006
(09:39:00.343505000, 14);0000000000000009-6<-->0000000000000001-00000008
(09:38:59.362534000, 5);0000000000000002-6<-->0000000000000001-00000001
(09:38:59.362501000, 4);0000000000000006-6<-->0000000000000001-00000005
