tcpport;dpid
35986;[0000000000000008, 09:38:59.333074000]
35988;[0000000000000004, 09:38:59.333416000]
35974;[0000000000000001, 09:38:59.330248000]
35976;[0000000000000009, 09:38:59.330836000]
35970;[0000000000000006, 09:38:59.328885000]
35972;[0000000000000002, 09:38:59.329447000]
35980;[0000000000000003, 09:38:59.332004000]
35982;[000000000000000a, 09:38:59.332415000]
35984;[000000000000000b, 09:38:59.332751000]
35978;[0000000000000005, 09:38:59.331422000]
35968;[0000000000000007, 09:38:59.328311000]
