stamptime;link_number;link
(09:28:43.808277000, 7);0000000000000014-7<-->00:00:00:00:00:15-6
(09:28:46.725738000, 57);0000000000000017-6<-->00:00:00:00:00:16-7
(09:28:46.722306000, 55);0000000000000007-6<-->00:00:00:00:00:06-7
(09:28:46.710782000, 34);000000000000000a-7<-->00:00:00:00:00:0b-6
(09:28:43.947325000, 14);000000000000000d-7<-->00:00:00:00:00:0e-6
(09:28:46.721028000, 52);000000000000001c-6<-->00:00:00:00:00:1b-7
(09:28:44.285908000, 27);0000000000000009-6<-->00:00:00:00:00:08-7
(09:28:44.042976000, 17);000000000000000f-7<-->00:00:00:00:00:10-6
(09:28:43.931586000, 13);0000000000000018-7<-->00:00:00:00:00:19-6
(09:28:44.222677000, 24);0000000000000002-7<-->00:00:00:00:00:03-6
(09:28:43.708630000, 4);0000000000000013-6<-->00:00:00:00:00:12-7
(09:28:43.979150000, 15);000000000000000e-7<-->00:00:00:00:00:0f-6
(09:28:46.711726000, 35);000000000000000c-6<-->00:00:00:00:00:0b-7
(09:28:46.720668000, 51);000000000000001d-7<-->00:00:00:00:00:1e-6
(09:28:46.730649000, 58);0000000000000019-6<-->00:00:00:00:00:18-7
(09:28:44.141971000, 21);000000000000001c-7<-->00:00:00:00:00:1d-6
(09:28:46.711808000, 36);0000000000000014-6<-->00:00:00:00:00:13-7
(09:28:44.313424000, 28);0000000000000006-7<-->00:00:00:00:00:07-6
(09:28:46.723866000, 56);0000000000000008-7<-->00:00:00:00:00:09-6
(09:28:46.718492000, 48);0000000000000004-7<-->00:00:00:00:00:05-6
(09:28:43.928010000, 12);000000000000001a-6<-->00:00:00:00:00:19-7
(09:28:43.838605000, 9);0000000000000016-7<-->00:00:00:00:00:17-6
(09:28:46.717205000, 45);000000000000001d-6<-->00:00:00:00:00:1c-7
(09:28:46.717779000, 47);0000000000000006-6<-->00:00:00:00:00:05-7
(09:28:42.090324000, 1);000000000000000b-7<-->00:00:00:00:00:0c-6
(09:28:43.704975000, 3);0000000000000011-7<-->00:00:00:00:00:12-6
(09:28:44.170790000, 22);0000000000000005-7<-->00:00:00:00:00:06-6
(09:28:44.043157000, 18);0000000000000011-6<-->00:00:00:00:00:10-7
(09:28:44.182610000, 23);0000000000000005-6<-->00:00:00:00:00:04-7
(09:28:42.185549000, 2);0000000000000002-6<-->00:00:00:00:00:01-6
(09:28:46.710022000, 33);000000000000001b-6<-->00:00:00:00:00:1a-7
(09:28:44.141249000, 20);000000000000001e-6<-->00:00:00:00:00:1d-7
(09:28:46.715635000, 40);0000000000000003-7<-->00:00:00:00:00:04-6
(09:28:43.808365000, 8);0000000000000016-6<-->00:00:00:00:00:15-7
(09:28:46.713296000, 38);000000000000000f-6<-->00:00:00:00:00:0e-7
(09:28:46.720181000, 49);0000000000000018-6<-->00:00:00:00:00:17-7
(09:28:43.897328000, 11);000000000000000c-7<-->00:00:00:00:00:0d-6
(09:28:46.722069000, 53);0000000000000001-6<-->00:00:00:00:00:02-6
(09:28:46.716496000, 42);0000000000000010-7<-->00:00:00:00:00:11-6
(09:28:46.722237000, 54);0000000000000003-6<-->00:00:00:00:00:02-7
(09:28:44.009880000, 16);000000000000001a-7<-->00:00:00:00:00:1b-6
(09:28:44.225195000, 25);0000000000000004-6<-->00:00:00:00:00:03-7
(09:28:46.709377000, 31);0000000000000015-7<-->00:00:00:00:00:16-6
(09:28:43.781728000, 6);000000000000000b-6<-->00:00:00:00:00:0a-7
(09:28:43.744496000, 5);0000000000000013-7<-->00:00:00:00:00:14-6
(09:28:46.714073000, 39);0000000000000009-7<-->00:00:00:00:00:0a-6
(09:28:46.709480000, 32);0000000000000019-7<-->00:00:00:00:00:1a-6
(09:28:43.871587000, 10);0000000000000017-7<-->00:00:00:00:00:18-6
(09:28:46.717283000, 46);0000000000000012-6<-->00:00:00:00:00:11-7
(09:28:46.712151000, 37);0000000000000010-6<-->00:00:00:00:00:0f-7
(09:28:46.716993000, 44);000000000000000e-6<-->00:00:00:00:00:0d-7
(09:28:44.245968000, 26);000000000000000a-6<-->00:00:00:00:00:09-7
(09:28:46.715935000, 41);0000000000000007-7<-->00:00:00:00:00:08-6
(09:28:46.720412000, 50);000000000000000d-6<-->00:00:00:00:00:0c-7
(09:28:44.071301000, 19);000000000000001b-7<-->00:00:00:00:00:1c-6
(09:28:46.716591000, 43);0000000000000015-6<-->00:00:00:00:00:14-7
(09:28:44.313538000, 29);0000000000000008-6<-->00:00:00:00:00:07-7
(09:28:46.709240000, 30);0000000000000012-7<-->00:00:00:00:00:13-6
