tcpport;dpid
38760;[000000000000001e, 09:28:41.774293000]
38706;[000000000000001a, 09:28:41.746373000]
38712;[0000000000000006, 09:28:41.768760000]
38710;[000000000000001c, 09:28:41.768480000]
38716;[000000000000000e, 09:28:41.769346000]
38714;[0000000000000003, 09:28:41.769054000]
38708;[0000000000000001, 09:28:41.768213000]
38730;[0000000000000004, 09:28:41.771374000]
38732;[0000000000000017, 09:28:41.771660000]
38734;[000000000000000c, 09:28:41.750385000]
38718;[000000000000000a, 09:28:41.769634000]
38736;[0000000000000005, 09:28:41.750382000]
38758;[0000000000000015, 09:28:41.773981000]
38756;[0000000000000018, 09:28:41.773704000]
38754;[000000000000000b, 09:28:41.773431000]
38752;[0000000000000009, 09:28:41.773148000]
38750;[0000000000000010, 09:28:41.772860000]
38704;[0000000000000013, 09:28:41.746378000]
38728;[000000000000001b, 09:28:41.771088000]
38726;[0000000000000007, 09:28:41.770802000]
38724;[0000000000000008, 09:28:41.770506000]
38722;[000000000000000f, 09:28:41.770200000]
38720;[000000000000000d, 09:28:41.769920000]
38738;[0000000000000014, 09:28:41.750376000]
38748;[0000000000000002, 09:28:41.754377000]
38744;[0000000000000012, 09:28:41.754382000]
38746;[0000000000000011, 09:28:41.743246000]
38740;[000000000000001d, 09:28:41.772120000]
38742;[0000000000000016, 09:28:41.772401000]
38762;[0000000000000019, 09:28:41.774591000]
