stamptime;link_number;link
(09:31:46.741725000, 22);000000000000000b-7<-->00:00:00:00:00:0c-36
(09:31:47.762613000, 38);000000000000000e-6<-->00:00:00:00:00:0d-37
(09:31:49.763350000, 52);000000000000001b-7<-->00:00:00:00:00:1c-36
(09:31:49.768367000, 55);0000000000000007-6<-->00:00:00:00:00:06-37
(09:31:44.892584000, 10);0000000000000015-7<-->00:00:00:00:00:16-36
(09:31:46.766563000, 28);0000000000000006-6<-->00:00:00:00:00:05-37
(09:31:44.856417000, 5);0000000000000012-6<-->00:00:00:00:00:11-37
(09:31:44.816507000, 2);0000000000000011-7<-->00:00:00:00:00:12-36
(09:31:46.762014000, 27);0000000000000004-7<-->00:00:00:00:00:05-36
(09:31:47.872126000, 47);0000000000000017-6<-->00:00:00:00:00:16-37
(09:31:47.866626000, 45);0000000000000003-6<-->00:00:00:00:00:02-37
(09:31:44.798521000, 1);0000000000000011-6<-->00:00:00:00:00:10-37
(09:31:46.757366000, 24);000000000000001c-7<-->00:00:00:00:00:1d-36
(09:31:44.883500000, 9);0000000000000016-6<-->00:00:00:00:00:15-37
(09:31:44.836098000, 3);0000000000000019-6<-->00:00:00:00:00:18-37
(09:31:46.794810000, 34);0000000000000002-6<-->00:00:00:00:00:01-36
(09:31:44.848897000, 4);0000000000000010-7<-->00:00:00:00:00:11-36
(09:31:46.703033000, 14);0000000000000018-6<-->00:00:00:00:00:17-37
(09:31:46.733420000, 21);0000000000000009-6<-->00:00:00:00:00:08-37
(09:31:49.865727000, 58);0000000000000008-6<-->00:00:00:00:00:07-37
(09:31:47.863658000, 41);000000000000000f-7<-->00:00:00:00:00:10-36
(09:31:46.794124000, 33);0000000000000005-6<-->00:00:00:00:00:04-37
(09:31:46.702219000, 11);000000000000001a-7<-->00:00:00:00:00:1b-36
(09:31:46.707735000, 15);0000000000000014-6<-->00:00:00:00:00:13-37
(09:31:47.868230000, 46);0000000000000013-7<-->00:00:00:00:00:14-36
(09:31:46.750272000, 23);000000000000000d-6<-->00:00:00:00:00:0c-37
(09:31:47.862752000, 39);000000000000000a-6<-->00:00:00:00:00:09-37
(09:31:46.789452000, 32);0000000000000007-7<-->00:00:00:00:00:08-36
(09:31:46.711748000, 17);0000000000000019-7<-->00:00:00:00:00:1a-36
(09:31:46.727739000, 20);0000000000000010-6<-->00:00:00:00:00:0f-37
(09:31:46.719025000, 19);0000000000000009-7<-->00:00:00:00:00:0a-36
(09:31:47.865836000, 43);0000000000000001-6<-->00:00:00:00:00:02-36
(09:31:46.718928000, 18);000000000000000b-6<-->00:00:00:00:00:0a-37
(09:31:47.873647000, 50);000000000000000c-6<-->00:00:00:00:00:0b-37
(09:31:49.768438000, 56);0000000000000005-7<-->00:00:00:00:00:06-36
(09:31:47.865951000, 44);0000000000000017-7<-->00:00:00:00:00:18-36
(09:31:47.762310000, 37);000000000000000c-7<-->00:00:00:00:00:0d-36
(09:31:49.764419000, 54);000000000000001b-6<-->00:00:00:00:00:1a-37
(09:31:46.771031000, 29);0000000000000006-7<-->00:00:00:00:00:07-36
(09:31:46.759105000, 25);000000000000001e-6<-->00:00:00:00:00:1d-37
(09:31:44.880237000, 8);0000000000000014-7<-->00:00:00:00:00:15-36
(09:31:46.761801000, 26);000000000000000d-7<-->00:00:00:00:00:0e-36
(09:31:47.872668000, 48);000000000000001a-6<-->00:00:00:00:00:19-37
(09:31:46.702907000, 13);0000000000000016-7<-->00:00:00:00:00:17-36
(09:31:46.801560000, 35);0000000000000002-7<-->00:00:00:00:00:03-36
(09:31:47.875929000, 51);0000000000000013-6<-->00:00:00:00:00:12-37
(09:31:46.788830000, 31);0000000000000003-7<-->00:00:00:00:00:04-36
(09:31:49.771625000, 57);000000000000000f-6<-->00:00:00:00:00:0e-37
(09:31:44.872620000, 7);0000000000000018-7<-->00:00:00:00:00:19-36
(09:31:46.782756000, 30);000000000000000e-7<-->00:00:00:00:00:0f-36
(09:31:49.763952000, 53);000000000000001d-6<-->00:00:00:00:00:1c-37
(09:31:47.873443000, 49);000000000000000a-7<-->00:00:00:00:00:0b-36
(09:31:46.702443000, 12);000000000000001c-6<-->00:00:00:00:00:1b-37
(09:31:46.707842000, 16);0000000000000012-7<-->00:00:00:00:00:13-36
(09:31:44.864991000, 6);0000000000000015-6<-->00:00:00:00:00:14-37
(09:31:47.863781000, 42);000000000000001d-7<-->00:00:00:00:00:1e-36
(09:31:47.862906000, 40);0000000000000008-7<-->00:00:00:00:00:09-36
(09:31:46.805870000, 36);0000000000000004-6<-->00:00:00:00:00:03-37
