tcpport;dpid
44314;[0000000000000019, 09:31:44.606168000]
44316;[000000000000001e, 09:31:44.606528000]
44348;[0000000000000005, 09:31:46.575281000]
44310;[0000000000000018, 09:31:44.605422000]
44312;[0000000000000015, 09:31:44.605795000]
44350;[000000000000000c, 09:31:46.575463000]
44338;[0000000000000007, 09:31:46.574236000]
44318;[0000000000000013, 09:31:46.571824000]
44330;[000000000000000a, 09:31:46.573479000]
44294;[0000000000000014, 09:31:44.601935000]
44328;[0000000000000003, 09:31:46.573285000]
44336;[000000000000000f, 09:31:46.574051000]
44300;[0000000000000011, 09:31:44.603307000]
44334;[0000000000000008, 09:31:46.573863000]
44332;[000000000000000e, 09:31:46.573667000]
44324;[0000000000000006, 09:31:46.572723000]
44342;[000000000000001b, 09:31:46.574688000]
44326;[0000000000000001, 09:31:46.573034000]
44306;[0000000000000010, 09:31:44.604660000]
44304;[000000000000000b, 09:31:44.604285000]
44302;[0000000000000002, 09:31:44.603911000]
44296;[0000000000000016, 09:31:44.602312000]
44298;[0000000000000012, 09:31:44.602929000]
44346;[000000000000001d, 09:31:46.575098000]
44274;[000000000000000d, 09:31:44.574349000]
44320;[000000000000001a, 09:31:46.572047000]
44308;[0000000000000009, 09:31:44.605032000]
44322;[000000000000001c, 09:31:46.572462000]
44344;[0000000000000004, 09:31:46.574910000]
44340;[0000000000000017, 09:31:46.574423000]
