tcpport;dpid
50726;[0000000000000005, 09:55:12.735147000]
50718;[0000000000000018, 09:55:12.732500000]
50730;[0000000000000017, 09:55:12.736204000]
50736;[0000000000000002, 09:55:12.737904000]
50734;[0000000000000015, 09:55:12.737251000]
50710;[0000000000000003, 09:55:12.730325000]
50712;[000000000000000b, 09:55:12.730843000]
50714;[0000000000000009, 09:55:12.731361000]
50716;[0000000000000008, 09:55:12.731971000]
50732;[000000000000000a, 09:55:12.736726000]
50750;[000000000000000c, 09:55:12.741963000]
50720;[0000000000000007, 09:55:12.733118000]
50722;[0000000000000004, 09:55:12.733734000]
50724;[0000000000000012, 09:55:12.734519000]
50708;[0000000000000006, 09:55:12.729650000]
50706;[0000000000000001, 09:55:12.729017000]
50704;[0000000000000013, 09:55:12.727951000]
50746;[0000000000000010, 09:55:12.740836000]
50748;[0000000000000011, 09:55:12.741383000]
50728;[000000000000000e, 09:55:12.735673000]
50742;[000000000000000f, 09:55:12.739564000]
50740;[000000000000000d, 09:55:12.739032000]
50738;[0000000000000016, 09:55:12.738498000]
50744;[0000000000000014, 09:55:12.740087000]
