tcpport;dpid
42990;[0000000000000011, 10:00:33.271288000]
42992;[000000000000000c, 10:00:33.271848000]
42968;[0000000000000005, 10:00:33.264604000]
42946;[0000000000000013, 10:00:33.257670000]
42960;[0000000000000007, 10:00:33.262135000]
42948;[0000000000000006, 10:00:33.258375000]
42964;[0000000000000004, 10:00:33.263392000]
42966;[0000000000000012, 10:00:33.263950000]
42956;[0000000000000009, 10:00:33.260834000]
42986;[0000000000000010, 10:00:33.228738000]
42984;[000000000000000f, 10:00:33.269856000]
42982;[000000000000000d, 10:00:33.269286000]
42980;[0000000000000002, 10:00:33.268715000]
42958;[0000000000000008, 10:00:33.261483000]
42962;[0000000000000018, 10:00:33.262697000]
42988;[0000000000000014, 10:00:33.229983000]
42950;[0000000000000001, 10:00:33.259067000]
42952;[0000000000000003, 10:00:33.259736000]
42954;[000000000000000b, 10:00:33.260284000]
42978;[0000000000000015, 10:00:33.267827000]
42976;[0000000000000016, 10:00:33.267258000]
42974;[000000000000000a, 10:00:33.266648000]
42972;[0000000000000017, 10:00:33.266084000]
42970;[000000000000000e, 10:00:33.265187000]
